,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2500,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000179,0.000169,0.00016,0.00015,0.00014,0.000131,0.000121,0.000112,0.000102
2700,0.038103,0.037942,0.037781,0.03762,0.037459,0.037298,0.037137,0.036976,0.036816,0.036655,0.036494,0.036333,0.036172,0.036011,0.03585,0.035689,0.035529,0.035368,0.035207,0.035046,0.034885,0.034724,0.034563,0.034403,0.034242,0.034081,0.03392,0.033759,0.033598,0.032854,0.03211,0.031366,0.030622,0.029878,0.029134,0.02839,0.027646,0.026902
2900,0.16677,0.165883,0.164996,0.164108,0.163221,0.162334,0.161446,0.160559,0.159671,0.158784,0.157897,0.157009,0.156122,0.155235,0.154347,0.15346,0.152573,0.151685,0.150798,0.14991,0.149023,0.148136,0.147248,0.146361,0.145474,0.144586,0.143699,0.142812,0.141924,0.140267,0.138609,0.136951,0.135294,0.133636,0.131978,0.13032,0.128663,0.127005
3100,0.205471,0.20406,0.202649,0.201238,0.199827,0.198416,0.197005,0.195594,0.194183,0.192772,0.191361,0.18995,0.188539,0.187128,0.185717,0.184306,0.182895,0.181484,0.180073,0.178662,0.177251,0.17584,0.174429,0.173018,0.171607,0.170196,0.168785,0.167374,0.165963,0.164611,0.163258,0.161906,0.160554,0.159202,0.157849,0.156497,0.155145,0.153793
3300,0.232894,0.227176,0.221459,0.215741,0.210023,0.204306,0.198588,0.192871,0.187153,0.181436,0.175718,0.17,0.164283,0.158565,0.152848,0.14713,0.141413,0.135695,0.129978,0.12426,0.118542,0.112825,0.107107,0.10139,0.095672,0.089955,0.084237,0.07852,0.072802,0.071933,0.071063,0.070194,0.069325,0.068456,0.067587,0.066717,0.065848,0.064979
3500,0.246995,0.238217,0.22944,0.220662,0.211885,0.203107,0.194329,0.185552,0.176774,0.167996,0.159219,0.150441,0.141663,0.132886,0.124108,0.115331,0.106553,0.097775,0.088998,0.08022,0.071442,0.062665,0.053887,0.04511,0.036332,0.027554,0.018777,0.009999,0.001221,0.001221,0.001221,0.001221,0.001221,0.001221,0.001221,0.001221,0.001221,0.001221
