,Bare,Forest,Grass,Rip,Bare,Forest,Grass,Rip
,17700,17700,17700,17700,114926,114926,114926,114926
1100,0,0,0,0,0.015102,0.051382,0.041429,0.457585
1300,0.008161,0.048627,0.026561,0.217681,0,0.192577,0.052835,0.22421
1500,0.008364,0.149721,0.032213,0.126938,0,0.198063,0.072477,0.077399
1700,0.001956,0.27107,0.018446,0.110741,0,0.260822,0.02729,0.068747
1900,0.003787,0.348377,0.087309,0.168679,0.004169,0.241016,0.119042,0.07028
2100,0.038005,0.173384,0.312207,0.180138,0.015469,0.053397,0.279351,0.077829
2300,0.137535,0.008821,0.359738,0.065634,0.171703,0.002743,0.307109,0.023146
2500,0.313794,0,0.143571,0.082915,0.639811,0,0.095128,0.000804
2700,0.315447,0,0.01992,0.047274,0.153746,0,0.005339,0
2900,0.146344,0,3.5E-05,0,0,0,0,0
3100,0.023851,0,0,0,0,0,0,0
3300,0.00257,0,0,0,0,0,0,0
3500,0.000186,0,0,0,0,0,0,0
