Messstelle:                ;Feistritz am Wechsel (Summenstation)
HZB-Nummer:                ;214353
HD-Nummer:                 ;
DBMS-Nummer:               ;3003147
Gewässer:                  ;Feistritz
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;114,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.2013              ;447,86
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
  gültig seit:             ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
   01.06.1967              ;16 05 07                 ;47 35 26
   01.01.2014              ;16 05 11                 ;47 35 27
Exportzeitreihe:           ;(3003147,Abfluss,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 02:00,01.01.2017 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1976 02:00:00; Lücke
02.01.1976 00:00:00; Lücke
03.01.1976 00:00:00; Lücke
04.01.1976 00:00:00; Lücke
05.01.1976 00:00:00; Lücke
06.01.1976 00:00:00; Lücke
07.01.1976 00:00:00; Lücke
08.01.1976 00:00:00; Lücke
09.01.1976 00:00:00; Lücke
10.01.1976 00:00:00; Lücke
11.01.1976 00:00:00; Lücke
12.01.1976 00:00:00; Lücke
13.01.1976 00:00:00; Lücke
14.01.1976 00:00:00; Lücke
15.01.1976 00:00:00; Lücke
16.01.1976 00:00:00; Lücke
17.01.1976 00:00:00; Lücke
18.01.1976 00:00:00; Lücke
19.01.1976 00:00:00; Lücke
20.01.1976 00:00:00; Lücke
21.01.1976 00:00:00; Lücke
22.01.1976 00:00:00; Lücke
23.01.1976 00:00:00; Lücke
24.01.1976 00:00:00; Lücke
25.01.1976 00:00:00; Lücke
26.01.1976 00:00:00; Lücke
27.01.1976 00:00:00; Lücke
28.01.1976 00:00:00; Lücke
29.01.1976 00:00:00; Lücke
30.01.1976 00:00:00; Lücke
31.01.1976 00:00:00; Lücke
01.02.1976 00:00:00; Lücke
02.02.1976 00:00:00; Lücke
03.02.1976 00:00:00; Lücke
04.02.1976 00:00:00; Lücke
05.02.1976 00:00:00; Lücke
06.02.1976 00:00:00; Lücke
07.02.1976 00:00:00; Lücke
08.02.1976 00:00:00; Lücke
09.02.1976 00:00:00; Lücke
10.02.1976 00:00:00; Lücke
11.02.1976 00:00:00; Lücke
12.02.1976 00:00:00; Lücke
13.02.1976 00:00:00; Lücke
14.02.1976 00:00:00; Lücke
15.02.1976 00:00:00; Lücke
16.02.1976 00:00:00; Lücke
17.02.1976 00:00:00; Lücke
18.02.1976 00:00:00; Lücke
19.02.1976 00:00:00; Lücke
20.02.1976 00:00:00; Lücke
21.02.1976 00:00:00; Lücke
22.02.1976 00:00:00; Lücke
23.02.1976 00:00:00; Lücke
24.02.1976 00:00:00; Lücke
25.02.1976 00:00:00; Lücke
26.02.1976 00:00:00; Lücke
27.02.1976 00:00:00; Lücke
28.02.1976 00:00:00; Lücke
29.02.1976 00:00:00; Lücke
01.03.1976 00:00:00; Lücke
02.03.1976 00:00:00; Lücke
03.03.1976 00:00:00; Lücke
04.03.1976 00:00:00; Lücke
05.03.1976 00:00:00; Lücke
06.03.1976 00:00:00; Lücke
07.03.1976 00:00:00; Lücke
08.03.1976 00:00:00; Lücke
09.03.1976 00:00:00; Lücke
10.03.1976 00:00:00; Lücke
11.03.1976 00:00:00; Lücke
12.03.1976 00:00:00; Lücke
13.03.1976 00:00:00; Lücke
14.03.1976 00:00:00; Lücke
15.03.1976 00:00:00; Lücke
16.03.1976 00:00:00; Lücke
17.03.1976 00:00:00; Lücke
18.03.1976 00:00:00; Lücke
19.03.1976 00:00:00; Lücke
20.03.1976 00:00:00; Lücke
21.03.1976 00:00:00; Lücke
22.03.1976 00:00:00; Lücke
23.03.1976 00:00:00; Lücke
24.03.1976 00:00:00; Lücke
25.03.1976 00:00:00; Lücke
26.03.1976 00:00:00; Lücke
27.03.1976 00:00:00; Lücke
28.03.1976 00:00:00; Lücke
29.03.1976 00:00:00; Lücke
30.03.1976 00:00:00; Lücke
31.03.1976 00:00:00; Lücke
01.04.1976 00:00:00; Lücke
02.04.1976 00:00:00; Lücke
03.04.1976 00:00:00; Lücke
04.04.1976 00:00:00; Lücke
05.04.1976 00:00:00; Lücke
06.04.1976 00:00:00; Lücke
07.04.1976 00:00:00; Lücke
08.04.1976 00:00:00; Lücke
09.04.1976 00:00:00; Lücke
10.04.1976 00:00:00; Lücke
11.04.1976 00:00:00; Lücke
12.04.1976 00:00:00; Lücke
13.04.1976 00:00:00; Lücke
14.04.1976 00:00:00; Lücke
15.04.1976 00:00:00; Lücke
16.04.1976 00:00:00; Lücke
17.04.1976 00:00:00; Lücke
18.04.1976 00:00:00; Lücke
19.04.1976 00:00:00; Lücke
20.04.1976 00:00:00; Lücke
21.04.1976 00:00:00; Lücke
22.04.1976 00:00:00; Lücke
23.04.1976 00:00:00; Lücke
24.04.1976 00:00:00; Lücke
25.04.1976 00:00:00; Lücke
26.04.1976 00:00:00; Lücke
27.04.1976 00:00:00; Lücke
28.04.1976 00:00:00; Lücke
29.04.1976 00:00:00; Lücke
30.04.1976 00:00:00; Lücke
01.05.1976 00:00:00; Lücke
02.05.1976 00:00:00; Lücke
03.05.1976 00:00:00; Lücke
04.05.1976 00:00:00; Lücke
05.05.1976 00:00:00; Lücke
06.05.1976 00:00:00; Lücke
07.05.1976 00:00:00; Lücke
08.05.1976 00:00:00; Lücke
09.05.1976 00:00:00; Lücke
10.05.1976 00:00:00; Lücke
11.05.1976 00:00:00; Lücke
12.05.1976 00:00:00; Lücke
13.05.1976 00:00:00; Lücke
14.05.1976 00:00:00; Lücke
15.05.1976 00:00:00; Lücke
16.05.1976 00:00:00; Lücke
17.05.1976 00:00:00; Lücke
18.05.1976 00:00:00; Lücke
19.05.1976 00:00:00; Lücke
20.05.1976 00:00:00; Lücke
21.05.1976 00:00:00; Lücke
22.05.1976 00:00:00; Lücke
23.05.1976 00:00:00; Lücke
24.05.1976 00:00:00; Lücke
25.05.1976 00:00:00; Lücke
26.05.1976 00:00:00; Lücke
27.05.1976 00:00:00; Lücke
28.05.1976 00:00:00; Lücke
29.05.1976 00:00:00; Lücke
30.05.1976 00:00:00; Lücke
31.05.1976 00:00:00; Lücke
01.06.1976 00:00:00; Lücke
02.06.1976 00:00:00; Lücke
03.06.1976 00:00:00; Lücke
04.06.1976 00:00:00; Lücke
05.06.1976 00:00:00; Lücke
06.06.1976 00:00:00; Lücke
07.06.1976 00:00:00; Lücke
08.06.1976 00:00:00; Lücke
09.06.1976 00:00:00; Lücke
10.06.1976 00:00:00; Lücke
11.06.1976 00:00:00; Lücke
12.06.1976 00:00:00; Lücke
13.06.1976 00:00:00; Lücke
14.06.1976 00:00:00; Lücke
15.06.1976 00:00:00; Lücke
16.06.1976 00:00:00; Lücke
17.06.1976 00:00:00; Lücke
18.06.1976 00:00:00; Lücke
19.06.1976 00:00:00; Lücke
20.06.1976 00:00:00; Lücke
21.06.1976 00:00:00; Lücke
22.06.1976 00:00:00; Lücke
23.06.1976 00:00:00; Lücke
24.06.1976 00:00:00; Lücke
25.06.1976 00:00:00; Lücke
26.06.1976 00:00:00; Lücke
27.06.1976 00:00:00; Lücke
28.06.1976 00:00:00; Lücke
29.06.1976 00:00:00; Lücke
30.06.1976 00:00:00; Lücke
01.07.1976 00:00:00; Lücke
02.07.1976 00:00:00; Lücke
03.07.1976 00:00:00; Lücke
04.07.1976 00:00:00; Lücke
05.07.1976 00:00:00; Lücke
06.07.1976 00:00:00; Lücke
07.07.1976 00:00:00; Lücke
08.07.1976 00:00:00; Lücke
09.07.1976 00:00:00; Lücke
10.07.1976 00:00:00; Lücke
11.07.1976 00:00:00; Lücke
12.07.1976 00:00:00; Lücke
13.07.1976 00:00:00; Lücke
14.07.1976 00:00:00; Lücke
15.07.1976 00:00:00; Lücke
16.07.1976 00:00:00; Lücke
17.07.1976 00:00:00; Lücke
18.07.1976 00:00:00; Lücke
19.07.1976 00:00:00; Lücke
20.07.1976 00:00:00; Lücke
21.07.1976 00:00:00; Lücke
22.07.1976 00:00:00; Lücke
23.07.1976 00:00:00; Lücke
24.07.1976 00:00:00; Lücke
25.07.1976 00:00:00; Lücke
26.07.1976 00:00:00; Lücke
27.07.1976 00:00:00; Lücke
28.07.1976 00:00:00; Lücke
29.07.1976 00:00:00; Lücke
30.07.1976 00:00:00; Lücke
31.07.1976 00:00:00; Lücke
01.08.1976 00:00:00; Lücke
02.08.1976 00:00:00; Lücke
03.08.1976 00:00:00; Lücke
04.08.1976 00:00:00; Lücke
05.08.1976 00:00:00; Lücke
06.08.1976 00:00:00; Lücke
07.08.1976 00:00:00; Lücke
08.08.1976 00:00:00; Lücke
09.08.1976 00:00:00; Lücke
