;"Bare";"Forest";"Grass";"Rip";"Bare";"Forest";"Grass";"Rip";"Bare";"Forest";"Grass";"Rip";"Bare";"Forest";"Grass";"Rip"
;113589;113589;113589;113589;113597;113597;113597;113597;113670;113670;113670;113670;114538;114538;114538;114538
500;0;0;0;0;0;0;0;0;0,001;0;0;0,108;0;0;0;0
700;0;0;0;0;0;0;0;0;0,421;0,19;0,407;0,84;0,022;0,113;0,198;0,72
900;0;0;0;0;0;0,036;0,007;0,248;0;0,151;0,033;0,024;0,016;0,201;0,104;0,144
1100;0;0;0;0,005;0;0,13;0,096;0,306;0;0,192;0,04;0,018;0,044;0,221;0,028;0,052
1300;0;0,095;0,08;0,413;0,005;0,24;0,064;0,165;0,04;0,225;0,035;0,008;0,112;0,232;0,018;0,054
1500;0,03;0,292;0,058;0,337;0,024;0,258;0,083;0,127;0,021;0,189;0,116;0,002;0,22;0,155;0,114;0,016
1700;0,033;0,351;0,056;0,15;0,054;0,229;0,192;0,1;0,079;0,051;0,218;0;0,349;0,066;0,269;0,01
1900;0,056;0,226;0,288;0,083;0,171;0,099;0,308;0,037;0,175;0,002;0,132;0;0,18;0,011;0,186;0,003
2100;0,267;0,028;0,43;0,012;0,35;0,008;0,205;0,016;0,185;0;0,019;0;0,046;0,001;0,073;0,001
2300;0,53;0,008;0,085;0;0,3;0;0,041;0,001;0,078;0;0;0;0,011;0;0,01;0
2500;0,084;0;0,003;0;0,092;0;0,004;0;0;0;0;0;0;0;0;0
2700;0;0;0;0;0,004;0;0;0;0;0;0;0;0;0;0;0
