,bare,forest,grass,rip,bare,forest,grass,rip,bare,forest,grass,rip,bare,forest,grass,rip,bare,forest,grass,rip,bare,forest,grass,rip
0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6
500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4795,19081,60852,412580
700,0,0,0,0,0,0,0,0,0,0,0,0,0,4199307,2673220,765515,289927,10700023,12217989,2085809,745033,10261834,8432316,3914414
900,0,0,0,0,0,0,0,0,0,4225945,762940,467607,0,15380909,5259499,479587,0,9891787,2079104,90561,0,8246283,676926,104461
1100,0,0,0,0,0,1671114,1918440,294225,0,11882326,4165872,280211,0,17597650,896582,122516,0,10174475,927888,83478,0,10533725,851390,94233
1300,0,2282408,2247246,394147,9443,11344021,3458685,434295,110005,15396001,1492950,124655,213543,17992130,537360,175949,0,11321152,660904,61838,71227,12210263,718743,35839
1500,258434,11024071,1728851,512790,159149,14397062,2599442,235249,469003,15097632,3150316,73238,501470,10985665,3402718,23931,0,8218731,5127451,43582,38123,10269310,2170232,14191
1700,284209,13862017,1670942,225741,504393,14992036,4180116,106573,903385,11651098,8328872,100879,1266706,3935034,7380894,6921,43879,3592447,12846856,32934,132175,2729410,3979362,0
1900,424019,9078224,9147844,134729,1691316,8625219,9449365,43060,2533991,3625535,12055942,46981,2485191,699974,5083342,4299,151113,111936,8072249,11001,310320,97729,2732902,0
2100,1761987,1085505,13292196,20269,4783690,928944,9919897,20168,4149884,185545,7660327,8413,3526131,19396,1873245,829,618005,0,1870932,0,324220,0,400474,0
2300,3703096,373365,2734755,0,5280847,4031,2494607,1939,2734345,0,1221841,0,2010930,0,108878,0,19109,0,20824,0,133821,0,0,0
2500,371378,667,103944,0,1642426,0,268038,0,955806,0,31106,0,428029,0,0,0,0,0,0,0,0,0,0,0
2700,525,0,0,0,24773,0,0,0,103729,0,0,0,91493,0,0,0,0,0,0,0,0,0,0,0
