,Bare,Forest,Grass,Rip,Bare,Forest,Grass,Rip,Bare,Forest,Grass,Rip,Bare,Forest,Grass,Rip,Bare,Forest,Grass,Rip
,100123,100123,100123,100123,16910,16910,16910,16910,100057,100057,100057,100057,100180,100180,100180,100180,100206,100206,100206,100206
500,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002654,3.3E-05,0.022736,0,0,0,0
700,0,0.004974,0.0072,0.091887,0,0,0,0,0,0,0,0,0,0.132429,0.134471,0.568092,0,0.000311,0.000609,0.016333
900,0.000762,0.079178,0.068513,0.22854,0,0.005864,0.014878,0.047069,0,0,0,0,0.003373,0.165874,0.059104,0.057729,0,0.068228,0.053,0.206556
1100,0.006415,0.13186,0.011603,0.061292,0,0.147761,0.029321,0.067725,0,0,0,0,0.019088,0.155014,0.068933,0.059416,0.004072,0.144938,0.059903,0.153503
1300,0.014009,0.187711,0.023703,0.133843,0,0.222726,0.005045,0.02408,0,0,0,0,0.037661,0.177075,0.057381,0.068903,0.002755,0.225648,0.041329,0.12884
1500,0.03856,0.282359,0.039364,0.161198,0,0.297897,0.024246,0.08236,0,0,0,0,0.049073,0.202302,0.064398,0.073367,0.005742,0.303224,0.044517,0.107308
1700,0.032878,0.260789,0.128307,0.123503,0.00355,0.280467,0.088878,0.112704,0,0.655436,0.041106,0.126265,0.066415,0.146954,0.135593,0.054869,0.021228,0.224907,0.137966,0.124749
1900,0.073322,0.052353,0.313578,0.089792,0.028509,0.044746,0.279009,0.378189,0.011307,0.344564,0.213279,0.287337,0.108657,0.017698,0.241498,0.04064,0.062478,0.031717,0.328348,0.096018
2100,0.287239,0.000776,0.298076,0.07857,0.108493,0.000539,0.307343,0.119925,0.048903,0,0.404206,0.390078,0.253226,0,0.191617,0.051783,0.228347,0.001027,0.247928,0.114928
2300,0.384937,0,0.103505,0.031375,0.437522,0,0.216233,0.159814,0.193172,0,0.284828,0.116174,0.296643,0,0.046359,0.002465,0.445355,0,0.075431,0.051765
2500,0.137006,0,0.006151,0,0.349593,0,0.034776,0.008134,0.304567,0,0.055483,0.072912,0.125829,0,0.000613,0,0.212443,0,0.010949,0
2700,0.024872,0,0,0,0.070471,0,0.000271,0,0.284782,0,0.001098,0.007234,0.039084,0,0,0,0.01758,0,2E-05,0
2900,0,0,0,0,0.001862,0,0,0,0.125351,0,0,0,0.000951,0,0,0,0,0,0,0
3100,0,0,0,0,0,0,0,0,0.03128,0,0,0,0,0,0,0,0,0,0,0
3300,0,0,0,0,0,0,0,0,0.000638,0,0,0,0,0,0,0,0,0,0,0
