Messstelle:                ;Bürs (Brücke L82)
HZB-Nummer:                ;200097
HD-Nummer:                 ;
DBMS-Nummer:               ;8001009
Gewässer:                  ;Alvier
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;72,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;564,42
   01.01.1989              ;564,44
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
  gültig seit:             ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
   01.01.1926              ;09 48 10                 ;47 09 05
Exportzeitreihe:           ;(8001009,Abfluss,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1990 00:00,01.01.2017 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1990 00:00:00; 0,793
02.01.1990 00:00:00; 0,789
03.01.1990 00:00:00; 0,867
04.01.1990 00:00:00; 0,900
05.01.1990 00:00:00; 0,990
06.01.1990 00:00:00; 0,852
07.01.1990 00:00:00; 0,832
08.01.1990 00:00:00; 0,837
09.01.1990 00:00:00; 0,845
10.01.1990 00:00:00; 0,861
11.01.1990 00:00:00; 0,835
12.01.1990 00:00:00; 0,835
13.01.1990 00:00:00; 0,817
14.01.1990 00:00:00; 0,776
15.01.1990 00:00:00; 0,789
16.01.1990 00:00:00; 0,802
17.01.1990 00:00:00; 0,747
18.01.1990 00:00:00; 0,708
19.01.1990 00:00:00; 0,675
20.01.1990 00:00:00; 0,669
21.01.1990 00:00:00; 0,701
22.01.1990 00:00:00; 0,645
23.01.1990 00:00:00; 0,642
24.01.1990 00:00:00; 0,676
25.01.1990 00:00:00; 0,690
26.01.1990 00:00:00; 0,695
27.01.1990 00:00:00; 0,651
28.01.1990 00:00:00; 0,654
29.01.1990 00:00:00; 0,656
30.01.1990 00:00:00; 0,639
31.01.1990 00:00:00; 0,641
01.02.1990 00:00:00; 0,644
02.02.1990 00:00:00; 0,650
03.02.1990 00:00:00; 0,609
04.02.1990 00:00:00; 0,604
05.02.1990 00:00:00; 0,594
06.02.1990 00:00:00; 0,634
07.02.1990 00:00:00; 0,609
08.02.1990 00:00:00; 0,581
09.02.1990 00:00:00; 0,607
10.02.1990 00:00:00; 0,633
11.02.1990 00:00:00; 0,594
12.02.1990 00:00:00; 0,601
13.02.1990 00:00:00; 0,651
14.02.1990 00:00:00;  1,98
15.02.1990 00:00:00;  9,29
16.02.1990 00:00:00;  3,53
17.02.1990 00:00:00;  1,83
18.02.1990 00:00:00;  1,67
19.02.1990 00:00:00;  1,42
20.02.1990 00:00:00;  1,39
21.02.1990 00:00:00;  1,32
22.02.1990 00:00:00;  1,23
23.02.1990 00:00:00;  1,27
24.02.1990 00:00:00;  1,25
25.02.1990 00:00:00;  1,25
26.02.1990 00:00:00;  1,28
27.02.1990 00:00:00;  1,77
28.02.1990 00:00:00;  1,73
01.03.1990 00:00:00;  2,65
02.03.1990 00:00:00;  1,78
03.03.1990 00:00:00;  1,38
04.03.1990 00:00:00;  1,31
05.03.1990 00:00:00;  1,26
06.03.1990 00:00:00;  1,27
07.03.1990 00:00:00;  1,26
08.03.1990 00:00:00;  1,29
09.03.1990 00:00:00;  1,36
10.03.1990 00:00:00;  1,25
11.03.1990 00:00:00;  1,29
12.03.1990 00:00:00;  1,48
13.03.1990 00:00:00;  1,53
14.03.1990 00:00:00;  1,50
15.03.1990 00:00:00;  1,50
16.03.1990 00:00:00;  1,47
17.03.1990 00:00:00;  1,39
18.03.1990 00:00:00;  1,37
19.03.1990 00:00:00;  1,35
20.03.1990 00:00:00;  1,36
21.03.1990 00:00:00;  1,59
22.03.1990 00:00:00;  1,79
23.03.1990 00:00:00;  2,12
24.03.1990 00:00:00;  1,96
25.03.1990 00:00:00;  1,74
26.03.1990 00:00:00;  1,52
27.03.1990 00:00:00;  1,43
28.03.1990 00:00:00;  1,39
29.03.1990 00:00:00;  1,28
30.03.1990 00:00:00;  1,27
31.03.1990 00:00:00;  1,31
01.04.1990 00:00:00;  1,42
02.04.1990 00:00:00;  1,54
03.04.1990 00:00:00;  1,56
04.04.1990 00:00:00;  1,54
05.04.1990 00:00:00;  1,34
06.04.1990 00:00:00;  1,29
07.04.1990 00:00:00;  1,38
08.04.1990 00:00:00;  1,47
09.04.1990 00:00:00;  1,45
10.04.1990 00:00:00;  1,38
11.04.1990 00:00:00;  1,36
12.04.1990 00:00:00;  1,31
13.04.1990 00:00:00;  1,37
14.04.1990 00:00:00;  1,51
15.04.1990 00:00:00;  1,56
16.04.1990 00:00:00;  1,48
17.04.1990 00:00:00;  1,48
18.04.1990 00:00:00;  1,56
19.04.1990 00:00:00;  1,43
20.04.1990 00:00:00;  1,41
21.04.1990 00:00:00;  1,58
22.04.1990 00:00:00;  1,69
23.04.1990 00:00:00;  1,81
24.04.1990 00:00:00;  1,75
25.04.1990 00:00:00;  1,92
26.04.1990 00:00:00;  1,91
27.04.1990 00:00:00;  1,86
28.04.1990 00:00:00;  1,92
29.04.1990 00:00:00;  2,07
30.04.1990 00:00:00;  2,45
01.05.1990 00:00:00;  2,99
02.05.1990 00:00:00;  3,79
03.05.1990 00:00:00;  4,51
04.05.1990 00:00:00;  4,52
05.05.1990 00:00:00;  4,36
06.05.1990 00:00:00;  4,07
07.05.1990 00:00:00;  3,87
08.05.1990 00:00:00;  4,34
09.05.1990 00:00:00;  4,98
10.05.1990 00:00:00;  4,58
11.05.1990 00:00:00;  4,19
12.05.1990 00:00:00;  4,06
13.05.1990 00:00:00;  3,90
14.05.1990 00:00:00;  3,86
15.05.1990 00:00:00;  4,40
16.05.1990 00:00:00;  4,98
17.05.1990 00:00:00;  4,96
18.05.1990 00:00:00;  4,36
19.05.1990 00:00:00;  3,99
20.05.1990 00:00:00;  4,13
21.05.1990 00:00:00;  4,09
22.05.1990 00:00:00;  4,09
23.05.1990 00:00:00;  4,08
24.05.1990 00:00:00;  4,06
25.05.1990 00:00:00;  5,05
26.05.1990 00:00:00;  4,36
27.05.1990 00:00:00;  3,51
28.05.1990 00:00:00;  2,99
29.05.1990 00:00:00;  3,02
30.05.1990 00:00:00;  2,74
31.05.1990 00:00:00;  2,67
01.06.1990 00:00:00;  2,73
02.06.1990 00:00:00;  2,80
03.06.1990 00:00:00;  3,05
04.06.1990 00:00:00;  3,37
05.06.1990 00:00:00;  3,96
