,Bare,Forest,Grass,Rip,Bare,Forest,Grass,Rip,Bare,Forest,Grass,Rip
,106120,106120,106120,106120,111815,111815,111815,111815,9900,9900,9900,9900
700,0,0.026181425039427,0.15431291026303,0.758821423457688,0,0.016177156615353,0.102460918915375,0.543292298760214,0,0.066968578653301,0.538010646069662,0.932742450584628
900,0.000165936410504,0.102250818154353,0.014649811121034,0.02707494568958,0,0.176539504615305,0.133567871159079,0.347814630521013,0,0.191617751745199,0.133790639920952,0.030471306898121
1100,0.00987864285863,0.17314581579126,0.053465036653185,0.128331780188418,0,0.273264734530935,0.027352295683477,0.04491517063241,0,0.266603592943668,0.065862766665269,0.026869293562014
1300,0.033951228330366,0.327447910933196,0.049038354760118,0.054780005763259,0,0.274506010050177,0.012726280956823,0.031514276936915,0.066526595537101,0.254094088462431,0.006941897475423,0.008212381449074
1500,0.029999561609877,0.281660320281361,0.082809204613527,0.016603275161687,0,0.211305888245042,0.130508585424248,0.016370742948683,0.227481856585208,0.17724504982753,0.042472545480849,0.001704567506164
1700,0.020264080766212,0.087344702727562,0.324022698740986,0.009794572597374,0.030068009484069,0.048128826710703,0.367444429316893,0.013939446348844,0.333571700551836,0.04247581801403,0.125535996847163,0
1900,0.284290180998696,0.001969007072841,0.266075219794477,0.004504656023831,0.566303895519503,7.79E-05,0.211733646707122,0.002153432405769,0.255839300263045,0.000995120353842,0.083031543502824,0
2100,0.454909399202839,0,0.054373063349691,8.93E-05,0.403347481412152,0,0.014205971836983,1.45E-09,0.110279631582484,0,0.004353964037859,0
2300,0.164104804229928,0,0.001253700703953,0,0.000280613584276,0,0,0,0.006300915480327,0,0,0
2500,0.002436165592948,0,0,0,0,0,0,0,0,0,0,0
