,Bare,Forest,Grass,Rip,Bare,Forest,Grass,Rip,Bare,Forest,Grass,Rip
,106120,106120,106120,106120,111815,111815,111815,111815,9900,9900,9900,9900
700,0,0.026181,0.154313,0.758821,0,0.016177,0.102461,0.543292,0,0.066969,0.538011,0.932742
900,0.000166,0.102251,0.01465,0.027075,0,0.17654,0.133568,0.347815,0,0.191618,0.133791,0.030471
1100,0.009879,0.173146,0.053465,0.128332,0,0.273265,0.027352,0.044915,0,0.266604,0.065863,0.026869
1300,0.033951,0.327448,0.049038,0.05478,0,0.274506,0.012726,0.031514,0.066527,0.254094,0.006942,0.008212
1500,0.03,0.28166,0.082809,0.016603,0,0.211306,0.130509,0.016371,0.227482,0.177245,0.042473,0.001706
1700,0.020264,0.087345,0.324023,0.009795,0.030068,0.048129,0.367444,0.01394,0.333572,0.042476,0.125536,0
1900,0.28429,0.001969,0.266075,0.004505,0.566304,7.70E-05,0.211734,0.002153,0.255839,0.000994,0.083032,0
2100,0.454909,0,0.054373,8.90E-05,0.403347,0,0.014206,0,0.11028,0,0.004352,0
2300,0.164105,0,0.001254,0,0.000281,0,0,0,0.0063,0,0,0
2500,0.002436,0,0,0,0,0,0,0,0,0,0,0
