Messstelle:                ;St. Leonhard im Pitztal
HZB-Nummer:                ;201335
HD-Nummer:                 ;
DBMS-Nummer:               ;7001031
Gewässer:                  ;Pitze
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
orogr.Einzugsgebiet [km²]: ;165,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1941              ;1337,45
   01.01.1976              ;1337,97
   01.01.1982              ;1338,77
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
  gültig seit:             ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
   01.01.1941              ;10 50 38                 ;47 04 13
Exportzeitreihe:           ;(7001031,Abfluss,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1961 00:00,01.01.2017 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1961 00:00:00; 0,960
02.01.1961 00:00:00; 0,960
03.01.1961 00:00:00; 0,960
04.01.1961 00:00:00;  1,03
05.01.1961 00:00:00; 0,960
06.01.1961 00:00:00; 0,960
07.01.1961 00:00:00; 0,900
08.01.1961 00:00:00; 0,900
09.01.1961 00:00:00; 0,900
10.01.1961 00:00:00; 0,960
11.01.1961 00:00:00; 0,960
12.01.1961 00:00:00; 0,900
13.01.1961 00:00:00; 0,900
14.01.1961 00:00:00;  1,03
15.01.1961 00:00:00;  1,03
16.01.1961 00:00:00; 0,830
17.01.1961 00:00:00; 0,900
18.01.1961 00:00:00;  1,37
19.01.1961 00:00:00;  1,55
20.01.1961 00:00:00;  1,55
21.01.1961 00:00:00;  1,19
22.01.1961 00:00:00; 0,830
23.01.1961 00:00:00; 0,760
24.01.1961 00:00:00; 0,760
25.01.1961 00:00:00; 0,760
26.01.1961 00:00:00; 0,830
27.01.1961 00:00:00; 0,830
28.01.1961 00:00:00; 0,960
29.01.1961 00:00:00; 0,830
30.01.1961 00:00:00; 0,830
31.01.1961 00:00:00; 0,830
01.02.1961 00:00:00; 0,900
02.02.1961 00:00:00; 0,900
03.02.1961 00:00:00; 0,900
04.02.1961 00:00:00; 0,900
05.02.1961 00:00:00; 0,830
06.02.1961 00:00:00; 0,960
07.02.1961 00:00:00; 0,900
08.02.1961 00:00:00; 0,900
09.02.1961 00:00:00; 0,900
10.02.1961 00:00:00; 0,900
11.02.1961 00:00:00; 0,760
12.02.1961 00:00:00; 0,830
13.02.1961 00:00:00; 0,760
14.02.1961 00:00:00; 0,760
15.02.1961 00:00:00; 0,760
16.02.1961 00:00:00; 0,760
17.02.1961 00:00:00; 0,760
18.02.1961 00:00:00; 0,830
19.02.1961 00:00:00; 0,830
20.02.1961 00:00:00; 0,830
21.02.1961 00:00:00; 0,900
22.02.1961 00:00:00; 0,830
23.02.1961 00:00:00; 0,830
24.02.1961 00:00:00; 0,760
25.02.1961 00:00:00; 0,830
26.02.1961 00:00:00; 0,830
27.02.1961 00:00:00; 0,900
28.02.1961 00:00:00; 0,900
01.03.1961 00:00:00; 0,900
02.03.1961 00:00:00; 0,900
03.03.1961 00:00:00; 0,830
04.03.1961 00:00:00; 0,830
05.03.1961 00:00:00; 0,960
06.03.1961 00:00:00; 0,960
07.03.1961 00:00:00; 0,960
08.03.1961 00:00:00;  1,03
09.03.1961 00:00:00;  1,10
10.03.1961 00:00:00;  1,10
11.03.1961 00:00:00;  1,03
12.03.1961 00:00:00;  1,10
13.03.1961 00:00:00;  1,19
14.03.1961 00:00:00;  1,28
15.03.1961 00:00:00;  1,46
16.03.1961 00:00:00;  1,46
17.03.1961 00:00:00;  1,55
18.03.1961 00:00:00;  1,66
19.03.1961 00:00:00;  1,66
20.03.1961 00:00:00;  1,46
21.03.1961 00:00:00;  1,37
22.03.1961 00:00:00;  1,28
23.03.1961 00:00:00;  1,37
24.03.1961 00:00:00;  1,66
25.03.1961 00:00:00;  1,66
26.03.1961 00:00:00;  1,55
27.03.1961 00:00:00;  1,55
28.03.1961 00:00:00;  1,46
29.03.1961 00:00:00;  1,37
30.03.1961 00:00:00;  1,28
31.03.1961 00:00:00;  1,28
01.04.1961 00:00:00;  1,28
02.04.1961 00:00:00;  1,37
03.04.1961 00:00:00;  1,46
04.04.1961 00:00:00;  1,55
05.04.1961 00:00:00;  1,77
06.04.1961 00:00:00;  2,10
07.04.1961 00:00:00;  2,52
08.04.1961 00:00:00;  3,31
09.04.1961 00:00:00;  3,87
10.04.1961 00:00:00;  3,87
11.04.1961 00:00:00;  4,31
12.04.1961 00:00:00;  4,09
13.04.1961 00:00:00;  3,87
14.04.1961 00:00:00;  4,31
15.04.1961 00:00:00;  4,09
16.04.1961 00:00:00;  3,87
17.04.1961 00:00:00;  3,48
18.04.1961 00:00:00;  3,65
19.04.1961 00:00:00;  3,48
20.04.1961 00:00:00;  3,31
21.04.1961 00:00:00;  3,31
22.04.1961 00:00:00;  3,31
23.04.1961 00:00:00;  3,31
24.04.1961 00:00:00;  3,31
25.04.1961 00:00:00;  3,14
26.04.1961 00:00:00;  3,31
27.04.1961 00:00:00;  3,31
28.04.1961 00:00:00;  3,14
29.04.1961 00:00:00;  3,31
30.04.1961 00:00:00;  3,31
01.05.1961 00:00:00;  3,14
02.05.1961 00:00:00;  3,14
03.05.1961 00:00:00;  3,14
04.05.1961 00:00:00;  3,48
05.05.1961 00:00:00;  4,31
06.05.1961 00:00:00;  5,87
07.05.1961 00:00:00;  7,75
08.05.1961 00:00:00;  7,11
09.05.1961 00:00:00;  5,87
10.05.1961 00:00:00;  4,75
11.05.1961 00:00:00;  4,31
12.05.1961 00:00:00;  3,87
13.05.1961 00:00:00;  3,87
14.05.1961 00:00:00;  4,09
15.05.1961 00:00:00;  6,79
16.05.1961 00:00:00;  6,79
17.05.1961 00:00:00;  5,87
18.05.1961 00:00:00;  5,87
19.05.1961 00:00:00;  5,87
20.05.1961 00:00:00;  5,59
21.05.1961 00:00:00;  5,31
22.05.1961 00:00:00;  4,75
23.05.1961 00:00:00;  4,53
24.05.1961 00:00:00;  4,75
25.05.1961 00:00:00;  5,59
26.05.1961 00:00:00;  7,11
27.05.1961 00:00:00;  8,81
28.05.1961 00:00:00;  9,92
29.05.1961 00:00:00;  9,17
30.05.1961 00:00:00;  8,10
31.05.1961 00:00:00;  7,43
01.06.1961 00:00:00;  7,43
02.06.1961 00:00:00;  9,52
03.06.1961 00:00:00;  10,7
04.06.1961 00:00:00;  8,81
05.06.1961 00:00:00;  7,43
06.06.1961 00:00:00;  9,17
07.06.1961 00:00:00;  10,7
08.06.1961 00:00:00;  10,3
09.06.1961 00:00:00;  9,92
10.06.1961 00:00:00;  10,7
11.06.1961 00:00:00;  9,17
12.06.1961 00:00:00;  9,92
13.06.1961 00:00:00;  11,5
14.06.1961 00:00:00;  12,8
15.06.1961 00:00:00;  11,9
16.06.1961 00:00:00;  12,4
17.06.1961 00:00:00;  12,8
18.06.1961 00:00:00;  13,3
19.06.1961 00:00:00;  16,4
20.06.1961 00:00:00;  22,8
21.06.1961 00:00:00;  25,1
22.06.1961 00:00:00;  26,3
23.06.1961 00:00:00;  28,2
24.06.1961 00:00:00;  22,8
25.06.1961 00:00:00;  24,0
26.06.1961 00:00:00;  26,9
27.06.1961 00:00:00;  25,1
28.06.1961 00:00:00;  25,7
29.06.1961 00:00:00;  24,0
30.06.1961 00:00:00;  23,4
01.07.1961 00:00:00;  25,1
02.07.1961 00:00:00;  23,4
03.07.1961 00:00:00;  30,3
04.07.1961 00:00:00;  28,9
05.07.1961 00:00:00;  26,3
06.07.1961 00:00:00;  19,5
07.07.1961 00:00:00;  16,9
08.07.1961 00:00:00;  15,5
09.07.1961 00:00:00;  14,1
10.07.1961 00:00:00;  12,4
11.07.1961 00:00:00;  13,7
12.07.1961 00:00:00;  15,5
13.07.1961 00:00:00;  16,9
14.07.1961 00:00:00;  13,3
15.07.1961 00:00:00;  13,3
16.07.1961 00:00:00;  13,3
17.07.1961 00:00:00;  10,3
18.07.1961 00:00:00;  9,52
