,Bare,Forest,Grass,Rip,Bare,Forest,Grass,Rip,Bare,Forest,Grass,Rip,Bare,Forest,Grass,Rip
,100123,100123,100123,100123,16910,16910,16910,16910,100180,100180,100180,100180,100206,100206,100206,100206
700,0,0,0,0,0,0,0,0,0,0.093021,0.090076,0.691922,0,0.000315,0.00063,0.016398
900,0,0,0,0,0,0,0,0,0,0.24056,0.288056,0.115344,0,0.069174,0.054803,0.207376
1100,0,0,0,0,0,0,0,0,0,0.157089,0.338994,0.063185,0.004157,0.146946,0.061941,0.154112
1300,0,0.05253,0.017204,0.302091,0,0,0,0,0,0.18695,0.154518,0.098248,0.002812,0.228772,0.042733,0.129351
1500,0,0.334779,0.047942,0.396301,0,0,0,0,0.884675,0.153859,0.103394,0.031301,0.005861,0.307427,0.046032,0.107733
1700,0.015654,0.487516,0.123713,0.121726,0,1,0.124235,0.313008,0.115325,0.135986,0.000153,0,0.017363,0.216434,0.141484,0.123845
1900,0.074426,0.125175,0.428647,0.083232,0.021467,0,0.484661,0.548547,0,0.032535,0.022417,0,0.057663,0.029891,0.324321,0.093886
2100,0.438325,0,0.3146,0.09665,0.206916,0,0.284939,0.071492,0,0,0.002392,0,0.231527,0.001041,0.243686,0.115329
2300,0.400362,0,0.066684,0,0.500577,0,0.097467,0.066953,0,0,0,0,0.446547,0,0.073047,0.05197
2500,0.07116,0,0.00121,0,0.253275,0,0.008698,0,0,0,0,0,0.216124,0,0.011303,0
2700,7.30E-05,0,0,0.00E+00,0.017765,0,0,0,0,0,0,0,0.017946,0,2.00E-05,0
