Messstelle:                ;Schruns (Vonbunweg)
HZB-Nummer:                ;200048
HD-Nummer:                 ;
DBMS-Nummer:               ;8001004
Gewässer:                  ;Litz
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;102
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;705,62
   01.01.1980              ;671,13
   01.01.1997              ;673,25
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
  gültig seit:             ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
   01.01.1959              ;09 54 44                 ;47 04 49
   01.01.1997              ;09 54 50                 ;47 04 51
Exportzeitreihe:           ;(8001004,Abfluss,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.10.1958 00:00,01.01.2017 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.10.1958 00:00:00;  3,35
02.10.1958 00:00:00;  3,70
03.10.1958 00:00:00;  3,35
04.10.1958 00:00:00;  3,15
05.10.1958 00:00:00;  3,10
06.10.1958 00:00:00;  3,10
07.10.1958 00:00:00;  3,10
08.10.1958 00:00:00;  2,90
09.10.1958 00:00:00;  2,75
10.10.1958 00:00:00;  2,70
11.10.1958 00:00:00;  2,70
12.10.1958 00:00:00;  3,90
13.10.1958 00:00:00;  4,65
14.10.1958 00:00:00;  7,44
15.10.1958 00:00:00;  9,94
16.10.1958 00:00:00;  6,85
17.10.1958 00:00:00;  5,90
18.10.1958 00:00:00;  5,04
19.10.1958 00:00:00;  4,75
20.10.1958 00:00:00;  4,70
21.10.1958 00:00:00;  4,65
22.10.1958 00:00:00;  4,30
23.10.1958 00:00:00;  4,27
24.10.1958 00:00:00;  4,30
25.10.1958 00:00:00;  4,65
26.10.1958 00:00:00;  4,85
27.10.1958 00:00:00;  5,00
28.10.1958 00:00:00;  4,85
29.10.1958 00:00:00;  5,00
30.10.1958 00:00:00;  4,80
31.10.1958 00:00:00;  4,45
01.11.1958 00:00:00;  4,40
02.11.1958 00:00:00;  4,25
03.11.1958 00:00:00;  4,45
04.11.1958 00:00:00;  4,60
05.11.1958 00:00:00;  4,25
06.11.1958 00:00:00;  3,90
07.11.1958 00:00:00;  3,90
08.11.1958 00:00:00;  3,80
09.11.1958 00:00:00;  3,70
10.11.1958 00:00:00;  3,65
11.11.1958 00:00:00;  3,60
12.11.1958 00:00:00;  3,62
13.11.1958 00:00:00;  3,50
14.11.1958 00:00:00;  3,25
15.11.1958 00:00:00;  3,00
16.11.1958 00:00:00;  2,95
17.11.1958 00:00:00;  2,90
18.11.1958 00:00:00;  2,80
19.11.1958 00:00:00;  2,75
20.11.1958 00:00:00;  2,75
21.11.1958 00:00:00;  2,75
22.11.1958 00:00:00;  3,00
23.11.1958 00:00:00;  3,10
24.11.1958 00:00:00;  3,10
25.11.1958 00:00:00;  3,05
26.11.1958 00:00:00;  3,00
27.11.1958 00:00:00;  2,95
28.11.1958 00:00:00;  2,90
29.11.1958 00:00:00;  2,85
30.11.1958 00:00:00;  2,75
01.12.1958 00:00:00;  2,55
02.12.1958 00:00:00;  2,25
03.12.1958 00:00:00;  2,15
04.12.1958 00:00:00;  2,06
05.12.1958 00:00:00;  2,10
06.12.1958 00:00:00;  2,10
07.12.1958 00:00:00;  2,00
08.12.1958 00:00:00;  1,90
09.12.1958 00:00:00;  1,80
10.12.1958 00:00:00;  1,77
11.12.1958 00:00:00;  1,85
12.12.1958 00:00:00;  1,90
13.12.1958 00:00:00;  2,00
14.12.1958 00:00:00;  2,00
15.12.1958 00:00:00;  1,95
16.12.1958 00:00:00;  1,90
17.12.1958 00:00:00;  1,85
18.12.1958 00:00:00;  1,75
19.12.1958 00:00:00;  1,70
20.12.1958 00:00:00;  1,65
21.12.1958 00:00:00;  1,65
22.12.1958 00:00:00;  1,60
23.12.1958 00:00:00;  1,59
24.12.1958 00:00:00;  1,60
25.12.1958 00:00:00;  1,70
26.12.1958 00:00:00;  1,80
27.12.1958 00:00:00;  1,90
28.12.1958 00:00:00;  2,00
29.12.1958 00:00:00;  2,15
30.12.1958 00:00:00;  2,05
31.12.1958 00:00:00;  1,90
01.01.1959 00:00:00;  1,80
02.01.1959 00:00:00;  1,70
03.01.1959 00:00:00;  1,60
04.01.1959 00:00:00;  1,55
05.01.1959 00:00:00;  1,50
06.01.1959 00:00:00;  1,60
07.01.1959 00:00:00;  1,67
08.01.1959 00:00:00;  1,65
09.01.1959 00:00:00;  1,55
10.01.1959 00:00:00;  1,50
11.01.1959 00:00:00;  1,50
12.01.1959 00:00:00;  1,50
13.01.1959 00:00:00;  1,45
14.01.1959 00:00:00;  1,45
15.01.1959 00:00:00;  1,45
16.01.1959 00:00:00;  1,45
17.01.1959 00:00:00;  1,45
18.01.1959 00:00:00;  1,45
19.01.1959 00:00:00;  1,45
20.01.1959 00:00:00;  1,45
21.01.1959 00:00:00;  1,45
22.01.1959 00:00:00;  1,45
23.01.1959 00:00:00;  1,40
24.01.1959 00:00:00;  1,40
25.01.1959 00:00:00;  1,40
26.01.1959 00:00:00;  1,40
27.01.1959 00:00:00;  1,40
28.01.1959 00:00:00;  1,35
29.01.1959 00:00:00;  1,25
30.01.1959 00:00:00;  1,25
31.01.1959 00:00:00;  1,25
01.02.1959 00:00:00;  1,20
02.02.1959 00:00:00;  1,20
03.02.1959 00:00:00;  1,19
04.02.1959 00:00:00;  1,15
05.02.1959 00:00:00;  1,15
06.02.1959 00:00:00;  1,15
07.02.1959 00:00:00;  1,15
08.02.1959 00:00:00;  1,10
09.02.1959 00:00:00;  1,15
10.02.1959 00:00:00;  1,15
11.02.1959 00:00:00;  1,10
12.02.1959 00:00:00;  1,10
13.02.1959 00:00:00;  1,10
14.02.1959 00:00:00;  1,10
15.02.1959 00:00:00;  1,10
16.02.1959 00:00:00;  1,15
17.02.1959 00:00:00;  1,15
18.02.1959 00:00:00;  1,15
19.02.1959 00:00:00;  1,15
20.02.1959 00:00:00;  1,25
21.02.1959 00:00:00;  1,30
22.02.1959 00:00:00;  1,35
23.02.1959 00:00:00;  1,25
24.02.1959 00:00:00;  1,30
25.02.1959 00:00:00;  1,25
26.02.1959 00:00:00;  1,30
27.02.1959 00:00:00;  1,40
28.02.1959 00:00:00;  1,50
01.03.1959 00:00:00;  1,60
02.03.1959 00:00:00;  1,65
03.03.1959 00:00:00;  1,65
04.03.1959 00:00:00;  1,65
05.03.1959 00:00:00;  1,80
06.03.1959 00:00:00;  1,90
07.03.1959 00:00:00;  2,35
08.03.1959 00:00:00;  2,65
09.03.1959 00:00:00;  1,95
10.03.1959 00:00:00;  1,85
11.03.1959 00:00:00;  1,75
12.03.1959 00:00:00;  1,75
13.03.1959 00:00:00;  1,65
14.03.1959 00:00:00;  1,55
15.03.1959 00:00:00;  1,50
16.03.1959 00:00:00;  1,45
17.03.1959 00:00:00;  1,45
18.03.1959 00:00:00;  1,50
19.03.1959 00:00:00;  1,50
20.03.1959 00:00:00;  1,60
21.03.1959 00:00:00;  1,95
22.03.1959 00:00:00;  1,95
23.03.1959 00:00:00;  2,20
24.03.1959 00:00:00;  3,00
25.03.1959 00:00:00;  3,00
26.03.1959 00:00:00;  3,00
27.03.1959 00:00:00;  2,55
28.03.1959 00:00:00;  2,45
29.03.1959 00:00:00;  2,25
30.03.1959 00:00:00;  2,20
31.03.1959 00:00:00;  1,95
01.04.1959 00:00:00;  1,80
02.04.1959 00:00:00;  1,90
03.04.1959 00:00:00;  2,15
04.04.1959 00:00:00;  2,55
05.04.1959 00:00:00;  3,25
06.04.1959 00:00:00;  3,55
07.04.1959 00:00:00;  3,35
08.04.1959 00:00:00;  2,85
09.04.1959 00:00:00;  2,90
10.04.1959 00:00:00;  2,65
11.04.1959 00:00:00;  2,25
12.04.1959 00:00:00;  2,15
13.04.1959 00:00:00;  2,60
14.04.1959 00:00:00;  3,50
15.04.1959 00:00:00;  4,10
16.04.1959 00:00:00;  4,10
17.04.1959 00:00:00;  3,75
18.04.1959 00:00:00;  3,35
19.04.1959 00:00:00;  3,95
20.04.1959 00:00:00;  3,45
21.04.1959 00:00:00;  2,80
22.04.1959 00:00:00;  2,60
23.04.1959 00:00:00;  2,60
24.04.1959 00:00:00;  2,75
25.04.1959 00:00:00;  2,95
26.04.1959 00:00:00;  3,30
27.04.1959 00:00:00;  3,45
28.04.1959 00:00:00;  3,60
29.04.1959 00:00:00;  3,60
30.04.1959 00:00:00;  3,90
01.05.1959 00:00:00;  3,95
02.05.1959 00:00:00;  3,80
03.05.1959 00:00:00;  3,55
04.05.1959 00:00:00;  3,40
05.05.1959 00:00:00;  4,00
06.05.1959 00:00:00;  4,20
07.05.1959 00:00:00;  5,00
08.05.1959 00:00:00;  6,80
09.05.1959 00:00:00;  6,80
10.05.1959 00:00:00;  6,70
11.05.1959 00:00:00;  7,60
12.05.1959 00:00:00;  8,70
13.05.1959 00:00:00;  7,10
14.05.1959 00:00:00;  5,80
15.05.1959 00:00:00;  4,70
16.05.1959 00:00:00;  4,60
17.05.1959 00:00:00;  5,50
18.05.1959 00:00:00;  6,50
19.05.1959 00:00:00;  9,00
20.05.1959 00:00:00;  9,50
21.05.1959 00:00:00;  9,60
22.05.1959 00:00:00;  9,10
23.05.1959 00:00:00;  10,1
24.05.1959 00:00:00;  10,4
25.05.1959 00:00:00;  9,90
26.05.1959 00:00:00;  9,20
27.05.1959 00:00:00;  8,20
28.05.1959 00:00:00;  7,55
29.05.1959 00:00:00;  7,10
30.05.1959 00:00:00;  6,00
31.05.1959 00:00:00;  5,05
01.06.1959 00:00:00;  4,60
02.06.1959 00:00:00;  4,80
03.06.1959 00:00:00;  5,50
04.06.1959 00:00:00;  7,70
05.06.1959 00:00:00;  9,00
06.06.1959 00:00:00;  8,80
07.06.1959 00:00:00;  9,45
08.06.1959 00:00:00;  10,4
09.06.1959 00:00:00;  10,4
10.06.1959 00:00:00;  10,6
11.06.1959 00:00:00;  7,60
12.06.1959 00:00:00;  6,35
13.06.1959 00:00:00;  6,55
14.06.1959 00:00:00;  10,0
15.06.1959 00:00:00;  8,80
16.06.1959 00:00:00;  8,40
17.06.1959 00:00:00;  8,75
18.06.1959 00:00:00;  11,5
19.06.1959 00:00:00;  11,0
20.06.1959 00:00:00;  11,5
21.06.1959 00:00:00;  10,8
22.06.1959 00:00:00;  10,2
23.06.1959 00:00:00;  10,8
24.06.1959 00:00:00;  9,00
25.06.1959 00:00:00;  9,00
26.06.1959 00:00:00;  8,40
27.06.1959 00:00:00;  13,3
28.06.1959 00:00:00;  10,1
29.06.1959 00:00:00;  13,1
30.06.1959 00:00:00;  13,0
01.07.1959 00:00:00;  14,4
02.07.1959 00:00:00;  13,7
03.07.1959 00:00:00;  12,4
04.07.1959 00:00:00;  11,2
05.07.1959 00:00:00;  9,60
06.07.1959 00:00:00;  10,4
07.07.1959 00:00:00;  8,85
08.07.1959 00:00:00;  8,00
09.07.1959 00:00:00;  7,80
10.07.1959 00:00:00;  7,50
11.07.1959 00:00:00;  7,20
12.07.1959 00:00:00;  6,70
13.07.1959 00:00:00;  6,40
14.07.1959 00:00:00;  6,40
15.07.1959 00:00:00;  8,80
16.07.1959 00:00:00;  7,90
17.07.1959 00:00:00;  6,40
18.07.1959 00:00:00;  5,60
19.07.1959 00:00:00;  5,20
20.07.1959 00:00:00;  5,10
21.07.1959 00:00:00;  4,80
22.07.1959 00:00:00;  4,60
23.07.1959 00:00:00;  4,40
24.07.1959 00:00:00;  4,20
25.07.1959 00:00:00;  4,10
26.07.1959 00:00:00;  3,90
27.07.1959 00:00:00;  3,80
28.07.1959 00:00:00;  4,10
29.07.1959 00:00:00;  4,15
30.07.1959 00:00:00;  4,40
31.07.1959 00:00:00;  5,30
01.08.1959 00:00:00;  9,40
02.08.1959 00:00:00;  6,60
03.08.1959 00:00:00;  5,80
04.08.1959 00:00:00;  5,35
05.08.1959 00:00:00;  4,90
06.08.1959 00:00:00;  4,50
07.08.1959 00:00:00;  4,10
08.08.1959 00:00:00;  4,00
09.08.1959 00:00:00;  4,00
10.08.1959 00:00:00;  4,00
11.08.1959 00:00:00;  4,10
12.08.1959 00:00:00;  5,80
13.08.1959 00:00:00;  5,05
14.08.1959 00:00:00;  4,40
15.08.1959 00:00:00;  8,00
16.08.1959 00:00:00;  7,65
17.08.1959 00:00:00;  5,80
18.08.1959 00:00:00;  5,40
19.08.1959 00:00:00;  4,70
20.08.1959 00:00:00;  4,55
21.08.1959 00:00:00;  4,10
22.08.1959 00:00:00;  4,00
23.08.1959 00:00:00;  4,50
