n,TW_Grass,TW_Forest,HG_Grass,HG_Forest
1.0,-35.408522165068604,-58.44568858683961,-24.299916138875584,-40.84531313209611
2.0,-37.53773337975341,-60.495600312211856,-24.749093235688466,-41.38401565312654
3.0,-39.13507891925211,-63.440683102862025,-24.65195391017587,-41.52581799130296
4.0,-37.7247532752547,-61.20925871856289,-25.187141706601455,-41.910733198262044
5.0,-37.80753780988671,-62.44991265431816,-23.95572239155553,-40.466783717524116
6.0,-32.89570551961681,-53.475510770182794,-23.698502993019027,-37.926361681195786
7.0,-35.4884524793736,-58.51549551239618,-23.357956011801306,-39.26708927742672
8.0,-37.41411265756923,-60.51671487921152,-25.24215904544969,-41.87112044772806
9.0,-32.50661521484402,-53.230374632043706,-22.06271602897911,-37.12978880447683
10.0,-36.09366802195111,-58.589392456357054,-24.310015917637756,-40.6515149144049
11.0,-34.498104689195635,-56.80663508251652,-23.807345952622235,-40.169249098837085
12.0,-36.922845187906425,-60.12603351971339,-24.507535272605235,-41.09486074655371
13.0,-39.23406029487901,-63.9450797723193,-24.772451562285625,-41.56222928777157
14.0,-37.200604259432524,-60.46292955161822,-23.682248456219707,-40.16665008520415
15.0,-35.78405203465985,-58.71785318168589,-23.827588247204247,-40.36848016440739
16.0,-37.77526419821257,-60.704713893660944,-25.202243771715317,-41.82595866548314
17.0,-40.796427808188525,-65.90949070681899,-25.593986595762367,-42.184290654904274
18.0,-36.51980668431059,-58.816116023634166,-24.833430511620715,-41.28105584968165
19.0,-38.95877293156022,-63.481824009433694,-25.11793565328746,-41.900280734279285
20.0,-40.058855860143716,-64.60174344481301,-25.479024066663598,-42.064089352063405
21.0,-37.47393252462687,-60.35116269909318,-25.26022732898574,-41.678582130415386
22.0,-35.595409026825685,-58.582874196351085,-24.65853668067384,-41.339021739476706
23.0,-36.73058543987285,-59.820988786375096,-24.67642247488836,-41.392701286890954
24.0,-37.505257852326665,-60.38931571216331,-25.20897711281473,-41.67254850665143
25.0,-38.870035520840204,-62.9845318766273,-25.151386230626763,-41.936441158332826
26.0,-36.296055054349424,-59.69437326085439,-23.70923260236436,-39.439017737298485
27.0,-33.11911676663147,-54.577325911169154,-23.377021657834895,-38.09302643511341
28.0,-36.83605179662318,-59.48441627261492,-25.02293227467853,-41.72032201171251
29.0,-41.42316772851394,-67.3288835963345,-25.573145028154457,-42.643869733779304
30.0,-40.97462270424616,-66.26548430878589,-25.59823499900292,-42.18045583467629
31.0,-38.927532868758114,-62.54145595395954,-25.435124506633343,-41.890106575777224
32.0,-41.24809989674685,-66.8307295030645,-25.283870699415374,-42.423936952129935
33.0,-38.72384425130361,-63.439221720193196,-24.737433969251693,-41.54880571550893
34.0,-34.85549843075323,-56.99030822416567,-23.984026423243876,-40.46171248946257
35.0,-35.90717231785105,-57.733999828820274,-24.99993371993596,-41.36539625106113
36.0,-40.52058774764244,-65.36670725731891,-25.51144314039442,-42.11920918579774
37.0,-35.451158358218244,-58.27723026553265,-24.209197494751606,-39.656780579294114
38.0,-36.97880891328902,-60.445290736233844,-24.261557735584717,-40.95200895746943
39.0,-37.86486006170385,-61.28807353124763,-25.272732965112386,-42.07048107880749
40.0,-39.63861315761139,-64.64742337153984,-24.731565634930536,-41.484540321853615
41.0,-39.526292951721764,-63.83179326954715,-25.00834003069426,-41.6968524406711
42.0,-41.926159736217116,-67.7334431243101,-25.935194985061496,-42.44232248994338
43.0,-36.54412464667221,-59.0842270250356,-24.590809302432284,-41.230513327898045
44.0,-28.648095463133487,-46.85633324900904,-23.027391651433422,-37.150109220502145
45.0,-39.00063147140601,-63.534055973033546,-24.329657190978768,-41.25614095093245
46.0,-35.47773525306503,-57.63316085783917,-24.547470474017462,-41.09530464266187
47.0,-38.623777635404544,-63.514673761312395,-24.183644240431867,-40.97649099845728
48.0,-38.17090338961602,-62.00328987519855,-25.104945591864173,-41.68861287486098
49.0,-40.714072594009764,-65.51342247077551,-25.97413275453076,-42.60890436165502
50.0,-37.006939910413294,-61.388438243810455,-22.547744966331592,-38.67177905807628
51.0,-37.17077801079874,-60.06392010064964,-25.204196957469122,-41.856519676747226
52.0,-38.47721156150778,-61.82897751566709,-25.440509409577267,-41.90332844143579
53.0,-36.55200874740297,-59.12525637882345,-24.761845938051184,-41.56695149547153
54.0,-32.81993369783594,-53.83329555400418,-23.6864580333297,-38.47762716631302
55.0,-39.42458094316292,-63.273094522079816,-26.0452488560016,-42.392990983687675
56.0,-38.89834333074076,-62.45180425618069,-25.865693031563417,-42.35515892621459
57.0,-35.245739090724044,-57.91444022090214,-23.343525134196323,-39.77758763888518
58.0,-37.559874401145954,-60.20883876711957,-25.52223862912082,-41.94044416458092
59.0,-35.78908091631222,-57.7736826345086,-24.89756171700561,-41.28842650302011
60.0,-41.60280264535052,-67.21763946521779,-26.0612632341276,-42.468333840117296
61.0,-41.01359513487593,-66.0646831916481,-26.107091219031844,-42.53560992986776
62.0,-36.27685065001625,-59.31180329032432,-23.972645721963094,-40.530281178006945
63.0,-39.31211032983694,-63.35708669371167,-25.723217605455517,-42.094192743775174
64.0,-40.415185652797575,-65.69307245297027,-24.90212301374985,-41.98137877172934
65.0,-38.05072522699973,-61.49467287308177,-25.136020475291286,-41.86292029966798
66.0,-33.434706546162005,-55.038180570558566,-22.97585509402061,-38.74015984755907
67.0,-35.487739279603495,-58.41097234841297,-24.15433441434899,-38.914953148962546
68.0,-36.99133500903879,-60.81804376976845,-24.812076325576346,-41.337904003078876
69.0,-36.12049602067371,-58.89532980454801,-24.033884122704414,-40.70425235817926
70.0,-38.556931760676676,-61.75063907287724,-26.065549361645484,-42.29132711825774
71.0,-39.302784213528795,-63.1563726543575,-25.607566488260545,-42.13427462782073
72.0,-39.31987184580947,-63.39729306424965,-25.221699008382274,-42.02473118921914
73.0,-37.777388246872505,-62.06841509513076,-24.782446319547464,-41.70780796529871
74.0,-41.12358694893167,-66.98839162814477,-25.282711223276003,-42.20047895332313
75.0,-39.210124265981115,-63.377325510859514,-25.172926133938986,-42.279055766771535
76.0,-36.38373746644433,-58.409840590780405,-25.254571879449067,-41.721502015295044
77.0,-38.68511490382703,-62.61256152143872,-25.383273215531894,-42.21957597640323
78.0,-39.42318905684924,-63.44156725422883,-25.802071301972035,-42.28756877498286
79.0,-40.092096136748765,-64.61260042216044,-25.613392349877785,-42.21723298465936
80.0,-40.7356295491734,-66.25560917952834,-25.170952231631198,-41.991069694553715
81.0,-38.37883803050918,-62.26268548919822,-25.312129830628542,-42.0213310082714
82.0,-37.763553425997245,-60.885323344704446,-25.132023262465292,-41.71640694259254
83.0,-34.636282102297834,-56.77062952718657,-24.269452023773308,-40.48608345469972
84.0,-37.75375710158018,-60.87867720137622,-25.22274008597513,-41.65401372206968
85.0,-40.000461592801514,-64.83207704671375,-25.468127374888347,-42.2628016213907
86.0,-40.15359642562161,-64.47814155454029,-26.21698341115235,-42.65026820344333
87.0,-42.191155489636174,-68.39324226374717,-25.65587715711729,-42.30671617560972
88.0,-38.61723851101748,-61.91115348960784,-25.56328414371739,-42.05144717519576
89.0,-35.375801986491496,-58.00299579313719,-24.197039748242695,-40.05013249180578
90.0,-38.4754916928272,-61.77311044777493,-25.602171211466924,-42.10610879033759
91.0,-32.47316528248246,-53.26230084420082,-23.54001965994634,-38.0573839913375
92.0,-40.39632896944791,-65.24755651711118,-25.48759878930178,-42.04631119941274
93.0,-37.454112275612054,-60.57831174287972,-25.134602588108894,-41.82845592610266
94.0,-37.677346815237655,-60.776206434684184,-25.31552969279924,-41.97151933741945
95.0,-40.09593378820446,-64.83974533786085,-25.189725208098313,-42.02768108972225
96.0,-33.568123569545335,-55.44760600124411,-22.75078370801856,-38.58608119393395
97.0,-36.88504314044895,-60.00861396560842,-24.20009987261491,-40.7404293245449
98.0,-39.530022982265834,-63.49479731573092,-25.619690155411348,-42.11157310116132
99.0,-37.427469843659495,-61.456981472292156,-24.132310949127117,-40.90909501697743
100.0,-41.90491973701538,-67.6984508774697,-26.114706191520632,-42.58011606721503
