n,TW_Grass,TW_Forest,HG_Grass,HG_Forest
1.0,-36.11043265933791,-66.25245744812148,-28.22608084712608,-45.244877507169925
2.0,-30.060305192591624,-55.384692076416265,-23.03887757627076,-38.275255466368336
3.0,-38.18083860283542,-70.3836778400658,-29.45600546413738,-47.657861502221365
4.0,-37.145727469716945,-68.10108471758758,-27.337428412401756,-47.74983758717596
5.0,-40.50985873976134,-72.44792506252999,-28.348362220483377,-50.560967435761164
6.0,-31.81573208918156,-58.63561408944457,-24.210701754278517,-39.907017804809115
7.0,-42.20473344534581,-76.29451115464408,-30.166575364563904,-52.583454960916065
8.0,-44.02008241563536,-77.49319021428266,-30.649036080548658,-50.58865639616518
9.0,-43.17405412618518,-78.1683000535769,-30.512245376483847,-54.237248507734236
10.0,-36.328419983283865,-67.0240003202695,-28.330463121927615,-45.85600918548667
11.0,-38.65290559283865,-69.7957286253562,-27.675757081086616,-46.813189756065185
12.0,-47.33411277506348,-84.91903936574255,-32.87411251007196,-57.42615944492112
13.0,-30.131469891902732,-53.8176943103814,-23.11144433082175,-36.98775569568778
14.0,-38.54513279751057,-69.88700402288094,-28.108640890512163,-47.04334692625117
15.0,-36.59378487595047,-66.27953437800879,-26.196206733065704,-47.11905170828716
16.0,-33.36337771318523,-60.91093549753346,-24.731264810628588,-42.64181197406432
17.0,-53.2394922524885,-94.66222793765093,-35.00164262716686,-61.49873993296762
18.0,-30.537588432210846,-55.83274907718146,-24.558802204305447,-39.92974074099082
19.0,-32.22967374969312,-58.23710617429278,-23.83046642859975,-39.68094697547713
20.0,-32.4483679593251,-58.28456592871239,-23.735236831958623,-38.87974608104406
21.0,-37.75548534489527,-67.44403436004276,-26.96394292653165,-45.611255506606476
22.0,-36.19968252050086,-65.58873586769661,-26.19126589876636,-44.30885063641898
23.0,-32.28196710985612,-58.761367455814124,-23.91749887502007,-41.805533758223845
24.0,-31.44080052445595,-56.46256847092725,-22.65612590718812,-40.56335861640895
25.0,-47.53559336452652,-84.78916966333739,-32.91653831900506,-58.09484749917203
26.0,-38.46659205646928,-69.56074999983771,-27.705826308126,-46.9064103137453
27.0,-33.759130902527026,-60.06942134159946,-24.08499229941805,-42.8919403027771
28.0,-32.099829728468386,-59.47533744949803,-24.984923820685932,-41.278317626871186
29.0,-22.521788792361093,-41.970203529652,-21.201821908837406,-33.75457414313635
30.0,-35.7197419492581,-64.27617934289155,-26.349951255033766,-43.17414307324792
31.0,-29.190035131332124,-53.47177768458096,-22.68707747698762,-37.051143391208356
32.0,-41.588006293564376,-74.94552884588927,-30.23161304116912,-49.53654976845326
33.0,-25.91879913348717,-46.91678276106206,-20.459593081719767,-32.99715460681148
34.0,-36.183639230911034,-65.89475889656441,-26.19134964634192,-45.38415507660561
35.0,-31.494424054841033,-57.1043848320934,-23.244296023333437,-38.90405435910472
36.0,-39.20133329599493,-71.1232856723085,-28.55206578763635,-47.16965202220612
37.0,-28.95257348247678,-52.10858986763018,-21.30641064648284,-37.763492589379055
38.0,-28.513270453565656,-51.53069590373745,-21.306307514884875,-34.88224573307321
39.0,-42.87515407846027,-77.33491730058066,-30.941045728005594,-50.711771483161165
40.0,-33.33219634608102,-60.730208942997734,-25.697124896490834,-40.890632090879606
41.0,-44.728971525395295,-79.85285048422426,-30.655383214924772,-53.61678940111191
42.0,-41.8776506118161,-75.43955150041047,-31.576351614966057,-49.744107222770296
43.0,-25.318126277277695,-47.25764263277367,-20.898317192178403,-34.145107430552684
44.0,-51.368674573078735,-91.27574071561018,-35.01970148657756,-61.025527473741185
45.0,-36.679865247377315,-65.70032338650017,-25.764720034168683,-46.06010857364193
46.0,-33.99067976548115,-60.83947024357819,-24.381011622673903,-43.68046813068612
47.0,-46.07355700251834,-82.00293579446574,-31.391650371210922,-55.89019672301887
48.0,-42.10599393539528,-75.64905957291285,-29.390863778410225,-51.44360640952674
49.0,-30.405621093896514,-54.97842011833967,-22.587450424231832,-37.4616364633352
50.0,-43.535191845044466,-77.4310800722653,-29.489855574887528,-52.47501911721754
51.0,-35.170718566614575,-63.31466263509376,-25.489464775423826,-42.00262869749123
52.0,-47.83529390882873,-85.91698658494892,-33.35750745324309,-58.16497589228899
53.0,-33.60249025865139,-60.07399973903837,-24.11674839326469,-43.066776978565
54.0,-40.09779010119386,-70.93583699380329,-27.567852387422153,-48.497994491142734
55.0,-38.269737005879676,-68.39338130198861,-27.160564016927008,-48.24863891856191
56.0,-32.83495699177298,-59.6568157549279,-23.69986659943925,-42.15199502611996
57.0,-28.56975871233478,-51.471148838453175,-21.478341800466644,-34.90568520502296
58.0,-31.19569230112041,-56.7139895609717,-23.888721711476354,-38.60952271470174
59.0,-33.08763425388365,-58.35756428713469,-23.565845681439,-39.28865130644901
60.0,-38.83584391912376,-70.39846809288841,-27.751261919789403,-49.66732326383894
61.0,-39.71436573862607,-69.97561525197327,-27.421328316333767,-48.61229364931869
62.0,-47.324835623871394,-84.40126762855431,-32.52536460802798,-55.141939292346564
63.0,-37.363301035476496,-66.11023155811556,-26.039109299148894,-45.89937032907774
64.0,-27.62988850985587,-51.17323968152374,-25.377385268919916,-39.787208217945874
65.0,-37.42561515057993,-67.34922402232135,-26.331189687160276,-47.271497472934115
66.0,-36.646620634662035,-65.16598269706687,-25.86072766778701,-46.111279343866144
67.0,-50.851426725073765,-89.67954508062766,-33.318237901926494,-59.502106446659354
