n,TW_Grass,TW_Forest,HG_Grass,HG_Forest
1.0,-24.77566199370727,-39.77374903034194,-19.584901731208582,-31.41579970144786
2.0,-20.584078048817233,-33.51748686189162,-15.928536290279002,-26.005797851466564
3.0,-26.21858118667124,-42.373763335345856,-20.647244893357936,-33.50893583878047
4.0,-23.847139747945025,-38.81660809843509,-17.972834839433816,-28.756921751989488
5.0,-26.037122557050015,-42.13111524379329,-18.480199003680266,-29.995515804991154
6.0,-21.87330163969728,-35.43668396827781,-16.90038696327868,-27.458024923506052
7.0,-27.444650800247686,-44.517879257392025,-20.04057674490504,-32.17731847648818
8.0,-29.91514300374728,-48.77654890164905,-21.68027366518829,-35.29204474293931
9.0,-27.822218730671597,-45.22994800375676,-20.016795270767613,-32.333939151859404
10.0,-25.021290350801124,-40.606529876837605,-19.923757075992555,-32.36477344564274
11.0,-25.613876043198065,-41.44840758142668,-19.001280332489497,-30.529081139992613
12.0,-31.056672364494077,-50.82414763479276,-22.294157525085318,-36.083105495441046
13.0,-20.8442260407518,-33.58755230057778,-16.353187671087213,-26.238687820111053
14.0,-25.53200928690358,-41.329442542574384,-19.272384557497336,-30.87049159136464
15.0,-23.28479371436492,-37.57798171285179,-16.989724242644424,-27.828940818656175
16.0,-21.447585067190374,-34.643780727482834,-16.334584323237678,-26.021419275080902
17.0,-34.03397766430207,-56.520387526340095,-23.576744030099384,-38.09761357907462
18.0,-21.304465865002165,-34.20284058339998,-17.127114596051534,-27.653601188248516
19.0,-21.31080022335349,-34.356169019993956,-16.290929959668645,-25.98599710237012
20.0,-21.83665498236481,-35.19811415385316,-16.6289446091199,-26.55720219627542
21.0,-24.989146224289428,-40.53057271512049,-18.53623245125485,-29.770313067318327
22.0,-23.650739852514064,-38.03934730536827,-17.66613789492082,-28.179208619624724
23.0,-20.448084442853833,-33.03574325716916,-15.550804919186366,-24.7972004914905
24.0,-19.833529312693972,-32.01419610210221,-14.452258333000165,-23.74938297465456
25.0,-31.151645069647927,-50.83767211939019,-22.085982524582896,-35.69881853829594
26.0,-25.2157067506077,-40.644444336511945,-18.67939962391402,-29.831686623883456
27.0,-21.05342056752775,-34.068253248733996,-15.497605101495338,-25.456572777598808
28.0,-22.810502804924923,-37.128065241231866,-18.12302619576489,-30.00604051039435
29.0,-16.48689882647254,-26.564556502386267,-14.811263880847683,-23.990164291293468
30.0,-24.301634910781857,-39.44627394787699,-18.492436108081087,-30.05039031876909
31.0,-21.38485772387368,-34.539689522272695,-16.710572683404685,-27.511252661292005
32.0,-28.091465841303354,-45.75042547915454,-21.08222181944646,-33.93270090223741
33.0,-17.66884502068698,-28.423740940082116,-14.089047183307633,-22.55604617506576
34.0,-23.45121326446179,-37.96787261026445,-17.577390032157346,-28.27071270230614
35.0,-20.69584776574117,-33.29567783291273,-15.788404542267855,-25.133361838935514
36.0,-26.6664358795383,-43.40796120748075,-19.87982613764886,-32.83005829107357
37.0,-18.118282102453364,-29.173149290305673,-13.394682352959961,-21.48222136483517
38.0,-19.09283958392065,-30.74020176155927,-14.758638643111976,-23.585559364658078
39.0,-29.113696388412936,-47.61836836892604,-21.558261083144174,-35.439800266533226
40.0,-22.85609749949603,-36.98158201970534,-18.262264059329596,-29.350548917708544
41.0,-28.790150604872636,-47.036322514478684,-20.418757401351925,-32.75435193047638
42.0,-29.279957359039003,-48.05353902082442,-22.639011601704432,-36.41408506392544
43.0,-18.50300147732219,-30.150614101666097,-15.1491620697618,-24.478777003141595
44.0,-33.35325323177092,-54.85123237666395,-23.664574955775528,-38.4014042837728
45.0,-23.844531257131635,-38.42778629680332,-16.720636282518143,-27.564320027099004
46.0,-21.743016757581657,-35.01652292550128,-15.712387910571001,-25.834179476893418
47.0,-29.777225968784336,-48.332532841784605,-20.72627948755448,-33.413448653609066
48.0,-26.99575757067255,-44.2543573182147,-19.54154199508092,-31.370114981890367
49.0,-20.56892889269941,-33.42968227556879,-15.652233211624758,-26.006379235137743
50.0,-26.77440211982711,-43.8633307847964,-19.021666588930874,-31.270385500235378
51.0,-23.552685769298016,-38.1009653924645,-17.819627099687903,-28.553698535954442
52.0,-31.443687527022476,-51.490070075120535,-22.562170457755727,-36.55338473132273
53.0,-21.21489941565351,-34.23822300464339,-15.48400512157846,-25.42576118046008
54.0,-24.870693055054247,-40.64520308042866,-17.835622330099817,-29.275790226822863
55.0,-24.224658469735463,-39.13831150553194,-17.719747991925374,-28.581885830588853
56.0,-21.011200338780206,-33.82237555088693,-15.390956325583682,-25.160755783686323
57.0,-19.26275752644347,-31.041200822992593,-15.026643019348265,-24.04888616649295
58.0,-21.33856563663067,-34.58599402767793,-16.90939443390402,-27.36494752556094
59.0,-22.293599288563584,-36.03271463222147,-16.5854114997562,-26.81420700607074
60.0,-24.830374132304446,-40.26666926971083,-18.078012694479824,-29.356541108468683
61.0,-24.867040369008304,-40.222304441759626,-17.579197492342022,-28.92475055424794
62.0,-31.765787049946905,-51.942287100858834,-22.72308208168485,-36.95437957537147
63.0,-23.206842519514698,-37.733640652747596,-16.67829711572424,-27.25482511871521
64.0,-20.106246847033848,-32.5872681143514,-18.24088882379356,-29.6235774487445
65.0,-23.890211109872624,-38.419391089939054,-16.91568706241389,-27.71716489877463
66.0,-23.111686263392638,-37.181413480542076,-16.690351506329836,-27.352408528736056
67.0,-32.055062996899196,-52.438880301351816,-21.805508963457633,-35.94517013715085
68.0,-15.71410498715156,-25.442181189913725,-14.159890519777225,-22.95761951258102
69.0,-18.45575010723604,-29.744643020910868,-14.344384653657938,-23.01098523474105
70.0,-21.179285308096766,-34.50841596144234,-16.751709807705737,-27.255693420369983
71.0,-23.202018375021485,-37.925677105857574,-17.735797673389882,-29.763386061218647
72.0,-28.838769828034458,-47.09654217124627,-22.456556389004607,-36.694285403832005
73.0,-17.21285656829028,-28.00783636361032,-16.317201656111138,-26.37247553464343
74.0,-20.31200800903578,-33.19949438388902,-16.78409033415641,-27.20468922463039
75.0,-23.95496066240271,-38.54075843941292,-17.137231605535778,-27.787985755945847
76.0,-20.538934547538297,-32.998450664278934,-15.12435535899919,-24.24388859665165
77.0,-19.013157814373468,-30.654293912999115,-14.242882472475364,-22.759548746507413
78.0,-21.086792321700287,-33.79878622099531,-17.148117429411087,-27.666186822018236
79.0,-32.60819312096618,-53.687658134604156,-22.152650463038007,-36.065725815153996
80.0,-21.34614341643087,-34.41989458750943,-16.04608074030709,-25.61737657076404
81.0,-20.83862043154672,-33.537252912540495,-15.52326386695568,-25.471181892894002
82.0,-29.770651787225432,-48.883247852518465,-20.904033437711618,-33.59618881607108
83.0,-27.669546575152438,-44.761696103812696,-19.39810268463891,-32.022921969346626
84.0,-21.858938086349106,-35.22526270585431,-15.916939888558238,-26.117645677287477
85.0,-21.11842639241958,-34.07014006303571,-16.054450406281735,-26.227152705090887
86.0,-33.60339777495925,-55.371357167589565,-23.426274480865008,-38.026114322330855
87.0,-25.903853211275315,-41.59748745025762,-21.370043899872975,-34.620756718944776
88.0,-27.808035460752095,-44.93952097254706,-19.561496035744305,-31.410877260502584
89.0,-19.629953401802283,-31.578486727037912,-15.06683741314069,-24.171065945274876
90.0,-21.633541359400194,-34.93730470156745,-18.3496586161893,-29.872717344077394
91.0,-30.004511613376973,-48.95912615440605,-21.56864655954948,-34.894345643756566
92.0,-24.076505566536227,-38.85697694441957,-18.061973976095967,-29.38143032887988
93.0,-27.562910148055227,-44.6175594122101,-19.491015645380593,-31.393934403090988
94.0,-27.404908229985274,-44.60375418784233,-20.013005037431775,-32.92058973604689
95.0,-19.485563063147236,-31.3655944323767,-14.673962698793643,-23.449189882189053
96.0,-18.86758012442201,-30.87004522610713,-16.60216780705257,-27.111762254600603
97.0,-20.31534668243079,-32.8690448442321,-16.06463535801889,-26.105501510544418
98.0,-24.6213945811461,-40.00849166597625,-18.741253096142685,-30.869475176630385
99.0,-21.171373666016517,-34.095724310017104,-16.42162016636571,-26.403094467854203
100.0,-31.314179495568595,-51.251060688664055,-21.642231015916913,-35.04510215258273
101.0,-21.853628044233123,-35.32772125596529,-16.05631978460414,-26.35680003597996
102.0,-18.010541982434646,-29.34739959453733,-14.460921728613023,-23.451845630716367
103.0,-25.557177003279996,-41.18171489528671,-18.17739110435999,-29.30604039314276
104.0,-20.388859747052486,-33.10727684067396,-14.89849181687169,-24.542873941308343
105.0,-30.13366180949911,-48.950475531543006,-20.928134441205508,-34.321612542894336
106.0,-24.904552757264405,-40.121407098935975,-18.47324719467213,-29.48395755017547
107.0,-24.359645904052023,-39.592835372496296,-17.899340114395848,-29.020528396015898
108.0,-32.26928052975843,-52.763681467155415,-22.358401240336487,-36.24003250576828
109.0,-30.293172200965554,-49.380700947247774,-20.834688705233013,-34.598733431178424
110.0,-21.957502342978717,-35.43495453708041,-16.405500191542657,-26.29387308939802
111.0,-19.548282666299578,-31.554115183072163,-15.055018048285975,-23.960110272705656
112.0,-25.46771424083495,-41.28017077790645,-18.538051647415045,-29.765909142588853
113.0,-22.74794757807465,-36.750904863753576,-18.205810095783274,-29.248743483264988
114.0,-21.77263349927447,-35.268840330448015,-15.997187610954137,-26.00671326234679
115.0,-21.23379523728076,-33.99012793189314,-15.85782992665624,-25.44449098231402
116.0,-25.836654106415637,-41.74695230454297,-18.07286070145892,-29.957743414102765
117.0,-20.51274325321764,-33.4205471978873,-15.408435528743258,-24.814106744572555
118.0,-18.78837101616773,-30.56165058179778,-14.302606480250555,-22.961747383209463
119.0,-20.077803888393092,-32.548339012558294,-14.30881414069542,-23.850882523699198
120.0,-19.603040786556736,-31.890603799030497,-15.085999179989603,-25.079844717313883
121.0,-23.627011803258245,-38.202058037327184,-18.45500455018878,-29.92133010219972
122.0,-23.873078170810764,-38.57842683910148,-16.860235697558924,-27.898004575245423
123.0,-23.331185009477796,-37.63862356293495,-16.88109686538948,-27.6255860765873
124.0,-30.84594243071776,-50.80127413243511,-22.17231870678398,-35.94633208813059
125.0,-26.98612598492435,-43.43738033688291,-21.856090843218894,-35.553248926486376
126.0,-25.71242339453082,-41.79479968414202,-19.383462019997527,-31.33896621005625
127.0,-32.37769476129889,-53.20299919930687,-21.980811467024765,-36.11577827487335
128.0,-30.759601672406678,-50.886128239283934,-21.352400380061596,-34.70470867512409
129.0,-20.973643941701535,-33.813360490470146,-15.311782737891699,-25.036054268400463
130.0,-19.239958980218898,-31.132573413022797,-15.393911939751947,-25.221888361213466
131.0,-28.997667556095994,-47.09420840594746,-19.941243844717505,-33.16675992531841
132.0,-27.830862972059272,-45.12689688124867,-19.520582722737668,-32.18245539020697
133.0,-21.905884148090045,-35.758082082064135,-18.651417617497017,-30.351922868555416
134.0,-24.08449939580616,-39.04322783986849,-18.140296283692237,-28.94453667248758
135.0,-19.775126539844702,-32.162264024115025,-15.123033614668936,-24.889586513739644
136.0,-25.06322350035094,-40.261485639450015,-20.129160737978008,-32.71719706555014
137.0,-19.23408699646888,-31.432501370952735,-15.065277613854036,-24.535246808547534
