n,TW_Grass,TW_Forest,HG_Grass,HG_Forest
1.0,-26.549109572694828,-46.656106015555004,-22.134174163326236,-34.26296946673207
2.0,-22.026381116751022,-38.41976526886716,-17.357611885701232,-27.256577252887816
3.0,-28.489421317529757,-50.193914889431426,-23.20211913883979,-35.74908552803542
4.0,-28.94711924280631,-51.27260217537814,-21.27098110344836,-34.55721393231153
5.0,-33.69470849991404,-58.55448373202661,-22.672181977363252,-37.35273421818423
6.0,-23.45108508231088,-40.63175291910482,-18.433311141241827,-28.66578071131248
7.0,-33.1089614780805,-58.06848498326193,-23.029677840224114,-37.396004233064055
8.0,-36.37025197850946,-64.73734768412316,-24.45358131785155,-39.098200146858346
9.0,-34.352659218589366,-59.93216431691111,-23.354618461166034,-38.18698920064597
10.0,-27.294118620263962,-47.948024999514956,-22.073875803267192,-33.94846506601109
11.0,-30.42380107393297,-53.990237904319216,-21.561453622585905,-34.681735006208385
12.0,-38.56765431347363,-67.77765625975577,-26.165691561004973,-41.667613701381285
13.0,-22.97933450200969,-41.208201075921124,-18.635936932507292,-29.689156349654592
14.0,-30.55296453285677,-54.357122490213214,-22.205958679106555,-35.59974977739049
15.0,-29.29359083175804,-50.01394156750893,-19.817384301106166,-32.417337959813764
16.0,-25.607443309035666,-45.722790414143965,-19.08291122435842,-31.164045401401175
17.0,-44.355231097569146,-76.99745932751853,-28.71086181147954,-45.516867011184715
18.0,-22.722036985469046,-39.838424361913226,-19.356762074661106,-29.95864807504681
19.0,-25.04936540377964,-44.78030363544106,-18.8834378958296,-30.451785409633143
20.0,-25.18798003621587,-44.94402342381042,-18.97351687933909,-30.348623243865944
21.0,-29.967883538837974,-53.290871483381004,-21.09911631052041,-34.38261968297317
22.0,-28.340551860582277,-50.3686659416,-20.440853064079235,-33.03526270957378
23.0,-24.866401988117193,-43.796724854243465,-18.536815596903743,-30.266445101687893
24.0,-25.7276150328338,-44.257861686950676,-18.019392265938905,-29.550014860822237
25.0,-39.70980259516882,-69.6434930270877,-26.46455857936266,-42.741771308941765
26.0,-30.154216972345324,-53.409519468762966,-21.59378359149436,-34.85441621906029
27.0,-28.100417184519287,-48.786517876339744,-19.66001224507019,-32.45132130464868
28.0,-25.471660416953085,-45.713762090839346,-19.77611514391101,-31.267080687559442
29.0,-15.328511079107514,-27.065980750886432,-17.634407629246557,-28.659616620504142
30.0,-26.899645733128533,-47.79445453868996,-19.83913296070098,-30.97970693747613
31.0,-24.01082802059487,-42.8693806303923,-18.380003922333835,-29.255669350026146
32.0,-33.19442940740185,-59.07092343745497,-24.115996159915767,-38.281343803729214
33.0,-17.735940531112316,-31.10300000116881,-15.541822279541744,-24.43583799367184
34.0,-28.164255515353446,-50.0441094179571,-20.14054911430158,-32.86421578498708
35.0,-24.279928304111873,-43.381317573897924,-18.30803415026129,-29.674831641681962
36.0,-30.85765841199403,-53.94117564457041,-21.51628773656772,-33.59373009257095
37.0,-23.296789431637087,-40.45404359839533,-16.786992547134172,-27.196467757460198
38.0,-21.82773658712956,-39.47544050792897,-17.062240108222326,-27.53594634703201
39.0,-33.79545111440686,-59.386928789893865,-23.084828933209444,-35.893880105189396
40.0,-24.235017904937482,-42.690086050956296,-19.944656289638864,-30.783994617389446
41.0,-37.19795352161526,-64.53776514475143,-24.935149829830095,-39.32618504009244
42.0,-31.380960524583514,-54.99622973017119,-24.60418541405887,-38.21167369970176
43.0,-19.20111784383264,-33.65478626606784,-16.846080972812118,-26.783901357250862
44.0,-42.36701564726243,-74.38547083656974,-28.1859752706658,-44.369720741034456
45.0,-31.367922099767604,-53.310495700119034,-20.85413051929406,-34.06006459077105
46.0,-28.35774748770234,-48.62203140289226,-19.26858313704088,-31.57080075894558
47.0,-38.72829666568094,-67.62335711457814,-25.405081008719318,-41.297669998335564
48.0,-35.30554113057619,-61.116573470382434,-24.042339138226865,-38.11000964193181
49.0,-22.862519499879205,-39.69322389152214,-16.646660901697835,-26.18917805942691
50.0,-39.60753300647225,-69.35341594161847,-26.164983245024604,-43.583054060534764
51.0,-27.65966882444453,-49.42373033068765,-20.344009639445105,-32.50036364182269
52.0,-39.01339916729784,-68.75825540261131,-26.453905161594058,-42.34612145183577
53.0,-27.83551904342687,-47.95915842551997,-19.325625517730444,-31.734157737124484
54.0,-36.3263161527688,-63.407127876968445,-23.996659788454316,-39.64527927391701
55.0,-31.927116335683134,-55.618054398933964,-22.122983972018694,-36.02626535398818
56.0,-25.77255054750679,-44.32111020659109,-17.70868315775822,-29.09516490165921
57.0,-21.83350070539217,-39.476304951328835,-17.31660791264637,-27.833655109569868
58.0,-22.417591615091712,-39.670062985301655,-18.28614104598413,-28.369765076671083
59.0,-26.451313572941373,-47.501877346297285,-18.750592924663458,-30.72024817543477
60.0,-30.870099280921224,-53.78105132568136,-21.293503556951084,-35.208996463658046
61.0,-34.20161107742592,-59.3886384739485,-22.629672571978837,-37.65756457824716
62.0,-38.6626744564625,-68.9146230881139,-25.84387435876589,-41.72051720945845
63.0,-32.40451620897523,-56.55096807623232,-21.44209826961699,-35.38179970839033
64.0,-19.799773905143454,-34.852469766985706,-20.85704517171639,-33.935453066117375
65.0,-30.827710883776653,-52.82147993212881,-20.485830632748247,-33.39980974322938
66.0,-30.507055672192855,-52.56603916287223,-20.944272633691035,-34.39866420542247
67.0,-43.71754258626782,-75.59652024213128,-28.528274874579253,-47.98408598687312
68.0,-14.450991132780864,-25.771940221364645,-16.868219689839336,-27.31276525185659
69.0,-18.80219458761564,-32.875039328644405,-15.590695724936634,-24.639278687445533
70.0,-22.944754113025144,-40.30144948573154,-18.344058038543572,-28.750162021964677
71.0,-26.704891690928303,-46.75831667762063,-19.058836537118747,-29.835740823181965
72.0,-31.727909851713996,-55.87438129282576,-24.40162240044115,-37.45631054003182
73.0,-15.982720713917281,-28.9379807610699,-19.35757001853159,-31.430890451683233
74.0,-21.292006273550133,-38.06529795551457,-18.573686315750397,-30.00047609762158
75.0,-31.470707486489705,-54.58277443227615,-21.38595251596881,-35.154665584148006
76.0,-26.29614154981208,-45.532272058486214,-18.735071167152988,-30.462972012071475
77.0,-23.99201342372553,-41.62028012674775,-17.62862427587541,-28.128355090911768
78.0,-22.542612771162435,-39.55546988946797,-19.546785487895626,-30.30277168492323
79.0,-44.85872061759509,-78.0062021855687,-28.709544867553625,-47.5198868829801
80.0,-25.22573725352412,-44.90554997842017,-18.544781080712056,-30.220541459857305
81.0,-25.017665388274615,-43.966736999756854,-17.545149646254686,-28.757903154033734
82.0,-39.144958254054245,-67.57959939410793,-25.61985585532763,-40.812034941193424
83.0,-35.71683993144338,-61.47157629684706,-23.64323484380046,-39.017943482410644
84.0,-28.459964749504046,-48.98647485328786,-19.68654797103463,-32.407222202275065
85.0,-24.878583829487,-44.23784197269903,-17.791454940601753,-28.89410051292952
86.0,-43.98730344528989,-77.01034835814636,-28.449091286053363,-45.62095404711913
87.0,-27.928904851043477,-48.74178536054021,-23.820522077970793,-37.160422305535356
88.0,-36.0050236867409,-62.42449999546738,-24.124212654837358,-39.09089106989599
89.0,-20.322172876471885,-35.31360735302669,-16.259792997234612,-25.613013678136127
90.0,-22.275479462520362,-40.242774747698874,-21.338704923944356,-34.38984290179256
91.0,-37.163362283052734,-64.97014917987394,-25.174788843814884,-41.000172712778586
92.0,-27.80468655843575,-49.27641971454723,-19.59323337793227,-31.27727061696728
93.0,-36.27785716768459,-63.19673162084847,-24.202574743407048,-39.42890795379557
94.0,-32.44743768909619,-56.56063417824996,-21.698375972948593,-33.87827208164171
95.0,-22.58240696833846,-40.100983665626075,-17.037999782086906,-27.84099470021113
96.0,-18.19807500564069,-32.398772344681085,-19.048017780993455,-30.742870280252717
97.0,-21.846645827789388,-38.38375890917671,-17.593988950819142,-27.54432086137566
98.0,-28.308523829404763,-49.619847988936904,-19.92506500092807,-31.19239716640994
99.0,-24.163463743578603,-43.44483311035765,-18.514546558886696,-29.880793977434365
100.0,-41.72135305692712,-72.56356638319468,-27.046372626659412,-44.50311126574654
101.0,-28.376125433750744,-48.9264521248333,-19.812360931052744,-32.55350912740263
102.0,-18.934084977605554,-33.30303252491565,-16.2763349544459,-25.683258204093733
103.0,-32.51805027833535,-56.547066756012995,-22.118661377525456,-36.3295532050838
104.0,-27.781949399727246,-48.33957030251139,-18.927988834591307,-31.141984119224695
105.0,-39.61040786616601,-68.7178294562554,-26.05149623982794,-43.13411285722974
106.0,-29.855685312146587,-52.88959695695504,-21.439480704540216,-34.784711827600184
107.0,-29.69123607357456,-52.265911483549445,-20.5474985479525,-33.76154660363072
108.0,-42.21742350655234,-73.7255044855633,-27.440826803796796,-45.12695307172359
109.0,-41.85634532707146,-71.63343459673406,-27.814328520289724,-46.810907061590804
110.0,-26.299613209238927,-46.137333519033426,-19.072797214070803,-31.1936626599161
111.0,-22.80722706730034,-41.219533511023286,-17.75592670127771,-28.77601274917218
