n,TW_Grass,TW_Forest,HG_Grass,HG_Forest
1.0,-25.31919057155213,-46.666079657341704,-21.0833156320346,-34.80177837833352
2.0,-19.98715497067174,-36.64880419866177,-16.583990854433186,-26.997187973050597
3.0,-26.67662173081663,-49.33976133343357,-21.946868863190165,-36.42939725338814
4.0,-23.605484625122703,-42.65040612412677,-18.392160670219415,-30.648220307807627
5.0,-25.978028836648807,-46.89258883451211,-18.395685230847114,-31.15140967314025
6.0,-21.577182244995676,-40.11249998243018,-17.897922999971346,-29.316999383717906
7.0,-27.832581363359424,-50.5713788740628,-20.766499822156916,-35.145410369532144
8.0,-31.07572374799451,-57.24099615797121,-22.795482136214048,-38.92891961980746
9.0,-28.028813970999614,-50.87919276860934,-20.37375961291346,-34.73640821235257
10.0,-25.5444820799576,-47.397914491784746,-21.34266062708287,-35.50752537972991
11.0,-25.870443238540147,-47.113147981178535,-19.77721245028508,-33.27777180027458
12.0,-31.211290605765637,-56.125236072305924,-22.59131490527382,-37.84407103474216
13.0,-20.932514252259622,-37.89134988555205,-17.380451183790743,-28.59363779868309
14.0,-26.043209073504606,-47.55197269272216,-20.32091433220446,-34.196914040224186
15.0,-23.432718447264016,-42.39237651059746,-17.180974204182775,-29.196422185565083
16.0,-21.065748506182317,-38.03383149239965,-16.75847165167117,-27.913415985688516
17.0,-35.30540372121323,-64.99854388826586,-24.91092055317108,-42.527439357289296
18.0,-19.371804411742385,-33.8408481790394,-17.575624636307545,-28.148021595568757
19.0,-21.192449458387248,-38.352562252818124,-17.02838040472452,-28.304782050331383
20.0,-21.990539265524195,-40.013150210576576,-17.523034588374255,-29.06849860214782
21.0,-25.436666544536006,-46.373686055640896,-19.29976129108509,-32.45903155589585
22.0,-23.85015666958021,-43.30903104572819,-18.428234228243344,-30.82754918834027
23.0,-19.9765752947598,-35.64699711617475,-15.773300179735916,-26.13845531933951
24.0,-19.47295538315306,-34.47856200521149,-14.549129030496713,-24.43413380103256
25.0,-31.589248669707725,-56.96297378977717,-22.46571441244952,-37.87249231311813
26.0,-25.386176641945795,-46.035128017247445,-19.471861717117953,-32.6679991809783
27.0,-21.63019800649198,-39.35548046896463,-16.040571959718733,-27.56320907088567
28.0,-19.725666935995015,-34.37171242818108,-17.81841780050722,-29.12055027234925
29.0,-13.52940794236832,-22.567298631934364,-16.439058677391554,-26.87883201221699
30.0,-24.754867358483597,-45.68643841872622,-19.65890777612121,-32.969402425529644
31.0,-18.284971052981522,-31.272191551802475,-16.668071467175867,-27.12777178380765
32.0,-28.814171001329882,-52.853900535721394,-22.39399293072837,-37.541585148199275
33.0,-17.371360724017478,-31.55383632985928,-15.235241465480946,-25.02795766680649
34.0,-23.581097301837115,-43.12916007362425,-18.1132620741949,-30.5722253821006
35.0,-20.657401095918672,-37.38086320695976,-16.57737284761754,-27.56617989749806
36.0,-26.546477405858845,-48.933020295805434,-20.69589483973482,-34.70998058948636
37.0,-17.903698366538798,-31.93626587139915,-13.88566953998258,-22.89696683278898
38.0,-18.81019303265343,-33.81201115870855,-15.615781439499228,-25.975642662877583
39.0,-30.00596817145599,-55.56588142271555,-22.794332761652782,-38.79204355023664
40.0,-23.292201013708517,-43.021460919332405,-19.593160288557925,-32.57067504792061
41.0,-29.32045279552998,-53.31353776516922,-21.223165197984706,-35.98915427564536
42.0,-30.51799089470739,-56.57576225447559,-24.006483566584695,-39.865122446435834
43.0,-15.130946110745327,-25.667233276802854,-15.7114361589421,-25.69361932447476
44.0,-33.8004256777219,-61.35021813600831,-24.253902483715052,-40.70247629377107
45.0,-24.07235169541611,-43.68228414283273,-16.884893160050083,-28.975724836039625
46.0,-21.628972551219707,-38.54904945273348,-15.765938128856313,-26.475620811233348
47.0,-30.085977636129982,-54.18942932545875,-20.910905273049664,-35.53012237885185
48.0,-27.88736274938842,-51.13962885666564,-20.66044045532675,-35.141194304166255
49.0,-20.307675286792197,-37.354399359669614,-16.161534688773955,-26.90963660960839
50.0,-28.532625748064355,-53.09120789408459,-19.73760461242768,-34.643893899486145
51.0,-23.808377967259304,-43.30252832421894,-18.692262685896765,-31.27686875593053
52.0,-31.801317997764833,-57.452652059754236,-23.032933412629102,-38.615124345310306
53.0,-21.04238285610244,-37.58288589859846,-15.461523604119126,-25.90984498038845
54.0,-26.26480167791284,-48.72345980296912,-18.483966104560732,-31.964634190341414
55.0,-24.92278617790133,-46.002320226305486,-18.56072838082887,-31.652867440742845
56.0,-20.98280293877498,-37.65660051412103,-15.550264044945319,-26.025733100442302
57.0,-19.095478839289026,-34.41561008515367,-15.9157818616781,-26.432940772935666
58.0,-21.565571448457412,-40.0156214987382,-18.06095395427381,-29.957721289810053
59.0,-22.624915868025564,-41.27077363143377,-17.082848798824347,-28.71295749176724
60.0,-24.816502574127334,-45.040426286539784,-18.13925194818005,-30.79192756734269
61.0,-26.012255191546636,-47.97276484529494,-18.356120776358523,-32.40792169951472
62.0,-33.05160323132561,-61.013996162380536,-23.743358678615063,-40.55735291357439
63.0,-24.523155250911856,-45.32659586074337,-17.49582422105553,-30.3523863883294
64.0,-17.658588107269665,-30.352050636970368,-19.66414887951374,-32.04671432055263
65.0,-24.0236496799063,-43.54196694337833,-17.15398982229837,-29.23810504805609
66.0,-23.061814331059683,-41.3189761857258,-16.711172949763075,-28.12574758637517
67.0,-33.36912947913217,-61.09615982459716,-22.667948415172702,-40.320437889153766
68.0,-12.90173134266262,-21.96090698527975,-15.512606613875676,-25.35407579586224
69.0,-18.117056080592125,-33.0721937671823,-15.367147701219162,-25.18578792007682
70.0,-18.38004106814824,-31.47066042669288,-16.77832712022725,-27.092375446104825
