n,TW_Grass,TW_Forest,HG_Grass,HG_Forest
1.0,-20.836653214996048,-33.323842639967395,-16.342294656992504,-27.219281075968993
2.0,-16.813677681276932,-26.897805690251722,-13.450178215953281,-22.370823826094462
3.0,-22.299467285505255,-35.88795597214272,-17.37607720827842,-29.037600433593845
4.0,-18.86604593376094,-29.670623135331354,-15.835070608284756,-26.712799667757977
5.0,-20.2410937334144,-31.476998206767828,-16.644840201061925,-27.81203546447213
6.0,-17.981675298030254,-28.683222275768756,-14.270596800748297,-23.7249558192304
7.0,-22.084487036589593,-34.68012581499561,-17.82648179411577,-29.80483906471914
8.0,-24.676754906220932,-39.637167240753485,-19.47614333020878,-32.948786563933446
9.0,-22.164504341692155,-34.74306025680539,-17.960925665378248,-30.08303879737084
10.0,-20.98528321127949,-33.67130920051555,-16.62936371798644,-27.67897171796989
11.0,-20.622478696558687,-32.38528695622348,-16.6384974848337,-27.81578669166361
12.0,-24.77076873055225,-39.00244571129426,-20.211187728240443,-34.20663593841546
13.0,-16.77564002755907,-26.381467904935526,-13.718988666443531,-22.853022603366412
14.0,-20.723274831854514,-32.628752915020684,-16.830936770151368,-28.192438863247716
15.0,-18.113158443763503,-28.31434151828558,-15.17715562110274,-25.45820711203472
16.0,-16.940548549656143,-26.630896764478862,-14.194804826726006,-23.880614326631076
17.0,-26.827766336959012,-42.41433013105289,-22.114777099516445,-38.09433254460051
18.0,-17.948712501458903,-28.75178955620069,-14.225689145330097,-23.683352678130262
19.0,-17.157638499178596,-26.900556947851776,-14.011838323046517,-23.41321692845974
20.0,-17.553428960522584,-27.584429846962646,-14.347513700154378,-23.94273964934087
21.0,-20.15163892495047,-31.66378181048954,-16.337339512854545,-27.17740663644306
22.0,-19.045714398772848,-29.84695896131244,-15.451853573848307,-25.827970887804135
23.0,-15.895816291034777,-24.918343913659193,-13.478439037467945,-22.551643915979962
24.0,-14.918040139435456,-23.29248567267223,-12.867319724945997,-21.640370344350217
25.0,-24.923200274384175,-39.26605643242904,-20.32366278316171,-34.29567669760342
26.0,-20.263833144048903,-31.78214244340166,-16.334255849754133,-27.307623037254253
27.0,-15.764209601850656,-24.508083323589474,-13.963865551073017,-23.664924791389073
28.0,-19.218886994041906,-31.05187113860082,-15.154343854500208,-24.976863092697297
29.0,-14.059424702778223,-23.5766405156888,-11.161271519843012,-18.898392092983826
30.0,-20.039290995277987,-32.03193132717447,-16.174508810562095,-27.142943915056986
31.0,-17.916898604682352,-28.92759542950425,-14.009015764996697,-23.22381677079313
32.0,-23.007155281363275,-36.353190102513906,-18.34726980463167,-30.70458882954631
33.0,-14.002197942758665,-22.21927654891123,-11.639004388383071,-19.353560942222288
34.0,-18.688595327176337,-29.323761545090093,-15.450596349521316,-25.899223079374988
35.0,-16.514123206644864,-25.933500921524086,-13.627122523688696,-22.765947554300574
36.0,-22.09667004971789,-35.46730783672069,-17.314462794963575,-28.925416765329345
37.0,-13.69060045238731,-21.439214087666635,-11.761777924976897,-19.64624913714905
38.0,-15.124338562691367,-23.854086228667988,-12.626575887374528,-21.105246152235587
39.0,-24.405527259757527,-39.40365295369928,-19.07370526252195,-32.145261932669385
40.0,-18.75099007373532,-29.736999388232668,-15.304925912046615,-25.553602508397418
41.0,-22.428016962681497,-34.92655487638406,-18.738140326279208,-31.870659851736185
42.0,-24.25743723092478,-38.608405755066144,-18.97282362718888,-31.74888725283091
43.0,-15.366331462965112,-25.234865844017307,-12.425563955450665,-20.68029362986733
44.0,-26.640491344847245,-42.09178003625463,-21.855704576180926,-37.24122797479927
45.0,-18.781639941499233,-29.29051538566482,-15.32215758392951,-25.133131136033683
46.0,-16.51939460910118,-25.650445919888973,-13.977112531199733,-23.420474949080482
47.0,-23.420316481552824,-36.663233933793094,-19.268169518177128,-32.51603037660304
48.0,-20.86992483013185,-32.59026663658714,-17.841693535852215,-30.603357089953683
49.0,-16.594609355664286,-26.482893045393823,-13.437110571694703,-22.448404626218306
50.0,-20.348164482657175,-31.724383885612415,-17.91034477012249,-30.83388857808839
51.0,-19.088923680458052,-29.994551414249464,-15.504310831620696,-25.96703450420614
52.0,-25.222826263853836,-39.848289806495266,-20.51096094031808,-34.70688132719509
53.0,-16.009037158756442,-24.94120784669964,-13.776638615489599,-23.15913392671039
