n,TW_Grass,TW_Forest,HG_Grass,HG_Forest
1.0,-22.57592258156845,-39.81250013786797,-16.82916105173722,-29.308520805349513
2.0,-17.955609098786624,-31.175422140613257,-13.79504500746806,-24.05912440191544
3.0,-23.983204661791873,-42.30518454566507,-17.909401641991938,-31.359539392472904
4.0,-20.390019595744842,-35.77636705432134,-15.932983720503003,-27.796167492964038
5.0,-22.432110376584028,-39.17491268822782,-17.32199021826454,-30.277405215435095
6.0,-19.30860589526092,-33.57785648198274,-14.628633224589631,-25.545718865771647
7.0,-24.059317049959915,-42.22795205779158,-18.31772115352494,-32.345918596308294
8.0,-26.862260261000124,-46.9603813076115,-20.202052575913946,-35.99687741029306
9.0,-24.246439991853407,-42.51213008867258,-18.504965667111662,-32.688010576289706
10.0,-22.439788920619037,-39.4599415175334,-17.07068714225033,-29.814361061724373
11.0,-22.51978927486406,-39.54771040535661,-17.05718698951747,-30.007302321153382
12.0,-27.130588500283345,-47.355212406462265,-20.47219989430456,-35.91113528149715
13.0,-17.91862568171853,-31.55831740203039,-13.868263025966945,-24.28153293934373
14.0,-22.483050199983822,-39.59985666892368,-17.165871160259165,-30.185476652530088
15.0,-19.882769652851767,-34.41649233234383,-15.579128443321705,-27.00850246779317
16.0,-18.298704874535172,-32.06483190344899,-14.295570735137897,-25.02311659479824
17.0,-29.17895639163116,-50.80265442984118,-22.112318117494727,-38.92049577922435
18.0,-19.181189509127954,-33.50474800564438,-14.536359933512424,-25.12362267336922
19.0,-18.449807137297753,-32.3551237289723,-14.175468901081686,-24.77859756382405
20.0,-18.91841519463682,-33.2170889464339,-14.523628749976165,-25.518881407691442
21.0,-21.870248153439583,-38.320548007728284,-16.728849668159786,-29.611492104432887
22.0,-20.78607960196841,-36.50255239182492,-15.755306975927276,-27.71744054640854
23.0,-17.107701797389964,-29.733864176725586,-13.540910988337744,-23.240294120637316
24.0,-16.18222390192798,-27.719926422545793,-12.982485553804963,-22.06221245271677
25.0,-27.108811227647568,-47.36123905136522,-20.64818126500336,-36.433625225766534
26.0,-22.189706512186206,-39.01580471052537,-16.737502811438958,-29.370854506658777
27.0,-17.178853985311463,-29.600682366927973,-14.00000756193961,-23.915098393482022
28.0,-20.611116491045998,-35.8259200930166,-15.805587064389984,-27.470571057202278
29.0,-14.446790888756961,-25.63064536545486,-11.046362720728336,-18.468427350575205
30.0,-21.47435249310401,-37.77375774598635,-16.471717798951026,-29.17414857309848
31.0,-19.398498617930294,-33.52091126521294,-14.661086089591205,-25.173007668194842
32.0,-24.835920559110637,-43.750238806903894,-18.760391956089475,-32.95187989091288
33.0,-14.817028259310113,-26.019147340015238,-11.838298044230791,-20.584380339953995
34.0,-20.26273531039946,-35.566372443901656,-15.658905432072018,-27.67363883082073
35.0,-17.69731033182544,-30.97914298308116,-13.707017451276876,-23.951522189794936
36.0,-24.254116622742696,-42.40168531458362,-18.207598453613357,-32.03941878994296
37.0,-14.527173463198888,-24.87413867128908,-11.76015933482622,-19.81205826520865
38.0,-16.038842911946002,-27.988728959930413,-12.623331022482308,-21.91674876607695
39.0,-26.52752477701664,-46.412206232818086,-19.908303665965725,-35.30937308592378
40.0,-20.070118971358994,-35.45959994539952,-15.58663350798264,-27.356711461108933
41.0,-24.68295034918347,-42.733483917477585,-18.88099029491691,-32.72566198671745
42.0,-26.198073944338635,-46.167249742285904,-19.529765274690547,-34.45547506326047
43.0,-16.044091947436943,-27.833772731625782,-12.536347360465063,-21.606595586020315
44.0,-28.997847852255845,-50.492357043450355,-21.876969439804252,-38.28667949432837
45.0,-20.583288496899485,-35.590015232631615,-16.07146886483425,-28.0858204756928
46.0,-18.12175418868265,-31.26136956600228,-14.328663751481077,-24.604116501727532
47.0,-25.830965454922495,-44.97263425711377,-19.72706037242085,-34.6883008782647
48.0,-22.76904481054317,-39.39936407775451,-17.87064999979149,-30.971478288640768
49.0,-17.938873847633936,-30.84741078997608,-13.84183043715422,-23.96991653632194
50.0,-22.01025366049354,-38.096592876249076,-17.55576845271977,-30.45763658022036
51.0,-20.768965967661803,-36.51248190373535,-15.783724550570835,-27.830057988954845
52.0,-27.41097498194982,-47.888775156914704,-20.664616420110647,-36.20207200738619
53.0,-17.55004458005267,-30.230412926676276,-14.042807679595507,-24.0577498457913
54.0,-20.328772875213637,-34.87486463005347,-16.12663582100818,-27.576637605463336
55.0,-20.28229803913927,-35.157741282159435,-16.204566763008117,-28.14622059919862
56.0,-17.627726045701163,-30.24546882426509,-13.839051996204255,-23.862311809185456
57.0,-16.214658820086765,-28.362672558637428,-12.814493126079695,-22.307949829294053
58.0,-18.395482769004804,-32.39366239950942,-14.459505788681088,-25.440888615108847
59.0,-19.116543947160793,-33.30584569044771,-14.909084635239147,-26.300227842874428
60.0,-21.293727721260428,-37.27043072629539,-16.561043394098732,-29.04068925557926
61.0,-20.852328942567524,-35.88306115725452,-16.398393796790184,-28.20223335090415
62.0,-28.146967929762514,-49.0875420746399,-21.12659707489246,-37.560129375954745
63.0,-18.95036160904818,-32.430623843998106,-15.158807966013857,-25.795560809845625
64.0,-18.49786282072643,-33.14136324439518,-14.182931878768303,-24.130607562261467
65.0,-20.561885256773948,-35.53355494184258,-15.924541058223719,-27.614250103091365
66.0,-19.519536278805372,-33.793103405850616,-15.344419625757965,-26.444894057442703
67.0,-27.370443111779394,-47.603493473603365,-21.127774875799425,-37.31837313043561
68.0,-13.51259957113729,-23.82509478805182,-10.57760124364276,-17.67187707893943
69.0,-15.605803242871914,-27.25456974663217,-12.328018383377394,-21.52983732877722
70.0,-18.714763611570575,-32.59536147590124,-14.438745272450825,-25.21673462392998
71.0,-20.705318552317284,-36.045013408033284,-15.959776073224702,-28.01132266078855
72.0,-26.18252074175323,-46.0770917513809,-19.51622972052552,-34.26902464052145
73.0,-15.573035414251837,-28.025005455021983,-12.014446180145196,-19.87717819473788
74.0,-18.144295296714404,-31.634819208090118,-13.960610601436287,-24.190932368497556
