n,TW_Grass,TW_Forest,HG_Grass,HG_Forest
1.0,-35.731320296676735,-69.37335819511439,-28.379448824756373,-52.12388573753452
2.0,-30.22287390287191,-59.20298615580156,-24.055789506842952,-45.03746561665562
3.0,-37.59173030150408,-72.89150933468576,-29.598758108381226,-54.54101729333857
4.0,-37.103764677275294,-70.72515121329198,-28.345366264796304,-54.00555007725302
5.0,-41.33394380458296,-77.59417015004364,-30.657361115961894,-59.324670201459725
6.0,-32.17883013437262,-62.66713701589535,-25.36495432302521,-47.538417260494086
7.0,-42.54749509572355,-80.82848359451752,-31.594518079119624,-60.116087860047756
8.0,-45.82440250102494,-87.79920173576932,-33.7557968698316,-65.28847365617486
9.0,-43.07331642086394,-81.54908266322735,-31.907972997604816,-61.019139799762286
10.0,-36.30283651413411,-70.34993480274595,-28.738867858746822,-53.23472642310995
11.0,-40.116034901496654,-76.64554683622231,-30.05980498423301,-57.22340511936501
12.0,-47.0496507849393,-88.90252004862832,-34.29376495285728,-65.39486523462868
13.0,-32.60631388151589,-63.35340411576131,-26.22854964479479,-49.834374277627525
14.0,-39.96845940060505,-76.65065294010427,-30.36707167129329,-57.63654295614428
15.0,-36.91038721495307,-70.01972812201801,-27.89540201151417,-53.74662578939645
16.0,-33.794464630877265,-64.778166688841,-26.115118472126447,-49.44231537164473
17.0,-51.0882680339202,-95.25523467474778,-36.76003169170292,-70.32287506014157
18.0,-30.562727448132378,-59.38007134809401,-24.918334157806253,-45.44729493199432
19.0,-34.01581536361953,-65.2618365996356,-26.53988588210262,-50.20908780150201
20.0,-34.57824427933735,-66.48154731477754,-26.98119771019255,-51.329349975315566
21.0,-39.29357031155247,-75.12612667780382,-29.776310068366328,-57.08218392376972
22.0,-37.670750555485824,-72.04785466704294,-28.55151818481811,-54.254304489125545
23.0,-32.50166840588487,-61.98766039857464,-25.153788454824166,-47.69925335981459
24.0,-32.03087320958838,-60.370738666694194,-24.5879492196704,-47.84514564220119
25.0,-47.772686839060256,-89.75506208529379,-34.76037215279905,-66.73011778243297
26.0,-39.677111302328285,-75.7946575071112,-29.791577779736613,-56.48786181017239
27.0,-33.94995121672875,-63.14402340427753,-26.043787705178985,-50.3730615984194
28.0,-32.639841869165465,-64.28621833759966,-25.91163462289132,-48.114848328542756
29.0,-23.01937454938344,-46.057633028804716,-22.208946937269037,-39.91691179645217
30.0,-37.30586705864352,-72.88284531577139,-28.884231981277484,-55.98213534852277
31.0,-30.58961260404378,-60.24234122452765,-24.388938872381544,-44.99262956889609
32.0,-43.27736966280135,-83.10242050362885,-32.6194095407908,-61.711987824240154
