n,TW_Grass,TW_Forest,HG_Grass,HG_Forest
1.0,-37.702767917040674,-72.50338469251899,-28.588728100769764,-47.66651652142965
2.0,-30.880531205720615,-59.903537959369146,-23.523932841034934,-40.94973307875023
3.0,-39.33937906867021,-75.35214037746212,-29.313514161817643,-49.36007457324336
4.0,-37.66404909688939,-70.72498674344422,-27.526013087596674,-47.93874695266295
5.0,-40.53673854252291,-74.59636384405324,-28.400725698537293,-50.91173102996399
6.0,-32.77375543736639,-63.35803264386503,-24.662902757327675,-42.88962756606277
7.0,-42.394565945376456,-79.13603758785507,-30.32668967943112,-52.30014383333905
8.0,-44.98637942791606,-85.2122264301163,-31.870872729024413,-55.24799470932794
9.0,-42.86016816127855,-79.72245126389724,-30.282937030325627,-52.952924056832174
10.0,-37.927928874713885,-72.96808960903559,-28.76996065897687,-48.78347242526634
11.0,-39.78319780991429,-74.5088051805835,-28.828621269699223,-49.74201877208682
12.0,-47.37045739261339,-88.09229166721082,-33.228946892032134,-58.3572512126825
13.0,-33.11699915652029,-62.831577471788876,-25.02683448871136,-42.42962013304945
14.0,-40.0355291856509,-75.14660773018392,-29.22655661522617,-50.14863894112769
15.0,-36.473111297003186,-68.45637571848947,-26.250860034887417,-47.32721761342272
16.0,-34.02855520479042,-63.877199654286926,-25.016509610063657,-43.603263728162545
17.0,-50.95280773238892,-93.82618091224461,-35.24938524071345,-61.74376025432527
18.0,-32.18932089641518,-62.20115285174767,-24.766999461254073,-42.33617144962318
19.0,-33.80911390239882,-63.62251910677508,-24.941311899309138,-42.953211356088545
20.0,-34.66432687679648,-65.51415777921193,-25.59746892308422,-44.18497110813824
21.0,-38.779401303131834,-73.15271398662131,-28.16935510233783,-48.577008299693766
22.0,-37.320957537459776,-69.79590074006322,-27.039797299456573,-46.636007389416804
23.0,-32.81831751063495,-61.74648583167364,-24.227283343197435,-42.92798587946932
24.0,-31.891471427543593,-59.015745640088454,-23.125252756092962,-42.37561590298593
25.0,-47.832259605286744,-88.69436591749933,-33.50062314546277,-59.01504023403542
26.0,-39.42556252582468,-73.47348789705511,-28.407620659399655,-48.78131827874353
27.0,-34.1256139060662,-63.02970488963459,-24.677708553114915,-45.20439258941385
28.0,-33.2198056269264,-64.52717811949653,-25.829559804318052,-44.5864124603809
29.0,-23.642019716255838,-45.31978120525077,-20.862358564410872,-33.313861926526386
30.0,-37.103572692565,-71.1597034036738,-27.496776021643203,-47.5819852035279
31.0,-31.18629510524251,-60.69759267650446,-24.247416940421054,-41.980991346865586
32.0,-43.492905632213684,-81.74290298658676,-31.653479715534473,-53.99970098806057
33.0,-27.90960521342734,-53.98472580764282,-21.67042559375386,-37.9775105800496
34.0,-36.8540574942016,-69.15697605569822,-26.805639969161398,-46.75058309776728
35.0,-33.05079621374392,-62.32130489708147,-24.457620589816294,-42.38335791701831
36.0,-39.532273729785516,-75.86771736193728,-28.890741637766325,-50.27794631947067
37.0,-29.64714348441928,-55.53312022590917,-22.06063470782366,-40.17286414678932
38.0,-30.48586971123229,-57.842795491484765,-22.90986376208762,-39.92253737436349
39.0,-43.2471727573552,-82.71710797507781,-31.054457992209535,-53.809093512874334
40.0,-36.15583953190314,-69.30884235505101,-27.4063288283504,-46.78454585563134
41.0,-44.23548418506206,-81.43214484784257,-31.150228368076494,-55.01517107233878
42.0,-44.799812628272626,-84.99858720117355,-33.071446866005815,-54.977625293101916
43.0,-27.09508383984568,-53.2398230999136,-22.02373600691152,-38.10780518736678
44.0,-50.65194400863423,-94.05698767635405,-35.42473923280336,-62.30403518335676
45.0,-36.990952159648,-68.76745707211742,-26.27238839513676,-48.07134172546049
46.0,-34.51903137944803,-63.96691736092254,-24.680996206746517,-45.13344092872567
47.0,-45.90687398505432,-84.45338652725295,-31.897214922904826,-56.95281261083852
48.0,-41.78551624999984,-77.18049224212332,-29.921048822937117,-52.63611725423487
49.0,-31.072418962965134,-60.03223395603117,-23.203389634331465,-41.37445807612259
50.0,-42.5611259405893,-76.89876755386327,-29.7263864882645,-53.151771284265166
51.0,-36.988042845025454,-69.58933197702497,-26.993531785028498,-46.39347423410149
52.0,-48.14390260909747,-89.76898631338183,-33.8228418572731,-59.36876846519792
53.0,-33.995444175400465,-62.770118549538324,-24.488223762377594,-44.590018551696694
54.0,-39.711148842079716,-71.76643784237353,-27.937459988440455,-49.71214473567886
55.0,-38.5263890969505,-71.64038127571446,-27.750185627658357,-50.037364247349366
56.0,-32.89173540354132,-61.91163033197387,-24.054682445804513,-43.4403313205798
57.0,-30.786506938478635,-58.51293289805088,-23.27092496817373,-40.36407843885466
58.0,-33.00262478339587,-63.603150060371945,-25.24342674609811,-43.649793526090065
59.0,-34.702795842874345,-66.0311037148347,-25.500244612854758,-44.98876674547316
60.0,-38.76697075813796,-72.24344546234263,-27.622883032565472,-49.09514660517327
61.0,-39.775797043407735,-72.39232058498274,-27.833802049399807,-50.466434718181645
62.0,-47.77579319572601,-89.7978206923714,-33.49424875327482,-57.78159880446624
63.0,-37.34621952185246,-67.83475373423522,-26.549332762595512,-47.59389524387235
64.0,-28.758340015492195,-55.38513478045675,-25.079640289365976,-39.630669581814885
65.0,-37.33667181534154,-69.54377470794422,-26.432619889838172,-48.00232934847933
66.0,-36.803797186547335,-67.62054432279871,-26.068375482291607,-47.242141185581104
67.0,-49.23216909107789,-89.96868554735269,-33.66221047636538,-60.73203855156589
68.0,-22.362790796172256,-42.88679417585787,-19.637361528157978,-31.61665126438931
69.0,-28.524879396724206,-55.34309800187536,-21.868509893908968,-38.538688302355524
70.0,-31.542427798587592,-61.41407604100007,-24.470378555659366,-42.26321185128809
71.0,-34.64230678896507,-66.85912269991917,-25.81282584903407,-45.65081505294857
72.0,-43.17299562304257,-82.53996524347058,-31.87940817368122,-53.9044361197598
73.0,-24.800685827839395,-48.698680708621396,-23.02543325287967,-36.74604389962212
74.0,-29.78352805059464,-58.3780168102563,-24.36600650944375,-41.2735458640491
75.0,-37.95885724128452,-69.77599145000264,-26.813007236867566,-48.370804815759286
76.0,-33.133562842608875,-61.76909248497206,-24.13370089949247,-43.432816641009595
77.0,-30.95307760836996,-58.182896297752954,-22.880758368334924,-41.03679909031722
78.0,-31.96107902152215,-62.20971452263875,-25.094397681220176,-42.540392580004024
79.0,-49.932710535009186,-91.02790412918392,-34.28086139102208,-61.46581823245917
80.0,-33.76984990865528,-63.45369399335653,-24.83517137961929,-43.12196413841792
81.0,-32.614968191465515,-61.8443315207427,-23.904453616133182,-42.82983503545995
82.0,-45.50078615314622,-83.48121001135195,-31.78594256359562,-56.375717598978866
83.0,-42.64025220670128,-79.01257030833993,-29.72793049880211,-53.71847868068032
84.0,-34.91378228592567,-64.62151322844363,-24.992358440660798,-45.462950535771526
85.0,-32.75604957649489,-62.65642021327109,-24.366753068193653,-43.37030412366433
86.0,-50.91341687167147,-94.18825845955217,-35.315084212107294,-62.91308561547628
87.0,-38.530552462927936,-73.87775364867129,-29.662826926664657,-48.75834418246497
88.0,-43.332537510857364,-79.61778133848313,-30.38312825805488,-54.10782670146174
89.0,-30.391143888227766,-58.577700999655306,-22.917976842179304,-40.17420904642896
90.0,-31.480805036853873,-61.252526806324745,-26.11840477034353,-43.297448523860595
91.0,-45.98274011132024,-85.61920429619262,-32.3603674874132,-56.38414679855852
92.0,-36.94317908318595,-70.47957673196241,-26.99965351626043,-47.21654080839113
93.0,-42.95318699212286,-79.23810499420082,-30.270000436788113,-54.359247033438514
94.0,-40.85301147345602,-78.07320191748028,-29.467730232298234,-52.133145719291505
95.0,-30.990808519471546,-58.86361329162075,-23.050709737270925,-40.64537978306724
96.0,-26.490155363116294,-50.869365514770486,-22.69935751628991,-36.72824373284344
97.0,-30.969022271139412,-60.333983447066615,-23.866418337977997,-41.59510383716038
98.0,-37.323086408328365,-71.74163249572891,-27.45670085800132,-48.19144008830874
99.0,-33.71748924389588,-64.54530066067775,-25.33592285830533,-43.81441874150653
100.0,-47.884863635553565,-87.68977509991862,-33.16518618448523,-59.22698644549655
101.0,-34.83359735076284,-64.55099742089975,-25.04906016818007,-45.52843293082128
102.0,-27.23860407355911,-53.17151476671259,-21.58923510584444,-37.68407219152355
103.0,-40.09588529701856,-73.99456024421801,-28.244178422853157,-50.418352545507176
104.0,-33.475264062870124,-61.24794594943274,-24.214396306204435,-44.244197800168976
105.0,-46.171431848973725,-84.79232156974513,-31.891635986228827,-57.12759442191705
106.0,-39.009558615623995,-72.489640055782,-28.108637069566015,-48.279226158468546
107.0,-37.87308517436951,-71.18490692413937,-27.16829406779719,-47.8265763511841
108.0,-49.04650497981899,-90.2947510813124,-33.8706658522448,-60.173601349291005
109.0,-46.8329667099443,-85.4484495482622,-32.63217743484965,-59.20235060965191
110.0,-34.59965798168035,-65.13871781229679,-25.223444997464235,-44.270006942452255
111.0,-31.268997787818538,-59.278906653272344,-23.513253416354797,-40.788242494033014
112.0,-39.918179135803,-74.02843795265655,-28.60724788872602,-50.52384697238497
113.0,-35.259430028179025,-67.87791521139651,-26.80187684164829,-45.72656321944204
114.0,-35.17198446244957,-65.1542084313555,-25.538991623039134,-46.075784828213315
115.0,-33.532479440363375,-63.781767827990585,-24.696427440912686,-43.05896406789922
116.0,-40.64596870848656,-74.09373479445088,-28.563875898673487,-52.16610178686878
117.0,-33.2229545306821,-61.61679790779883,-24.49028344879595,-43.55328399330581
118.0,-30.817702312177502,-57.64433733763107,-23.06034258974059,-41.1838107861175
119.0,-30.728907590948584,-58.43373381338304,-22.671682769220112,-42.70877528784973
120.0,-29.224551149424173,-57.014787998183095,-22.580914606849056,-41.255701864008174
121.0,-34.48983709738178,-66.37710249774655,-26.41772881006696,-44.98322019494279
122.0,-36.58472304883641,-69.15479910718201,-26.33376147188255,-48.62508880934057
123.0,-36.4773254245439,-68.4919741444012,-26.260222175698228,-47.56444633397243
124.0,-46.93356569463687,-87.37815652779088,-33.009717740260754,-57.200949854862955
125.0,-39.187514242860715,-75.30321691770985,-30.09404730374741,-50.116074430967736
126.0,-39.196309768569506,-74.81175415134751,-28.90977288813131,-49.778487865353455
127.0,-49.581713301395396,-89.91572387242964,-33.82482378508705,-60.51751780286063
128.0,-47.03305880051096,-85.49653577713762,-32.523093425453,-57.80582401035616
129.0,-33.469381008771336,-62.29574171308198,-24.01138168115016,-43.57850656188624
130.0,-28.09678459668872,-54.85529318983869,-22.264789812657906,-38.05551528687661
131.0,-44.40002205220676,-81.30781624974465,-30.895680092515562,-56.20867276820114
132.0,-43.59071042094132,-79.65605319083272,-30.501991327067103,-55.09546321307506
133.0,-30.763945292776636,-58.95281119665951,-25.51576907332491,-41.134577969328625
134.0,-37.79962636424577,-70.86232610239941,-27.596240464742472,-47.10556122479515
135.0,-29.99924638042397,-58.325323295969184,-22.845828375575397,-40.75880617613959
136.0,-36.54532328517399,-70.08427474351294,-28.323826132261146,-47.72864017064971
137.0,-28.583326210240834,-55.7012416872417,-22.359071171778403,-38.97554344185143
138.0,-42.28153072872967,-77.08315535891607,-29.59099243205739,-53.314715197475564
139.0,-34.901337092867124,-66.69756370155827,-26.026801681255073,-46.05692979840747
140.0,-46.74559673662515,-85.04518919684489,-32.45801580527505,-58.06406901067345
141.0,-49.78948917014984,-91.13049132758204,-34.375837006526254,-62.87493329613037
142.0,-35.204020360859516,-67.0329858792067,-25.88078301023836,-46.7091782355757
143.0,-41.64985291293307,-79.88008483855134,-30.666419261839167,-52.04509247423505
144.0,-29.39012363419772,-57.163514309928146,-24.07050022879199,-40.11975559667837
145.0,-26.358454844598008,-51.37068767674507,-20.490211090938143,-36.33386325462553
146.0,-36.39772908521149,-69.45646140970322,-30.01303592854441,-48.38492375031398
147.0,-50.40096891634724,-93.07926561198497,-34.91074298444687,-62.296468575389085
148.0,-37.4866748321314,-69.53412295329115,-26.97829723041589,-48.62473719806493
149.0,-33.27421902449876,-64.44630368236636,-25.862960777640666,-43.98144364427705
150.0,-27.27076868925109,-53.810826369421065,-22.501076684629833,-38.42456350053001
151.0,-32.932480591494894,-62.70980963246697,-24.207329902771257,-44.20364874612678
