n,TW_Grass,TW_Forest,HG_Grass,HG_Forest
1.0,-31.702386451103294,-61.739130192887856,-25.263712066011454,-41.373761292595624
2.0,-27.790990363486173,-54.13363321896675,-20.825407278296716,-34.64577195379857
3.0,-33.98401616541335,-66.65488632489703,-26.25308035591883,-42.955970640005575
4.0,-34.363187059061886,-66.58541729591153,-24.975628596185107,-43.05659614477034
5.0,-40.77144855427918,-78.92738057742966,-26.79663552237431,-49.139551948770986
6.0,-29.36933627048453,-57.29013698230548,-22.249840245552804,-36.99616019332821
7.0,-39.60800530378233,-77.53991840688214,-27.600474378950167,-48.49033707242896
8.0,-42.36100386378793,-84.70070256445382,-28.710791285553903,-51.53164339191795
9.0,-41.63366041083955,-80.89880567442108,-27.933082413884833,-49.99535760155739
10.0,-32.850189027251744,-64.98055914983209,-25.59387643813392,-42.29561184007483
11.0,-36.346845233228365,-71.91177635438,-26.44951473542372,-46.588258961829055
12.0,-45.11757377649524,-87.29103684745199,-29.962294941875232,-52.47245231420179
13.0,-28.44507796502006,-56.39356991157281,-22.696443580043763,-38.623818993238174
14.0,-35.85018154352444,-70.87808141184213,-26.746141836591555,-46.60136917592256
15.0,-36.824621286055184,-73.17073605302066,-24.809797882034438,-46.27933598269933
16.0,-30.753243415166487,-59.9664598596482,-23.193449656938807,-40.06669310340621
17.0,-48.76447275924875,-94.36086248853184,-31.8042598908593,-56.380444229897904
18.0,-28.060896527576038,-54.436669759985364,-22.738003507020203,-37.12483306703484
19.0,-30.408712506957226,-60.31717323949296,-23.267032728835247,-40.28794675776142
20.0,-31.17816137822277,-61.97997827693497,-23.748505397565815,-41.450335902824584
21.0,-36.21482558721121,-71.48261967005809,-25.892156705101467,-46.04293747291564
22.0,-33.7527800328615,-66.64785368852986,-24.922623709632212,-43.707833489867795
23.0,-30.50077742300159,-58.47622820567628,-22.027703846273386,-38.22180572886319
24.0,-31.852166075804938,-61.578632494655416,-21.51314235502366,-40.00459266713242
25.0,-46.45994468649313,-90.35715316434795,-30.475328747465852,-54.62300462593989
26.0,-35.59179569234618,-69.92093130922851,-26.041690918927443,-45.41585282610836
27.0,-33.63807746611142,-64.8388008727714,-22.817524786155033,-42.70687589648167
