n,TW_Grass,TW_Forest,HG_Grass,HG_Forest
1.0,-23.854226346499594,-45.09067093054263,-23.59583764422058,-35.12317381097391
2.0,-19.900132218474845,-37.69626248970051,-18.672803121813942,-27.926545900841703
3.0,-25.538861853943757,-48.06384192969342,-24.586492109981755,-36.66091186138131
4.0,-23.852582450203744,-43.732459272426965,-19.67131779688347,-29.937786634345784
5.0,-28.788918031923522,-53.313267162572615,-20.58287357454166,-32.487887976313544
6.0,-21.016441933942296,-39.75483673635498,-19.843095814487636,-29.64592335017398
7.0,-27.725775373119454,-50.29676483302015,-21.69056508824149,-32.636608554644944
8.0,-29.741512441219186,-54.42322023885709,-23.211286315896373,-35.33969882538781
9.0,-28.842243156024225,-52.26478979334234,-21.397454890445143,-32.322585425729095
10.0,-24.101854496325128,-45.539221212184316,-23.201114092937672,-34.37292414011494
11.0,-25.176892234896293,-45.75485715854954,-20.854344427342472,-31.27684922368487
12.0,-32.45822997184131,-59.51102941071764,-23.979210640368926,-36.205643542282246
13.0,-19.41517441105353,-36.23990439464134,-18.94844844425585,-28.368239705243134
14.0,-24.969070996489698,-45.721337052024765,-21.45586711419975,-32.245868237797126
15.0,-24.2356553062277,-44.21887782533611,-18.408584016585458,-28.90481423257738
16.0,-21.14466865132792,-38.75208436340924,-18.329622608654127,-27.918594408946596
17.0,-36.995095777092445,-68.30725593448659,-25.731279077906958,-39.4985038049424
18.0,-20.566306469340912,-39.33502431255462,-21.10359811758365,-31.514880512281664
19.0,-20.39723219309209,-37.540603732484705,-18.446327130659856,-27.6266255490762
20.0,-20.686577760136377,-38.007058553546315,-18.732337775872594,-27.971026234108837
21.0,-24.336440532133192,-44.39847023750754,-20.222688683413548,-30.31771174988153
22.0,-23.223818872107383,-42.35060425308208,-19.74443867618662,-29.870354563959534
23.0,-20.696182382451507,-37.97536671260626,-17.54039759331826,-27.19630189856492
24.0,-21.974193252794393,-41.01972204688213,-16.672063163818436,-27.317566182584972
25.0,-33.40421425190283,-61.461315765877785,-23.944203471407832,-36.550549042787466
26.0,-25.02830069850401,-45.47053581163688,-20.722721367781382,-31.258408444036196
27.0,-24.25840103877872,-45.22360181528046,-18.047840696945684,-29.880325881956253
28.0,-22.170037430625563,-42.63014992590998,-21.375903258296873,-32.53796919122594
29.0,-13.666717246151354,-26.524101833569496,-20.203080099184753,-30.604902756104472
30.0,-23.455223873308917,-43.70866138002616,-20.636156927670193,-30.90047266983641
31.0,-20.69681976969806,-39.47893344709432,-20.17541847232167,-31.263769111964407
32.0,-27.313702171455752,-49.78649569291454,-23.670248052117554,-35.408717551440276
33.0,-16.244500540769796,-30.7590310330665,-16.77363670655244,-25.061789258181932
34.0,-23.38272688367367,-42.6082237636607,-19.38390867949097,-29.390877482788277
35.0,-19.8736877522608,-36.57294493838903,-18.070276216402448,-27.398648117299174
36.0,-26.678737225055013,-49.687147016870966,-22.286125600290156,-33.879373892326726
37.0,-19.92131618533688,-37.20197923371992,-16.230836075114752,-26.171661950956306
38.0,-17.819971911362295,-32.96402575263844,-16.983152069063795,-25.454968435295164
39.0,-29.034869552233918,-53.81948299654875,-23.69071658842236,-36.005979065675916
40.0,-21.58822533268207,-40.28802648249263,-21.015487056878236,-31.226911930750752
41.0,-32.060376364960774,-59.461161328528846,-23.12815197766999,-35.846906508675055
42.0,-27.49017698660964,-50.25512217536086,-25.876925569115098,-38.764248601253925
43.0,-17.596518746289846,-34.39645189588621,-19.043120199076498,-29.160212198703192
44.0,-36.047620508304504,-66.58750698670842,-25.947208450807583,-39.553007933690495
45.0,-25.275190206215346,-46.29563516740205,-18.06451032346284,-28.629748833083347
46.0,-23.840042571727246,-44.25441107298681,-17.614369466869,-28.55984186236313
47.0,-32.86418904962889,-60.78361035064056,-23.043753035691157,-35.95393563052418
48.0,-30.011949848634938,-55.908736170050936,-22.212439467316326,-34.59839384411853
49.0,-19.73487246094193,-36.93898738394478,-17.7323897019008,-27.267841275183496
50.0,-30.972284112122107,-55.97410154570346,-21.330688666323425,-34.118675918935025
51.0,-22.532954900829544,-41.260416147129284,-19.940579550397807,-29.8399769870826
52.0,-32.81526797169324,-60.0915076752085,-24.28692204198306,-36.820142950438424
53.0,-23.705854524556628,-44.24260907145625,-17.59065179894021,-28.690698066717523
54.0,-28.744811694318464,-52.26080849537276,-20.14325740351454,-32.10826670574711
55.0,-27.4926086846555,-51.25774744981703,-20.577110949175225,-32.96416030124139
56.0,-21.001786795628973,-38.563673827868314,-16.839606147844535,-26.396223777564295
57.0,-17.880918554928208,-33.11181284453819,-17.344599001382477,-25.962768588262698
58.0,-19.908875569189906,-37.472057808132014,-19.42083363101149,-28.979819092143913
59.0,-21.43817339491095,-39.400292372797075,-18.23759372826206,-27.736506661100496
60.0,-26.114833115841808,-47.62902937898639,-19.591377757004196,-30.35008431415396
61.0,-28.796242060959493,-52.53464185163128,-20.088298321033523,-32.79557665123261
62.0,-31.76291320856014,-58.04243302370561,-23.84386917302158,-35.921637760280646
63.0,-26.62928900815509,-48.781857463901304,-19.10055309793251,-30.84546879872382
64.0,-17.0824142761612,-32.63824075978161,-24.22370787393075,-36.63810427791404
65.0,-25.309615563644236,-46.067858547922064,-18.366321710906693,-28.872029042477653
66.0,-26.18253491928746,-48.7214105923661,-19.097226115535022,-31.027667207302393
67.0,-36.334908864906225,-65.63775795791298,-24.195947933609855,-39.18848959130625
68.0,-13.197046429150248,-25.710126927548846,-19.147738927478507,-29.17641533533483
69.0,-16.90027318184914,-32.09145634646619,-16.96987247476973,-25.44033317807412
70.0,-20.614954140363466,-39.291987213547785,-19.99095572489231,-29.918396457082416
71.0,-22.87950955900244,-43.307798928724985,-19.82293336739428,-30.46429127967278
72.0,-28.027667881902858,-52.07259049111372,-25.492101896614518,-37.78406104981187
73.0,-13.998571289077255,-26.705385153160393,-22.53743788037018,-34.329708105823705
74.0,-18.186587671131605,-34.62944855040989,-20.86027962457275,-31.875207828850026
75.0,-27.212319317440638,-50.5197275167468,-19.770651030567457,-31.784371749724855
76.0,-22.53999454772306,-41.93100935272735,-17.757520358526477,-28.357355460236697
77.0,-20.5813230057883,-38.38971874925207,-17.00927300085548,-27.050443646210017
78.0,-20.420030217946426,-39.210355773582506,-21.13565391544015,-31.585110913848993
79.0,-36.44743928117677,-65.62939269395429,-24.37598524097993,-38.590870183538414
80.0,-20.82365266809507,-38.095955156408046,-18.183235965578337,-27.597101075181023
81.0,-20.090857929481583,-36.97351611043791,-16.92624468665162,-26.107542751547207
82.0,-33.126311431456664,-61.29442965374275,-23.357225790853803,-36.27033052432331
83.0,-29.95067109527973,-54.64680766023969,-20.842037432200026,-33.1065870906406
84.0,-24.077014622288793,-44.804185258890975,-17.802960955585664,-28.80976293606692
85.0,-20.299495881180555,-37.61104172651611,-17.750427900230648,-27.295152650957448
86.0,-37.135900047333635,-68.1512102686665,-25.569921322776743,-39.529163443938096
87.0,-25.095269953624957,-47.85500598669087,-26.2875576912048,-39.64317648461808
88.0,-30.940713541404357,-57.28385578906414,-22.136769213278154,-34.58493117609405
89.0,-18.329036993276038,-34.47691605155813,-17.58201748231918,-26.349900493482796
90.0,-20.124800872744387,-39.17620287454736,-23.772627792684492,-36.01850826172573
91.0,-31.191519467151863,-56.52481319539737,-22.906085064188492,-34.39403522340556
92.0,-23.35840663108543,-43.17712902951944,-19.759725291527275,-29.96658077168025
93.0,-31.001070531551434,-57.42357279796419,-22.239173953001067,-35.207424561907246
94.0,-27.16230566252235,-50.39197288760007,-21.911669778693366,-33.71965934787549
95.0,-18.482208215221323,-33.999314529874646,-16.93334924806148,-25.81291790742796
96.0,-15.709288410943262,-30.134848802396785,-21.446130014103176,-32.447932536821874
97.0,-19.48129139446334,-37.11536213047184,-18.87498436987804,-28.235645255045142
98.0,-24.052475868672698,-45.03806075917247,-20.722885076545325,-31.74682611220984
99.0,-20.16380357712227,-37.52323402204981,-18.549562239195815,-27.803484380681624
100.0,-35.218947794584615,-64.60540689388094,-24.068505514381172,-37.88866217428843
101.0,-24.30954972517916,-45.37849062874749,-18.214475148197412,-29.606280655268208
102.0,-17.394727830153727,-33.42123488858932,-17.783954321638138,-26.576723382049778
103.0,-27.676040828042098,-51.142055087358386,-20.277339979066433,-31.71759571795433
104.0,-23.55502324759926,-43.276052916552786,-17.371464692470056,-28.657092869855248
105.0,-33.372091394775005,-61.50100225108093,-22.760051100397526,-36.06762489260993
106.0,-24.8781259865769,-45.14141175984388,-20.487129615467342,-30.939777188011355
107.0,-24.571325327142276,-44.768628313002566,-19.345731984431918,-29.775184642068304
108.0,-35.74333465185048,-65.7902783260577,-24.591493491564126,-38.4156542091671
109.0,-34.76449038735011,-62.84721548015095,-23.41407905529731,-38.036020042505385
110.0,-21.836399349932318,-39.7348516293499,-18.32334166708544,-28.066294607261284
111.0,-18.58390974210295,-34.38004429544279,-17.184457519599594,-25.977003287015947
112.0,-28.05512542688952,-52.33301246593719,-21.313757808693463,-33.40166389466344
113.0,-21.351297460524922,-40.31669483013988,-21.159912121821954,-31.422443698370667
114.0,-24.961008709800424,-45.97324699812803,-18.542856233189177,-30.066663538936403
115.0,-20.30301516897137,-37.57141028126539,-17.93172516388512,-26.99100583320286
116.0,-29.78374322819234,-54.725564994982136,-20.525300897718566,-33.57814402293701
117.0,-23.2620836541974,-43.35768467098846,-18.16218961741305,-29.090987996405225
118.0,-21.28658992460115,-39.9966684541956,-17.475668526626357,-28.14964045282528
119.0,-20.25167031153645,-37.388558544498494,-15.435827393646521,-25.04073518521823
120.0,-19.03832802973511,-36.27825548433854,-17.254436272530533,-26.630380815266815
121.0,-23.131439588500573,-43.83936886914107,-22.232972283829888,-33.24004602279527
