n,TW_Grass,TW_Forest,HG_Grass,HG_Forest
1.0,-22.932295212923883,-42.59174253324251,-20.892276577131437,-31.85301060902689
2.0,-19.796634058199206,-37.24586630014139,-16.885826546249934,-26.952519383447417
3.0,-24.942324149993993,-46.477152817425576,-22.03211363813728,-33.89332145008178
4.0,-24.354017443791935,-45.2726611872464,-20.252881441784194,-32.99606151478571
5.0,-27.90038828991424,-51.48543476233502,-20.92977397265207,-36.240072188556795
6.0,-20.761836819836518,-39.193172384766854,-17.823168711928076,-28.23672529431141
7.0,-28.22108029609312,-52.85701519381455,-21.556034822987822,-35.44871687493431
8.0,-31.725104112760793,-59.500987051777216,-22.53197388258551,-37.08702770792803
9.0,-29.116128959126968,-54.04427271238761,-21.767201680637523,-36.65150915278708
10.0,-23.432427652540078,-44.055781839968105,-20.72935709246981,-32.059495441182435
11.0,-25.486293306109197,-48.082515647551745,-20.366620804759066,-33.374985281116736
12.0,-32.13933937558731,-58.759821557629486,-25.01523425228533,-41.621123010100675
13.0,-19.581305034999662,-36.24443988761128,-17.449164968505425,-27.60847083074465
14.0,-25.34516374465011,-47.826582704777316,-20.723175906867407,-33.33741210013653
15.0,-25.129567270059,-47.05081606020239,-18.75169811974284,-32.539625923891954
16.0,-21.597986534276174,-40.764772248530875,-17.90888945098061,-29.01703387117879
17.0,-37.09793120662257,-68.42759936250708,-27.28973290790078,-45.92309732532678
18.0,-19.8607271965636,-37.416433791452,-18.689142496135933,-28.812103988099057
19.0,-20.981813386624353,-39.548195207147515,-17.74805413355671,-28.89267542550879
20.0,-20.654345819494914,-38.57123288320118,-17.355684290216946,-27.642510771876303
21.0,-24.74918927014769,-46.061022841437804,-19.29398296425316,-31.45169409065499
22.0,-23.588597313866973,-44.394584970897895,-19.182333646689816,-31.298226123339866
23.0,-21.372072940408245,-39.89053828862653,-17.849321320967523,-29.454435909281184
24.0,-21.723728481629983,-40.57119932369094,-16.428893463095463,-28.623515251673695
25.0,-32.8168595636554,-59.95955003891653,-24.772483900640324,-41.91327728821487
26.0,-25.132015587049338,-47.20093115777585,-20.104868034238855,-32.48288987564864
27.0,-23.784022761568686,-44.67518528427705,-17.829344376297968,-31.4180215230951
28.0,-22.448605581064676,-42.59906954684513,-19.485664291054057,-31.520562010278695
29.0,-14.041957449287514,-26.74114276938304,-17.014818816128912,-26.237636443956987
30.0,-24.394600445073486,-46.73952301262096,-19.252499395229087,-30.99907681410229
31.0,-21.154724426061016,-39.71056511659382,-18.427563095179636,-30.23893425365681
32.0,-27.378026015909608,-51.02543231019642,-21.777292199127412,-33.88614754025664
33.0,-15.65515876698979,-28.99565523599197,-14.701323222460417,-23.083175830552968
34.0,-23.65562350968736,-44.78145352222808,-19.03247865974542,-31.407300774404277
35.0,-20.484693423006313,-38.631197156555714,-17.383704488040898,-28.520469201778415
36.0,-27.476585619848933,-51.42148490038902,-20.840011485143915,-34.10484586487108
37.0,-19.69002202247087,-36.95089902161016,-15.491158903217666,-26.235431520783884
38.0,-17.927051118511255,-33.30457742855856,-15.717249435868432,-25.158928841754495
39.0,-30.39783034512374,-57.067884177943256,-22.484594432765995,-36.755251397281924
40.0,-21.35863824064583,-40.23901606588774,-18.84011519159928,-28.958573538223284
41.0,-31.238243126446292,-57.43302725055454,-23.793185313918862,-39.869242284686344
42.0,-28.19758271198289,-52.30650175120837,-23.375269657701594,-35.60654784552349
43.0,-17.08361789009224,-32.66766186193493,-16.918337407474827,-26.850611249846814
44.0,-34.98937643678161,-64.2130437037213,-26.406182651490916,-43.62704197439823
45.0,-27.572975621589265,-51.670348501821444,-19.658426372548234,-34.945011291478856
46.0,-23.775695956302037,-44.330336676490425,-17.720170278873756,-31.051136845658334
