n,TW_Grass,TW_Forest,HG_Grass,HG_Forest
1.0,-20.2829436712768,-36.99469809158793,-19.12409541442449,-36.63441838203162
2.0,-16.14966583245989,-29.612216732099835,-15.571498329758107,-29.69622058931754
3.0,-21.800555048570263,-39.833292935958426,-20.765450301990473,-39.92372788462464
4.0,-18.390972846278068,-33.903311672673084,-18.33596374021489,-35.51508221791888
5.0,-19.503575315161953,-35.87448051561619,-19.14726900051727,-37.002194016096794
6.0,-17.331839900654565,-31.6785905353868,-16.53088296995213,-31.469655120276713
7.0,-21.427449557880358,-39.42431617235497,-20.947094346762334,-40.466447359274206
8.0,-24.166013242363753,-44.42156951738416,-23.565391496005,-45.44431876587305
9.0,-21.51120862486021,-39.573084526973666,-21.10815642204194,-40.77719840899371
10.0,-20.40944835434803,-37.37879327957026,-19.7503910815211,-37.941968630220025
11.0,-19.940557119996537,-36.41324787485601,-19.381216333247732,-37.29296445512906
12.0,-24.43293213030096,-45.045933955026655,-23.567679633682307,-45.58803985352252
13.0,-16.06362528097454,-29.37379061900566,-15.52913082258322,-29.611627957397573
14.0,-20.096278901809104,-36.838744131989735,-19.70539968068238,-38.01108976326087
15.0,-17.56400292813709,-32.13008156369558,-17.655363622868478,-34.033034422573756
16.0,-16.292765386227025,-29.80488899320735,-16.148469130183756,-31.059114378325763
17.0,-26.3520404115054,-48.83338423667332,-25.56094177667739,-49.707672100323364
18.0,-17.3368239027904,-31.716054836136472,-16.440099861313975,-31.31584835824475
19.0,-16.307006196554276,-29.765912742994473,-15.817448317944175,-30.256632482286236
20.0,-16.880949007609427,-30.8287991634465,-16.417302196457744,-31.420964669421544
21.0,-19.493602255257564,-35.6792479823886,-19.24828753500737,-37.09578611496552
22.0,-18.235708044161154,-33.21671887010814,-17.66889717492824,-33.938762888655546
23.0,-15.191721861345322,-27.821037468597254,-15.206092680837912,-29.299141496047234
24.0,-14.222755430108933,-26.01145635454573,-14.412441747301315,-27.719859782337224
25.0,-24.221558723689416,-44.79076358886418,-23.68661923626155,-45.91349387511039
26.0,-19.509249171304095,-35.59414061430559,-18.788451984496813,-36.14171313719104
27.0,-15.316596299991307,-28.130414792081375,-15.74990543845777,-30.55155683296605
28.0,-18.93624969817832,-34.84020840994737,-18.478009139289263,-35.3235652712788
29.0,-14.065925478790586,-25.873237574442264,-13.573902705437048,-26.122969338384234
30.0,-19.52102311016025,-35.813573242535035,-19.360468239155352,-37.39841210674639
31.0,-17.518413622835165,-32.07192313798022,-16.718795861780627,-31.831872955526194
32.0,-22.358372394041155,-41.14435910077059,-21.683523914585976,-41.82978798740571
33.0,-13.479193056237717,-24.69718019750504,-13.372929382364669,-25.608811231128076
34.0,-18.130601078158904,-33.154745209188505,-18.014271986126875,-34.710713638149
35.0,-15.780968987675752,-28.83536164321725,-15.41371539642456,-29.455319301222595
36.0,-21.57641163786979,-39.375214325956854,-20.77133273638615,-39.93115344681715
37.0,-12.864045745285896,-23.521749142785392,-13.119127930928254,-25.183104452449015
38.0,-14.47386728157916,-26.49369033056267,-14.258352235050225,-27.23703105125909
39.0,-23.919468571140605,-43.96380685501421,-23.198351820330863,-44.74695481561002
40.0,-18.351612361995,-33.65717025084435,-18.07583861563507,-34.740859744585606
41.0,-21.89374637902695,-40.40973336486674,-21.07104287261679,-40.89496637617643
42.0,-23.935122138398363,-44.05782924695323,-22.894653748304812,-44.133580035143346
43.0,-15.201798361870145,-28.002614379430245,-14.997508106629684,-28.697782556450726
44.0,-26.256112305459094,-48.53769300120088,-25.397319203544836,-49.18693462761482
45.0,-17.930397056769316,-32.74670572348879,-17.923918274534746,-34.40506269737274
46.0,-15.783394667600547,-28.863790287348117,-15.853946953427311,-30.599458736356482
47.0,-22.86842437245066,-42.17285272391909,-22.296808334289747,-43.17114984678661
48.0,-20.391234748556847,-37.831317627670565,-20.22731348677169,-39.436796467888534
49.0,-16.094103774083504,-29.525473341507784,-15.644128273546377,-29.85855028897346
50.0,-19.774033472182083,-36.73990146030517,-20.207576668790374,-39.28884945656273
51.0,-18.411905784163547,-33.58846985632372,-17.870229075149307,-34.370792325919794
52.0,-24.74140534165547,-45.63320372524953,-23.957991631385305,-46.33150039929403
53.0,-15.40411026410876,-28.17495523895572,-15.648998976845505,-30.22474830852719
54.0,-17.975892337523845,-33.1636730801454,-18.098831914569896,-35.061789459033484
55.0,-18.32002515056246,-34.03517061345003,-18.608295001963697,-36.30603114560452
