n,TW_Grass,TW_Forest,HG_Grass,HG_Forest
1.0,-36.681825878626775,-72.32771261152672,-36.19118919632864,-65.3790449853773
2.0,-30.037864857136533,-59.536957692096294,-28.447417573891173,-53.03316926818768
3.0,-38.89570883738568,-76.72878828430675,-37.59597409895565,-68.05985664373719
4.0,-36.71741033914971,-71.89802215394599,-32.99176505457201,-61.05983722292054
5.0,-39.86651214918498,-77.66440994117859,-33.57591205556949,-64.5157909496871
6.0,-31.85188954764626,-63.121912889515,-30.37532199301706,-56.3562445325326
7.0,-40.45285431328961,-79.03664517279732,-35.49237533841435,-65.8674125560846
8.0,-42.31734551026849,-83.0720589418788,-37.376879928821594,-70.45056549566237
9.0,-41.669148246605545,-81.60588058256468,-35.43274348536845,-66.62201664253462
10.0,-36.52650869787548,-72.21238961009848,-35.95612956661787,-65.15998891463542
11.0,-36.37947231909099,-71.05511439001127,-32.69414677431527,-60.161010856180305
12.0,-47.714392654925966,-93.81657961636839,-40.30460645589267,-74.70581380000418
13.0,-30.38484288410413,-60.002702221001684,-29.378661307017005,-53.63454983175427
14.0,-36.92183306219718,-71.99408715480612,-33.69691687838647,-61.43170632604441
15.0,-34.25439987035413,-66.98656928842993,-29.682190373845355,-57.311441212807175
16.0,-32.19403482650138,-62.340570792267044,-29.22898044488183,-54.00000859578061
17.0,-51.930806345947474,-101.72286848351588,-42.426347762036194,-79.59221696024804
18.0,-32.031961169636205,-63.53799158637683,-31.917677701116446,-57.89799318772774
19.0,-30.943596001543504,-60.50942393881979,-28.658263930926715,-53.1294476145302
20.0,-31.409851490769995,-61.88031514473889,-29.301053174198472,-54.21318403272311
21.0,-35.624612844033166,-69.77219744833467,-32.08787467107158,-60.168936642676044
22.0,-34.384544598413925,-66.78920270083155,-30.785261542320605,-56.77091008151446
23.0,-31.918293103202856,-62.00784404350452,-29.170843375482203,-54.92945516808953
24.0,-30.187536386325945,-58.752420863173725,-26.59736154540728,-52.06002526180447
25.0,-47.68940630638234,-93.86300369585851,-39.900291599272215,-75.34125849436322
26.0,-36.770347501980815,-71.30577559277408,-32.651532289093446,-59.52326133861719
27.0,-32.15187656577079,-62.14309956376708,-28.004736241361236,-54.64425460489741
28.0,-33.71710149798911,-66.76919574888602,-32.29948901934142,-59.3115539913227
29.0,-23.33581996101503,-47.92070797515699,-27.02963332266472,-46.315563312763054
30.0,-35.208497920573095,-70.23448204411696,-32.8285424454988,-61.74409622340521
31.0,-30.920175807847972,-60.87467594502446,-29.30464046038336,-53.448325282011794
32.0,-39.9040039544365,-78.03237647000711,-36.941426630831636,-66.7607001221768
33.0,-26.144439035429336,-52.43562254859877,-25.385997752333793,-47.0128553891966
34.0,-34.070114864071414,-66.6556588831796,-30.584707510328954,-57.27724679438502
35.0,-30.05190175425344,-58.775830123670175,-27.786022279261232,-51.6739658182204
36.0,-38.4278710070652,-75.41126686638016,-34.83393107500985,-65.29879904929145
37.0,-28.05098765823231,-54.705177184938755,-25.62184144709459,-49.5437669071342
38.0,-27.68872046150215,-54.59260964212485,-26.18297301865625,-48.72108840129361
39.0,-41.592950458621615,-81.81786951244582,-37.38407916290709,-69.97488298732442
40.0,-33.58917354922782,-67.28524363241314,-32.93971679483155,-59.98195527539587
41.0,-44.50732960504735,-86.87958998203429,-37.631840963416714,-70.83865914697199
42.0,-41.64625184522447,-81.81190664511837,-40.17769408626027,-72.22556749198144
43.0,-28.165392278083996,-56.5839128746767,-28.252490525253457,-51.72277158006785
44.0,-51.11683545848827,-100.77507951102376,-42.71924935042218,-79.48221847906737
45.0,-33.44903379816327,-65.27451757979455,-28.233832866571603,-54.42081427000228
46.0,-32.64107154637256,-63.42497927888533,-28.379926316799526,-55.29755569481598
47.0,-45.6310068114494,-89.40022441794831,-37.75084960217319,-72.33663052467739
48.0,-41.76932228313392,-81.34207466241516,-36.356138966566135,-68.50811389886425
49.0,-29.291141871668717,-57.9221948546636,-26.899479866528292,-50.8319588888417
50.0,-41.94459437774937,-80.953614831702,-33.641496610237525,-64.92623656648496
51.0,-33.561498297323396,-66.0687574339306,-31.157606860215992,-57.55089554438632
52.0,-48.027231151758954,-94.49160321527998,-40.56101707167554,-74.852258918963
53.0,-32.366952641766574,-62.89764007290912,-28.260191114106092,-55.31824418192381
54.0,-38.43796190276265,-73.49391168986014,-31.663466267707953,-60.8590598830143
55.0,-37.56242975657801,-73.49607867820824,-32.89702211284887,-63.08518938136245
56.0,-30.210971355375804,-59.22921568920124,-26.555611272330818,-51.05631790737253
57.0,-28.076135417362234,-55.44796078668573,-26.73125284158374,-49.61932454806677
58.0,-30.81237493668263,-61.95184244474469,-29.962031980883467,-55.171935761570076
59.0,-31.79242701786005,-62.673870322986886,-28.589959950013096,-54.05111779062683
60.0,-37.16420476540739,-72.63746124895951,-31.985796909169785,-60.989308263972625
61.0,-37.758836607046035,-72.31831687841613,-31.1698473862961,-60.37033247189303
62.0,-44.871157386684004,-87.95224059684648,-39.02910178968284,-72.73159053235159
63.0,-35.26593478509609,-67.30937578163207,-29.927701985547927,-57.769163527202096
64.0,-29.086135381231184,-59.31380886937404,-32.723395871393286,-56.32152176741673
65.0,-34.764435779300804,-67.58262104148426,-29.476210255229937,-57.073088520583326
66.0,-35.289295556353146,-68.36081452355336,-30.323082337313224,-59.10937893188985
67.0,-48.46571815522282,-93.8411958402445,-38.12594869190495,-73.70012600154294
68.0,-22.10782625324959,-45.30808421080841,-25.47192769303637,-43.70600502326044
69.0,-26.72370968993495,-53.35065225045791,-25.5755689678639,-47.876442716709896
70.0,-31.447966459664727,-62.293067245724814,-30.51906331022687,-56.60270163273486
71.0,-33.29159954974718,-65.87394267593635,-30.72398016511069,-57.99253861792549
72.0,-41.57846087379161,-81.84177150087922,-39.61577126924878,-71.55697330843398
73.0,-25.495130702942376,-53.03823427912982,-30.09400658964371,-51.58711626532052
74.0,-28.85479397880166,-57.43291029986837,-28.8324738116981,-50.757759718105646
75.0,-36.916761293765376,-71.34055080893152,-31.475928458451612,-60.68205455834455
76.0,-31.966003961071117,-62.31862724695708,-28.733669094285716,-55.67253869175772
77.0,-30.04114765745277,-58.654471646366034,-27.785862709833385,-53.39968972773434
78.0,-31.96083847973372,-63.74663532544489,-32.26442586531476,-58.48315770111584
79.0,-49.865937838834704,-96.79208515118444,-39.16933764162144,-75.27280720157921
80.0,-30.825885383896676,-60.10589877088374,-28.10248493047198,-52.451121595552706
81.0,-29.896432647055427,-58.895749927527014,-26.64526217908704,-50.818403442919035
82.0,-45.69199157528787,-88.58192103511217,-38.05561251150891,-71.89263060473438
83.0,-40.641367664405024,-79.2057598899872,-33.756245463263724,-65.17407482710014
84.0,-32.96689572338877,-64.04067665807719,-28.655939119984232,-55.85822869677983
85.0,-30.482860136700182,-60.607808722716655,-27.719312839916327,-52.84966369079765
86.0,-51.083741843414856,-100.39163312297387,-41.63533597601837,-78.43601146673394
87.0,-39.76412905708889,-78.53437311421943,-39.623056309791075,-70.63998360515157
88.0,-42.85683745017395,-83.73749124123653,-36.16259245108134,-69.15909352175687
89.0,-28.828741115206405,-57.66213383470074,-27.235411196629208,-51.17815937345657
90.0,-32.21612014551843,-64.07664709997361,-33.91092693898766,-59.01330138029309
91.0,-45.131991248536515,-88.75952095821478,-38.27714287376805,-71.62330763208145
92.0,-34.53298675814628,-68.57803402751838,-31.36563058756073,-59.02390436845526
93.0,-42.383005084019736,-82.84301842175654,-35.81564093771782,-68.40528669943645
94.0,-38.715817492793136,-75.88729422073965,-34.47067802597398,-65.1517906381015
95.0,-28.070233555203274,-55.23173221025438,-25.924020309040483,-48.793487683905525
96.0,-25.976565820024945,-53.04449682006206,-28.945065509206696,-49.61595902156202
97.0,-30.01884502364924,-60.06249693808142,-29.003225187190882,-54.21396564451459
98.0,-35.44521109640111,-70.52129834041659,-32.81230639515671,-62.13576377561792
99.0,-30.957492627432757,-61.65730749698107,-29.170791150135994,-54.620364487261384
100.0,-47.68305585229837,-92.49874500333155,-38.49530863070865,-73.44252888158388
101.0,-33.439896452504314,-65.10247772211409,-29.213183860921134,-57.205396354632484
102.0,-27.04292632291415,-53.624891086965064,-26.668021511410853,-48.902807003265885
103.0,-39.259643966067934,-76.52281388060578,-33.37652168696382,-63.94848277082247
104.0,-30.979296570558734,-59.42055969861255,-26.76469685056532,-52.15249491624036
105.0,-45.363658619500804,-88.45967634421852,-37.16004068146526,-71.61897563551928
106.0,-36.72833115033712,-71.16383770040716,-32.6095853135143,-59.53473615868782
107.0,-35.5639373176375,-69.77664427739595,-31.0659492562893,-59.13813685796237
108.0,-49.310576950343325,-96.27879524015518,-39.98893607850244,-76.54953702473385
109.0,-45.84696176841439,-88.58331141387504,-36.537315480776726,-70.81953081484545
110.0,-32.46985648501433,-63.41033306769006,-29.135140443710007,-55.10878596829113
111.0,-28.673777167918182,-56.625224632332746,-26.945668722123493,-50.23905561031839
112.0,-39.89485209679546,-78.26364162022577,-35.10955246311955,-66.31940605115403
113.0,-33.081253433058905,-66.01220457571182,-32.55859377516143,-59.12775281963288
