n,TW_Grass,TW_Forest,HG_Grass,HG_Forest
1.0,-46.93786479751392,-82.83010239391064,-39.284809594256274,-65.13964406140101
2.0,-39.94809840332043,-69.9180636079484,-31.826261602417027,-52.68803931543913
3.0,-48.92226006336931,-86.27942473266376,-40.5194739263123,-67.1319360984779
4.0,-50.36916556156276,-89.76067791058881,-37.81098930416745,-63.633081130417
5.0,-55.106651881796246,-97.97016731576582,-38.646607572547424,-66.19227113392066
6.0,-42.1451373069009,-74.03074273223636,-33.74255520497583,-55.72471342549083
7.0,-55.62797737022363,-98.98656402356119,-41.30746650074015,-70.5056279837341
8.0,-57.26123830129094,-102.1599874076031,-42.53641575849373,-72.71962945539399
9.0,-56.7201362757284,-100.87781081471653,-40.78774537734989,-69.30032354213698
10.0,-47.44934281300856,-83.8878690843498,-39.071429196231826,-64.46692390928368
11.0,-51.975849390420635,-92.29696950273541,-39.09064215123976,-66.10144721683538
12.0,-62.52124488467823,-113.04618346633801,-45.11274206725742,-76.27406577838372
13.0,-42.77509062352671,-75.22518208936508,-35.16417387257909,-59.42840070224262
14.0,-52.18257999090053,-92.83719773920917,-40.24897809627797,-67.87060815887885
15.0,-48.82860376113054,-85.68582316113788,-35.18689332930045,-60.267952940000626
16.0,-45.972220902980844,-81.2132685724948,-35.043647814519076,-59.095238767161604
17.0,-67.94119741560999,-124.29011128747663,-47.17854553161023,-80.98797099692405
18.0,-40.9399965689748,-70.96039608543799,-35.26523767065943,-58.368184916603205
19.0,-45.120859119078666,-79.64605109845485,-35.13345206268335,-59.21469034580437
20.0,-45.25163156280372,-79.79070590053334,-35.41944813969233,-59.91818345166271
21.0,-50.92010146171209,-90.2803508904981,-38.45624296897353,-65.79285000900846
22.0,-49.49644089292704,-87.71596854547681,-37.39234107890248,-63.0625743131544
23.0,-45.01050012871061,-79.41035869106828,-33.6646001282552,-56.274726072241165
24.0,-43.7140387848757,-76.6171294289497,-31.55677164810571,-54.63143230412757
25.0,-62.69601613522979,-112.70236756257324,-44.60773908009662,-76.11820888569105
26.0,-52.13492311951628,-92.6103959141654,-39.345005394534,-66.28277984600933
27.0,-47.177033462784,-83.75219287337794,-33.89119834415331,-59.099625387060584
28.0,-43.85410521626356,-77.20240250503417,-35.99911712583977,-59.693910181744684
29.0,-33.11452201388048,-60.29675649318486,-33.57856679444329,-56.82731856871415
30.0,-48.1495668780814,-86.15286185600004,-37.89815008941568,-65.10629834057464
31.0,-41.245481429665666,-72.25260245845502,-34.22597482446603,-57.033369101019915
32.0,-55.467436327487405,-99.02200227254522,-43.30095715837203,-73.0644494129024
33.0,-36.47319716439709,-65.12418103287983,-30.531849194873853,-51.67375806993371
34.0,-49.1344602310864,-87.01692782562762,-36.52652448211725,-61.6063541463802
35.0,-44.13573785370237,-77.87584711220128,-34.06091209849275,-57.40157694942735
36.0,-50.35927526918803,-88.97297407071551,-37.811910559693594,-62.94023270333456
37.0,-41.24561055133651,-72.63060774530717,-30.25706918168064,-51.43407189689978
38.0,-40.47602518575586,-71.30822297153563,-32.11583450240616,-54.294367150009705
39.0,-55.105943272140706,-98.6515339109559,-41.076367464124104,-68.90602998833114
40.0,-45.53116063962648,-80.8872394000415,-38.07693612188427,-64.47281271878967
41.0,-60.43233472028509,-109.6380161943427,-42.443237646318735,-72.40819442033754
42.0,-55.46536174381468,-98.51701118665513,-45.662848783955575,-77.37362472230228
43.0,-36.13170499903078,-63.06978739534293,-32.43505259232053,-53.917155996888965
44.0,-66.99509369634913,-122.51308274741443,-47.44019598179999,-80.5299547551667
45.0,-49.37543417149628,-87.60544931797386,-35.235250341289635,-61.62368572521897
46.0,-46.49188932841089,-81.34903173384545,-33.29183394758529,-57.07551576224988
47.0,-61.25955852944499,-110.28994668961678,-42.56141898760032,-73.2160606393761
48.0,-57.5506620280311,-104.33102430948742,-40.87332374944106,-69.48047677993489
49.0,-40.50512184773653,-71.6062354743781,-30.51901473522448,-50.70656446077342
50.0,-59.32271644787596,-107.58562902280605,-40.66193509533222,-71.31097227998306
51.0,-48.236473778890904,-85.41966504772927,-37.35208910800107,-63.38975894108185
52.0,-63.24769843159896,-114.65003425466867,-45.31226638253838,-76.32702041855586
53.0,-46.20225216525386,-81.10117967760854,-33.310256407323024,-57.430891172833064
54.0,-56.09800189352135,-101.31933230767844,-38.464916462492546,-66.83875390536336
55.0,-53.146571920676166,-95.84140457037897,-37.87131720639846,-64.76581652244197
56.0,-44.56934491389802,-78.171292633436,-32.53770171650161,-56.20120938145641
57.0,-40.682502112628924,-71.6923326658888,-32.74444386188967,-55.31914741905965
58.0,-42.557359737022544,-76.0520027109431,-34.956322628882006,-59.05905261902177
59.0,-46.1968148680362,-81.96887198655095,-34.864856383253226,-60.16906359221614
60.0,-52.31048526501232,-92.69276575027509,-37.36983650210488,-63.64683081937658
61.0,-55.23728820977511,-99.66485212986,-37.99053990786003,-66.92033662901004
62.0,-61.22600842784518,-109.9454383714294,-44.68527939571591,-76.15875407613126
63.0,-52.2330535525719,-93.8112200618544,-36.1887206482537,-63.006886402594375
64.0,-38.954988770482544,-70.41972589713333,-39.5577420775966,-67.5889324349387
65.0,-49.96982607307056,-87.97202391496363,-35.43754015766407,-60.903749590321695
66.0,-50.586330652721024,-89.57583509908727,-35.806087069804306,-61.697085311037206
67.0,-66.37526173408273,-120.71992211657036,-44.99123066250939,-79.32335934201703
68.0,-32.22881889355934,-58.22762646350667,-32.17772030996443,-53.710834597831564
69.0,-37.41039959159895,-66.47046708254531,-30.624244453796226,-51.86278192312872
70.0,-40.62789051739141,-70.61984454665127,-33.843100066523945,-56.09651749660952
71.0,-44.41089231304001,-78.20757753068492,-33.79605348387657,-56.49547023486825
72.0,-53.430738605217364,-95.1149562793963,-42.853931178589605,-70.63631991745208
73.0,-33.453291355239166,-62.16994760219903,-35.789565587831355,-60.73500358141513
74.0,-39.62532093545551,-70.61521282601728,-35.455035065658905,-59.26137579669791
75.0,-52.4870789829604,-93.57868673360696,-36.904945368389775,-63.64155442707337
76.0,-45.719954556979985,-80.55112678465787,-33.12142950781496,-56.14940289256231
77.0,-42.810392637994426,-75.51127527763842,-31.455298913770118,-52.40970485293114
78.0,-41.07201602678319,-71.81419749485991,-35.35984458186665,-58.38515859029525
79.0,-67.41651354129138,-123.23125561675928,-45.58675026790444,-80.0409864718943
80.0,-45.459030913930285,-80.06155081976276,-34.38251122344306,-57.91843908767686
81.0,-43.53532047822673,-76.9596807857783,-32.69944500200596,-56.666779995250366
82.0,-62.38528585252176,-113.57533506758924,-43.35904996865712,-74.64451331634677
83.0,-56.31735728122774,-99.51908160499949,-39.41469068821161,-67.50181311793332
84.0,-47.10096280412343,-82.7203112498357,-33.86118863562838,-58.149471327675215
85.0,-43.1747534943952,-76.37373040847393,-33.20234402606586,-57.14935544413497
86.0,-67.88837911604497,-124.50076361360374,-46.72214832715579,-80.21450860728933
87.0,-48.664506898112535,-84.80068551746065,-42.656262364475964,-70.72496883072735
88.0,-58.658832841007595,-105.48184613074139,-41.08166170624679,-70.42031426391385
89.0,-39.572583322902425,-70.14818034155329,-32.00601348377066,-54.340556285374674
90.0,-42.15115495707533,-73.62217608507174,-39.280437116351195,-65.27179875310131
91.0,-60.16587997871641,-107.61360869137332,-43.516915765652236,-74.03356705382868
92.0,-48.014244962537546,-85.03869341325999,-36.71707513757757,-63.11462602588301
93.0,-58.759328273991706,-106.47330716686807,-40.833998263091146,-69.95682403518659
94.0,-52.02247186422251,-92.1553229811551,-38.202473519044275,-64.76550157481341
95.0,-41.78390744241705,-73.53465653447167,-31.876548641121175,-53.957869446139036
96.0,-36.93717843368816,-66.55279558165464,-35.84831250703051,-59.83695434603437
97.0,-39.347123740299395,-69.07433008965889,-32.27652526704226,-53.831064424685735
98.0,-48.50434415880807,-86.84373001987368,-36.8001638100277,-62.54001015564057
99.0,-43.33569175134346,-76.60694636337603,-34.60920435472531,-59.14989253329445
100.0,-65.18766924400765,-119.02224810483428,-44.440890283974376,-77.11138838422617
101.0,-47.559609015130754,-83.82372809951605,-34.327102546049844,-58.90992098403065
102.0,-35.03627751068542,-60.55280724355832,-30.267325267748927,-49.890956641117626
103.0,-53.753537251252,-95.01271961303149,-37.92694638829616,-64.46531992883013
104.0,-46.79674782667802,-83.52586787503074,-33.20196414450524,-58.477608544887815
105.0,-60.93277665368728,-109.06757246031302,-42.25486734558013,-72.58981445588549
106.0,-51.78985415441781,-91.89539617536568,-39.00377589799747,-65.76254643302748
107.0,-50.8777742841722,-90.30667863473937,-36.93371782852549,-63.21213211819382
108.0,-65.48201928283723,-118.79518205544976,-45.28007735371769,-78.24210432465847
109.0,-62.81576921405669,-113.42523276448631,-43.07641937309915,-75.88001385362845
110.0,-46.71004804256687,-82.42828022234718,-34.67562640107171,-58.62951168052888
111.0,-41.904988998870586,-74.1300225027988,-32.59574862858725,-55.003791900772896
112.0,-54.48319749101231,-97.95190371540127,-38.83965130026828,-65.07223508258764
113.0,-44.76681796730985,-79.65378187165786,-37.25905930373925,-62.476965563654346
114.0,-49.05446446665198,-88.38810105415385,-34.92323193242722,-60.44699283701483
115.0,-43.395338088112545,-76.5878475472641,-33.542814101226284,-57.454343061050636
116.0,-54.66659097667552,-97.10230775655486,-37.86244804858223,-66.3202492931973
117.0,-46.26132094929609,-82.62917368673456,-33.78613360488359,-57.342096981220955
118.0,-42.70814676372202,-75.42294189400964,-31.57717464622732,-52.606104450576396
119.0,-40.31977366036178,-71.14973619063556,-29.921780807221815,-52.5492609413017
120.0,-38.0609354324526,-66.33299044215462,-30.35430837633588,-51.51918225224992
121.0,-44.63128359032606,-77.58861107093875,-37.258264906139864,-61.87082327509454
122.0,-47.572359267545856,-84.05481345570455,-34.95743000075776,-61.280482255899884
123.0,-48.9225110192857,-86.2067456798587,-35.28322771564821,-60.69939346079288
124.0,-61.61021229378147,-111.43636923564739,-44.69456407582093,-75.53797469137513
125.0,-50.23519931304711,-87.78160497072255,-43.486273390734226,-72.19301942301155
126.0,-50.7126799733907,-90.48333641121744,-39.767622270709566,-68.56418537536733
