n,TW_Grass,TW_Forest,HG_Grass,HG_Forest
1.0,-147.06958976799456,-266.5908077487952,-116.97760236103038,-211.44061699087013
2.0,-145.10204555346075,-263.39924336995693,-113.0464054472018,-204.56802704002016
3.0,-144.99183576042083,-263.6719013249075,-112.08193347738444,-204.47059032250257
4.0,-146.88855347442677,-265.9423946938337,-116.83998763567506,-210.8871466187952
5.0,-146.7199204196944,-265.67608546715803,-116.37274964956069,-210.14753948944065
6.0,-145.90878739212215,-264.1703855914077,-114.91119314297153,-207.31607045537208
7.0,-144.3942705226481,-262.102468766359,-111.51511460841617,-201.83903965574828
8.0,-146.17068395479725,-265.10845527954814,-114.53282249736085,-207.06099567356102
9.0,-146.20642658960622,-265.6757985218082,-114.26406749489765,-207.21659254508864
10.0,-147.0446080006875,-266.15692211687804,-117.81598603633671,-212.4452703107965
11.0,-145.5328812163292,-263.6360484968855,-114.298732590478,-206.41179663980157
12.0,-147.18415259323308,-266.4149302140399,-117.8801279173801,-212.8222018172161
13.0,-148.03746785890738,-269.08753230502987,-117.96240591816257,-214.92918822366596
14.0,-145.1599843476354,-263.54771630846614,-113.60718518266268,-205.7959380241685
15.0,-144.8714515090225,-262.72703291247495,-113.3958318455384,-205.0809412412311
16.0,-148.00496724733387,-268.98873742684026,-117.61662027145206,-213.86478707944667
17.0,-146.23677772288235,-265.7959430136276,-115.17856739133042,-208.9016982241211
18.0,-145.6438993669255,-264.28779454790015,-114.46595124982524,-207.16480271240283
19.0,-144.98764732866314,-262.94390077807964,-112.56513720737729,-203.51105071446352
20.0,-146.13477113255632,-265.5887643622188,-115.030739730108,-208.6561628556977
21.0,-148.0180821292338,-268.7790979438291,-118.29576058517166,-214.50366953633733
22.0,-145.2734330172466,-263.3648463422787,-113.61685674926565,-205.1072051423751
23.0,-146.89547259828936,-266.8189575929258,-116.20622182898936,-210.59006407046905
24.0,-146.9119712913593,-266.3922523329827,-115.83328073216916,-209.40752951876442
25.0,-144.57433379674202,-261.6794070154388,-112.95623913143227,-202.92773008101253
26.0,-145.16032495314136,-262.8820696741676,-113.28876787752777,-204.48960451312897
27.0,-146.6482790720321,-266.7140236675725,-115.94409497330022,-210.51330542137794
28.0,-145.03571379552056,-262.90583142255844,-113.05851392271717,-204.27739684917884
29.0,-143.98529211407387,-261.3078068097513,-111.1392676275544,-201.00293887038737
30.0,-144.10442385529132,-261.43211585288645,-111.41301489142867,-201.52523221840914
31.0,-145.90879013350673,-263.9802733389073,-115.64286154883365,-207.93988459308935
32.0,-145.15137752631458,-262.66004462409467,-113.70216211230866,-204.29490730024776
33.0,-144.62812913742414,-262.2599154867077,-111.86781983665165,-205.1534875269254
34.0,-146.37553580179582,-265.03641663422,-115.72974117559994,-208.8373778489495
35.0,-145.1076917154,-263.31241439426424,-113.07814014443701,-204.6051344918135
36.0,-145.74386640884802,-265.4135294790852,-113.2177975431058,-206.5116686914585
37.0,-146.89081144582246,-266.7500931575308,-115.62285522020454,-209.38380646203393
38.0,-144.24379861335623,-261.2414109682767,-113.21521238640986,-203.81304771164145
39.0,-144.91530562398762,-263.14851034705674,-112.78021376768629,-204.2292710680702
40.0,-147.09693540958554,-266.4446676288865,-116.87552853086007,-211.0661428075622
41.0,-146.06641268554017,-264.95947186301913,-115.5314346973586,-209.03889779413151
42.0,-145.71035610948908,-263.66116787539056,-114.9331345801031,-206.6995487174467
43.0,-146.60999943687776,-266.7900388462444,-114.90070073786609,-209.367883197496
44.0,-144.80322182059442,-262.76928511237213,-113.81599224828372,-205.6416612901786
45.0,-147.07453633719322,-266.43125962079154,-117.01246845595324,-211.3677234805926
46.0,-146.9602002584057,-267.19340270307407,-115.63153350778934,-210.91101706105718
47.0,-145.5866221629618,-264.1081060104808,-113.35826594240675,-204.97601540717216
48.0,-144.5465860120545,-262.03879411191616,-113.0494030983164,-203.64503105108471
49.0,-146.24774933270146,-265.0556871948321,-115.29300443194523,-208.2538442707674
50.0,-146.94788257291665,-267.2621707144557,-115.58159405515948,-210.3956741344814
51.0,-145.71137904704213,-264.4576587994167,-113.8049093255691,-205.96453601731042
52.0,-144.55899657290547,-262.37723191212973,-111.6946774766676,-202.18862196636536
53.0,-145.23599614605268,-263.5350114788838,-112.96252485950411,-204.34933752256723
54.0,-145.07867480015295,-262.9861556073713,-112.78617343069675,-203.83238477637127
55.0,-144.68150042132615,-262.19959930864974,-113.54934918248264,-204.33525064675558
56.0,-145.39585928678997,-264.29907170145384,-112.81766370456721,-204.5715324292982
57.0,-145.95199619487343,-264.3161634123064,-114.76135760431109,-207.16372969423742
58.0,-146.51353524854977,-265.44514519603774,-115.7691442404142,-209.0901383434421
59.0,-146.85242148133113,-265.7500801632777,-117.27586319997273,-211.1396450002179
60.0,-146.91861307685346,-265.96571300305607,-117.06840646374552,-211.4075781957725
61.0,-146.76914527014142,-265.49720832642083,-117.82155496670055,-212.08021433286967
62.0,-145.7444505248059,-264.61578396497356,-112.95818540510527,-206.82799779376865
63.0,-145.7962715709731,-264.5087254512453,-114.41791772757414,-206.97435894113062
64.0,-147.01819518083767,-267.3765697219658,-115.48112128000572,-210.08189779135228
65.0,-146.48504551900677,-265.183184610598,-115.8549721080137,-209.1001067801036
66.0,-145.83604762976807,-263.97693705663437,-115.36596972621028,-207.6153999410172
67.0,-145.12369711861638,-263.04078731757363,-114.34866467342707,-206.0603419650683
68.0,-146.93312539422462,-266.14332970844106,-117.01978792103898,-211.33612348126434
69.0,-144.84034224930312,-262.6687172098014,-112.68708993257644,-203.67651429939912
70.0,-148.0833879280052,-268.779582948775,-118.36724650476285,-214.3334802016696
71.0,-144.73682090616245,-262.50151567656167,-113.7010577671144,-205.1904427372298
72.0,-146.11975727990216,-265.155079399967,-114.03344753772492,-207.20052272573793
73.0,-145.17002610710102,-263.27079046790067,-113.97305991443285,-205.79016645050768
74.0,-146.97518852749667,-266.9566142126216,-115.86961543151716,-212.78784718591282
75.0,-146.73778520076658,-265.4438423541818,-117.61914078874557,-211.8610629846419
76.0,-144.49508830433905,-261.5299950115235,-112.67043937358784,-202.64017229971205
77.0,-144.79085107879934,-262.50613848888526,-113.55160535825968,-204.67483809400636
78.0,-146.13194538989106,-264.41115950949415,-115.41730610172013,-208.2128880442775
79.0,-146.57260869643585,-266.0075276626156,-115.69191596004876,-209.63471239811977
80.0,-144.28700884038471,-261.5711521817004,-112.22290058699272,-202.08740242847585
81.0,-145.16543845618577,-262.9082415407023,-113.23056717888642,-204.39939103884333
82.0,-148.22500688890452,-268.75657004158836,-119.16196972304044,-215.46823568845073
83.0,-145.52936143894595,-263.5408885360235,-115.0930817285751,-207.15863564757234
84.0,-145.68492537989587,-263.7524043576549,-114.56885531125374,-206.79103242924793
85.0,-147.54972006512406,-267.96443511387,-116.92556731410184,-211.90345450163943
86.0,-146.9302020388166,-266.05674817828987,-117.06340269971054,-211.39471387199262
87.0,-145.17012113359243,-262.56221295869665,-114.62413395462646,-206.0441409689356
88.0,-145.76612008819527,-263.7517661313286,-114.92119407784266,-206.9785878567002
89.0,-147.37238954128773,-266.86756218714424,-117.95022511398997,-212.95060998970578
90.0,-145.3190767665526,-263.46468659671496,-113.60357278538405,-205.06294193190433
91.0,-145.0255307131429,-263.0712255551144,-112.79122668646136,-203.96720920415825
92.0,-147.6569686006308,-268.34728388694685,-117.12760699799136,-213.2476017326485
93.0,-144.16098544042583,-261.325792991709,-111.46008623422036,-200.78871981439073
94.0,-144.41662958141936,-261.90707146204534,-112.71352244890406,-203.11711136590787
95.0,-144.81293984818726,-263.3269462887095,-111.76815202081026,-203.00472738837735
96.0,-145.30633997206456,-263.55965501973265,-112.97960660037405,-204.30227838196606
97.0,-146.0478208144931,-265.44603226977006,-114.81493668895064,-208.2345735853201
98.0,-146.1396550924643,-266.1132522089903,-114.16040769559083,-207.79644572626484
99.0,-145.70366755302092,-263.56731780373093,-115.63443886499005,-208.16160739319326
100.0,-146.1579701443883,-265.96919004154415,-113.77231450260592,-207.25091847601698
