n,TW_Grass,TW_Forest,HG_Grass,HG_Forest
1.0,-108.81969968084906,-205.4822422482123,-95.5756748174487,-177.91719255126284
2.0,-107.36207265478035,-203.1241732773422,-92.77279058820464,-171.76548684098884
3.0,-106.40570020067108,-201.46347499444354,-90.28596344283336,-168.7046209036695
4.0,-109.08454764849526,-205.83570757598335,-96.001874949464,-177.36953676515435
5.0,-108.86027237283393,-205.5301890634833,-95.43125504072934,-177.55007499830424
6.0,-108.54486111956014,-204.9503040164617,-94.85674276166337,-175.04950178543777
7.0,-106.93031025391628,-202.32635342220374,-91.60358803878233,-170.36138892339562
8.0,-107.88866630153592,-203.84341702165938,-93.40928207472719,-173.19319995544234
9.0,-107.5443301189166,-203.31659659408086,-92.71380017432725,-172.66498828673838
10.0,-109.3782554277181,-206.3464111030687,-97.05970032559937,-178.82784031913553
11.0,-108.28155718853853,-204.5489418775511,-94.24288030758441,-174.29180945784333
12.0,-109.39655637152217,-206.37005343279324,-96.93813321549416,-178.80237210955426
13.0,-108.6576793461531,-205.22675482481066,-94.61797287690948,-176.91026838737616
14.0,-107.37430583639792,-203.17113847254905,-92.98974600673537,-172.13630408517275
15.0,-107.78848650082747,-203.8305318879896,-93.65751134940832,-172.71047195882474
16.0,-108.52698453085242,-205.0113611173794,-94.72631938657075,-176.70701625335818
17.0,-107.6441102342552,-203.61415122071355,-93.43440812817141,-173.81276897041604
18.0,-107.84314378235109,-203.94073207863852,-93.82010435863347,-173.63968030591286
19.0,-107.4530070672337,-203.1110490098219,-92.4677917312748,-171.4847671571431
20.0,-107.53587443861632,-203.48959541894882,-93.43045986876268,-173.41128192325678
21.0,-108.92391940203548,-205.67036781932308,-95.776915016017,-178.636144512866
22.0,-107.85928979427041,-203.86290895279444,-93.62835299129804,-172.69979862875113
23.0,-108.17930185576148,-204.4530071207198,-94.35776495928177,-175.17000590477053
24.0,-108.3565453005441,-204.64917084208028,-94.36146144398347,-174.88003640587732
25.0,-108.20133357867462,-204.346384753591,-94.13371242792107,-172.8079711837664
26.0,-108.10982346766562,-204.2441726631772,-93.7842622855213,-172.99673929888522
27.0,-107.80484920558453,-203.93072073924975,-93.80447988068431,-174.86229167531712
28.0,-107.75770352434753,-203.69138075847513,-93.27086277972592,-172.2024158871002
29.0,-106.91780471428521,-202.34137874067574,-91.75409213370934,-169.44994683258037
30.0,-107.07108941054517,-202.56548752763638,-92.041206102301,-169.86156477440468
31.0,-108.93876545571692,-205.5616431103693,-95.88982122132757,-176.33966534372422
32.0,-108.46112379273764,-204.7732077780152,-94.63279777784489,-173.83717883274315
33.0,-106.72668455112952,-201.47754775652905,-89.65408641097126,-169.53116143246584
34.0,-108.76819098066488,-205.32858054658544,-95.37719328114359,-176.0193287944903
35.0,-107.39156657683891,-203.09722481731114,-92.62891085873434,-171.4237724186438
36.0,-106.59065753309406,-201.73387544448534,-90.90627679909754,-170.03566086798037
37.0,-108.13357776181246,-204.28284938371036,-93.95787614256827,-174.63651899597517
38.0,-108.10640790284108,-204.27092303364026,-94.20261485170876,-172.85872450222342
39.0,-107.1791474300444,-202.83528959547724,-92.45575142880467,-171.35691138070877
40.0,-108.89135861197545,-205.56545548112854,-95.60964474069897,-177.51029023169644
41.0,-108.18639050359641,-204.4817296337199,-94.50955675833634,-174.79459973055498
42.0,-108.70941085445477,-205.18059999669907,-95.27108169009223,-175.2695900014269
43.0,-107.35946606576823,-203.0471480544834,-92.1935990943254,-172.1732062062689
44.0,-107.66507541331202,-203.70851294557187,-93.89036521120514,-173.28222847477667
45.0,-108.87920657046256,-205.55175586746805,-95.62002483706448,-176.97552026232688
46.0,-107.8218190450905,-203.66605137908516,-92.75099475176563,-173.40094186100032
47.0,-107.59594259346598,-203.3293708618114,-92.72100295682749,-172.41927469737317
48.0,-107.79634613099128,-203.81331549207377,-93.79853444889494,-172.46350728754268
49.0,-108.40021715378121,-204.73692771789104,-94.61089230794416,-175.13064524357134
50.0,-107.69006101371863,-203.58852082650668,-92.98741593392499,-173.52359300591866
51.0,-107.58641338799936,-203.38650165517618,-92.84576216919777,-172.81098654811842
52.0,-107.03199745251294,-202.45742701785252,-91.64105894937558,-170.70540699176973
53.0,-107.39287110291508,-203.0598117921172,-92.5387477754487,-171.5446673451919
54.0,-107.69238489998585,-203.53977541682417,-92.78242630772436,-172.5007442793477
55.0,-108.03649299213058,-204.2203296303913,-94.2735021459926,-173.20957963392237
56.0,-106.88431847269504,-202.18387841788234,-91.61133694701618,-170.63434742126287
57.0,-108.44282381056573,-204.77733651399512,-94.56724945711365,-174.62190077108156
58.0,-108.48040455016962,-204.81720439540766,-94.6399283046847,-175.26717593275177
59.0,-109.28543583362409,-206.1345492594632,-96.73165262158292,-178.0817478208473
60.0,-109.0620275161981,-205.8974697833483,-96.00926705803434,-178.451900309654
61.0,-109.53305476572348,-206.56997016893575,-97.45464851504826,-179.22581969885357
62.0,-107.0188695397344,-202.1410525535896,-90.56838955367802,-170.17214118605523
63.0,-107.85231886415892,-203.90347414258989,-93.64220421893688,-173.58217094165204
64.0,-107.75235899173913,-203.6739427993939,-93.26663327276984,-173.66667423717473
