n,TW_Grass,TW_Forest
1.0,-67.19045046655154,-122.43044766171613
2.0,-66.94224375902752,-121.66604093933938
3.0,-66.03300848513305,-120.12863104995637
4.0,-64.47133048931794,-118.83717572167998
5.0,-63.848866501506635,-117.59542036959436
6.0,-72.47599744414063,-131.21865878830818
7.0,-69.86971784286226,-127.31670713951634
8.0,-70.54054227755618,-127.92597084333914
9.0,-70.30210176389208,-128.40184036457123
10.0,-72.43311687732745,-130.83111091153975
11.0,-70.57515359187252,-128.92513987039285
12.0,-72.38627081555423,-130.50705963883718
13.0,-71.47508970922806,-129.96074492996215
14.0,-66.63916529474938,-121.13744593174366
15.0,-71.54724300883683,-129.3986375083232
16.0,-71.8562524493254,-129.88366077342636
17.0,-68.27652398711132,-124.01117358346104
18.0,-73.00244907878177,-131.92521389367715
19.0,-73.03854275059035,-131.27276204979384
20.0,-73.0057131782494,-131.285089107608
21.0,-70.55189763960891,-128.52788324315424
22.0,-73.60838294584381,-132.17051059671223
23.0,-73.84385764244642,-133.01886719571897
24.0,-74.42136962051791,-133.95679825499025
25.0,-74.86270416363425,-134.78920812379226
26.0,-73.6228490419168,-132.3989355978628
27.0,-72.82462099079,-130.7922383310725
28.0,-72.12918658496432,-130.40131168928406
29.0,-68.12626650404142,-124.18128598755824
30.0,-73.3254751768857,-131.58989203074344
31.0,-74.4552473458152,-133.89472756880454
32.0,-71.6656729038603,-130.01637140241684
33.0,-71.33902258124257,-128.5278314907618
34.0,-71.49413847478507,-128.89224225829105
35.0,-72.36015815476685,-131.44241221951376
36.0,-65.12129657512048,-119.15629672928475
37.0,-71.25105934186256,-129.70736225623108
38.0,-72.62402104759835,-131.5773834200374
39.0,-60.941848806274365,-114.67700907334299
40.0,-72.39646805414495,-130.75911470163854
41.0,-67.66148577455581,-122.92612111668379
42.0,-74.89790816692525,-134.9408289986309
43.0,-69.64619875228244,-126.29381206069294
44.0,-73.71214374988293,-132.74256601743477
45.0,-73.91519693507917,-132.8708502220845
46.0,-72.06548236604809,-130.89696669797397
47.0,-73.49390690625357,-131.83015484609123
48.0,-71.07190281124618,-128.76885664489765
49.0,-66.93265531723142,-121.89456654437649
50.0,-72.55202145370605,-130.48569167472536
51.0,-71.5665315505391,-130.75612606588663
52.0,-71.00831895393114,-129.51028214077027
53.0,-74.6509902753123,-134.20785766039756
54.0,-71.95873400020542,-130.00043087897615
55.0,-70.93415058181932,-129.13956621100854
56.0,-70.76186452838199,-128.85965485628304
57.0,-63.82613558710994,-117.17708253474143
58.0,-74.32277947540835,-133.52194569058898
59.0,-71.36962463292724,-129.7530388885242
60.0,-75.81421387614176,-136.74197111015667
61.0,-73.88746285382555,-133.23517281435588
62.0,-64.68655236917964,-119.13765333783564
63.0,-73.61057662105443,-132.48719196919146
64.0,-71.31192634712076,-128.55530937411714
65.0,-69.65388471579305,-127.05582734311773
66.0,-72.29875253653029,-129.91061803016905
67.0,-72.68135153430805,-130.69711063689698
68.0,-72.6449555865884,-130.8253380684328
69.0,-74.60506085422328,-133.64663098481813
70.0,-73.32186516381346,-131.85419836189487
71.0,-69.18565078817602,-125.83058306584869
72.0,-73.49843159270652,-132.36477576669827
73.0,-76.31518135280308,-137.9861723707699
74.0,-74.96030815418285,-135.2330147793068
75.0,-74.5093716088999,-134.94371193653112
76.0,-74.54932355865489,-134.42772801790375
77.0,-72.91902728978987,-131.59252929295803
78.0,-67.28241261676712,-122.46361396365474
79.0,-67.79150122612076,-123.33256517601052
80.0,-70.22818743839562,-126.75497127993467
81.0,-74.58984621870516,-135.1812285348014
82.0,-70.4986168660549,-128.3295778094657
83.0,-72.71711093388497,-131.03351695844754
84.0,-74.0629887410166,-133.71992792563884
85.0,-69.90460758592842,-127.29174752203792
86.0,-73.0174497235886,-131.17102010650223
87.0,-73.21510016858235,-131.32141619236182
88.0,-76.1698031549254,-137.59615043050584
89.0,-68.70698201422225,-124.44666332294685
90.0,-69.9712917584923,-127.53305145485496
91.0,-72.9422305451797,-131.5105551217932
92.0,-71.61904588266712,-129.3947509237796
93.0,-70.99289022346842,-129.01656317118417
94.0,-70.35187786366403,-128.03425491757633
95.0,-73.09695272322764,-131.2973943844246
96.0,-73.19089816335268,-132.23905460428264
97.0,-74.90026476676374,-135.50482144956177
98.0,-73.81095462105128,-132.32273663057595
99.0,-73.43960466777213,-131.77515924353298
100.0,-72.98805506628543,-131.89089506511908
