n,TW_Grass,TW_Forest
1.0,-38.47817115686917,-57.99198173013163
2.0,-37.85788558758844,-57.00271030192148
3.0,-37.06449389757296,-55.89280903279381
4.0,-37.34796097147529,-56.4748366183888
5.0,-37.31985633393276,-56.810538409599175
6.0,-39.137605158143515,-58.83729708119142
7.0,-37.48087256600604,-56.53596000866055
8.0,-39.38687453161559,-59.287459430237085
9.0,-38.05395362495195,-57.14442038278811
10.0,-39.489590794299545,-59.39832709950242
11.0,-38.19502710299288,-57.4559290794589
12.0,-38.819562654802546,-58.33299370908189
13.0,-38.49629449228159,-57.8668193352391
14.0,-37.0362142429371,-55.666728678267134
15.0,-38.44859768680121,-57.930581524001184
16.0,-38.79127222262378,-58.310837680160716
17.0,-37.54419230720771,-56.70480227397894
18.0,-39.44857697433835,-59.25878085555794
19.0,-39.727176855819486,-59.494379172843324
20.0,-39.52955402423786,-59.3280515314911
21.0,-37.94719610629824,-57.22259939655355
22.0,-40.37446879339141,-60.53225899169526
23.0,-40.34131909616052,-60.38797485664991
24.0,-39.82707175538902,-59.601712014183455
25.0,-40.207075592140725,-60.15781993301928
26.0,-39.70575039599288,-59.46169345360208
27.0,-39.78449426732293,-59.62584579459628
28.0,-38.972919078584084,-58.68719649229935
29.0,-38.75031533772709,-58.34716911382908
30.0,-40.25111996087594,-60.32760866305999
31.0,-40.068243272671495,-59.89946130464662
32.0,-38.89060114970481,-58.6469295190262
33.0,-38.889081510886044,-58.5899575589362
34.0,-38.454177546451994,-57.78760973815444
35.0,-38.64839055331928,-58.272797007825616
36.0,-36.48683700323683,-54.86238925227138
37.0,-38.16460706715371,-57.57254143692883
38.0,-39.66856393309296,-59.689214874282975
39.0,-35.97629548199513,-55.50518827346077
40.0,-39.06196662177821,-58.730680266064596
41.0,-37.72598715092818,-56.68297998510375
42.0,-40.05665501980188,-59.932497536506744
43.0,-39.0737916232992,-58.61739307153586
44.0,-40.18865992736504,-60.247465590700415
45.0,-40.25659364447962,-60.26936368425689
46.0,-38.78690563044984,-58.406024673382376
47.0,-39.82857451662261,-59.58328876978996
48.0,-38.16920680898778,-57.57768930308874
49.0,-37.710097416116554,-56.854752701966355
50.0,-39.055592056116645,-58.55118047820558
51.0,-38.84343868339116,-58.29032165671235
52.0,-39.12953271371385,-58.745294800118344
53.0,-40.27207916405078,-60.23668758345792
54.0,-38.31353447414706,-57.71675234245163
55.0,-37.395222431362434,-56.600554758823094
56.0,-37.523245628532536,-56.78151442010106
57.0,-37.190230890328046,-56.460064518607695
58.0,-40.02026050100335,-59.8018014557765
59.0,-38.86199379118349,-58.48396414739443
60.0,-40.56503056698924,-60.571706220871555
61.0,-39.423687785712325,-59.13047990045861
62.0,-37.70319628535239,-57.09885946197407
63.0,-39.46045510820583,-59.10963572499795
64.0,-38.280951874379646,-57.51469583483158
65.0,-38.05583452221993,-57.135920436217525
66.0,-38.836165082992416,-58.20149018708849
67.0,-38.787033433374845,-58.130574384271675
68.0,-39.18416293988611,-58.83057623838377
69.0,-40.774794815680586,-60.94968236658473
70.0,-39.46914151594239,-59.13594015274896
71.0,-38.064218129647955,-57.3448784575981
72.0,-39.35446450258594,-59.02494039306574
73.0,-40.6079542857756,-60.54517100248559
74.0,-39.92606300714887,-59.75869671031393
75.0,-39.08727860352799,-58.37278355287315
76.0,-39.60542748644808,-59.199173900253555
77.0,-38.35381396647901,-57.5457482113326
78.0,-38.1127081153683,-57.14496557086881
79.0,-37.57976288679479,-56.58265856701351
80.0,-38.41911204636871,-57.9177901520017
81.0,-39.165564977572686,-58.49010428412646
82.0,-37.83931532980424,-56.98202870062534
83.0,-39.60304367019931,-59.3870231923939
84.0,-39.16745712437906,-58.59337440898018
85.0,-38.538710540123205,-58.14018074461855
86.0,-40.00898282623191,-60.0178941517633
87.0,-39.79115821704805,-59.53499091126645
88.0,-40.63098058154175,-60.65592431438536
89.0,-37.717438460757904,-56.808180403054436
90.0,-38.48535475092912,-57.78471583115772
91.0,-39.61533987678787,-59.43873927407874
92.0,-38.24489320417156,-57.53598528678672
93.0,-38.647038125586754,-58.23766254844148
94.0,-37.79235883122299,-56.91850997598456
95.0,-39.96790650010498,-59.92329729305344
96.0,-40.42432806887013,-60.7204241058525
97.0,-39.547163273970654,-59.01593996838149
98.0,-40.260032353590475,-60.186945893254915
99.0,-39.69997893036387,-59.36868383420709
100.0,-39.60718305646073,-59.53768688438784
