n,TW_Grass,TW_Forest,HG_Grass,HG_Forest
1.0,-72.29878055313075,-130.68601270803154,-42.06955442453088,-62.95770797983795
2.0,-68.47040607487237,-122.31397275857995,-38.036434899229434,-65.06099345625034
3.0,-118.58302879815376,-211.72318023932786,-51.64244536772348,-90.08010668675206
4.0,-84.74623638769259,-148.71269291744278,-43.489284712166416,-73.23632281519266
5.0,-94.80314654708664,-173.5566653792193,-48.430607106171024,-74.27372285223535
6.0,-45.3623050958126,-82.66702245061242,-40.972091383945084,-64.12462708126584
7.0,-73.56310125535028,-136.4809109883108,-43.54632513375047,-68.53610423090213
8.0,-74.02766596643445,-130.2539444819573,-40.308611630215744,-66.42976546199053
9.0,-46.499651829324534,-84.6998106480267,-34.90073808486805,-54.05207243935384
10.0,-78.95314303770084,-141.64175691451644,-39.527685014099696,-65.23366958205541
11.0,-56.38376166729978,-102.8379651571148,-35.661420407573544,-55.60327510181229
12.0,-78.43388980450695,-141.8799458763578,-40.19959017779459,-64.65578921856826
13.0,-121.11873770806375,-216.60010945729078,-52.49137356469936,-82.62186373562238
14.0,-70.63187538495932,-129.98024104076782,-35.21132962283892,-63.74789707375593
15.0,-59.69862170893649,-108.86145899900144,-32.22916238666632,-52.64910366343595
16.0,-76.99231283352388,-134.96049577876758,-42.043709650354394,-71.12622984764918
17.0,-120.23285644111996,-210.53824251598027,-55.693121994071056,-93.86399348854528
18.0,-67.04862323571385,-118.34184531641225,-37.84181133654751,-63.56964491032486
19.0,-97.93337283769182,-174.33534688679077,-48.103572227067716,-74.91672800908174
20.0,-129.00028633389897,-227.27594175966956,-57.9673134762767,-99.42358376830981
21.0,-76.89139134209837,-134.363427822017,-42.054879501219126,-71.29038957460594
22.0,-69.08366455117825,-123.7294651461213,-40.29710818585838,-60.60417348686898
23.0,-77.66241785404182,-139.89001688153354,-41.43402424520327,-65.7209787212671
24.0,-82.1005450050673,-143.73349971524883,-43.15093040855882,-73.00042534243255
