n,TW_Grass,TW_Forest,HG_Grass,HG_Forest
1.0,-35.69875647160571,-59.123278269077474,-27.477590410245185,-45.944915572958145
2.0,-37.0124219475167,-60.49073893955812,-28.983158640393388,-48.2749411612563
3.0,-34.88507804482782,-57.475821325529154,-25.8168822124097,-43.16656778666382
4.0,-36.07110284275249,-59.367284158455455,-27.759897866885993,-46.40638314014389
5.0,-34.88800682130659,-57.614377082282395,-26.247539550500957,-43.9236529011208
6.0,-36.88352951920619,-60.93404856205834,-29.39634503284434,-49.08318692009749
7.0,-35.05549135534169,-58.155595314737184,-26.416148659612897,-44.738387842214436
8.0,-36.81204119228286,-60.41499541607694,-28.84552092327831,-48.07397173661021
9.0,-35.637046101840795,-59.69338625594429,-27.432248936468795,-46.802025969426936
10.0,-35.808503166752004,-59.13723869876275,-27.31016178999442,-45.82725792818955
11.0,-36.60935937717902,-60.36069742125814,-28.70883117105708,-48.01441626655912
12.0,-36.05307276652412,-59.30887683194163,-27.730103614737153,-46.328139449410216
13.0,-34.712602226714395,-57.33971171570303,-25.89633742486644,-43.30389398955353
14.0,-35.89414081771492,-59.05482938244906,-27.331909557981625,-46.179220817742554
15.0,-36.62235554943138,-60.15304124517276,-28.535645600434027,-47.900319582675436
16.0,-36.766013960116105,-60.17715747722745,-28.546630752222036,-47.562914580578976
17.0,-35.39545127886337,-58.151826146041074,-26.634733685195705,-44.035967383195384
18.0,-37.30588570677019,-61.0726790352015,-29.439991607501135,-49.071308457742845
19.0,-35.44742908709954,-58.314635322904465,-26.97152220025574,-44.847237941144826
20.0,-34.91530096613496,-57.51355225506346,-25.829142382811064,-43.08388996549709
21.0,-36.78396858295064,-60.29269060550516,-28.633015759557622,-47.61986537470547
22.0,-36.22159815306301,-59.75518591289786,-28.180385427529405,-46.95938512802327
23.0,-36.141080765937886,-59.492092754989244,-27.896047782407692,-46.55493294815952
24.0,-36.23522919097575,-59.49872761686518,-27.774592172449218,-46.411553914035125
25.0,-35.33201756075286,-58.26532744589326,-26.617734207138803,-44.49854370996755
26.0,-35.18289275138472,-58.26408721904239,-26.70851471196585,-44.948274864951124
