n,TW_Grass,TW_Forest,HG_Grass,HG_Forest
1.0,-7.979066712960955,-15.454951800695529,-27.10587192562118,-40.1236164102108
2.0,-10.059162295441848,-20.53299487577305,-31.07198451316433,-46.22757252344461
3.0,-12.385146647532354,-24.282840220953542,-29.14297183691511,-44.540789735087316
4.0,-11.056694190926875,-22.0174066796348,-28.928100435054297,-43.120532620390044
5.0,-6.6389197085666005,-13.905156037636614,-24.795734484499064,-36.45986696849339
6.0,-11.473854960128566,-22.716845990499554,-26.07625066490511,-39.74195120439634
7.0,-7.443777299399272,-14.627557199681721,-22.933731425526773,-34.390044067169114
8.0,-8.33372467443267,-16.45174087692575,-30.657760088577966,-45.21139118334595
9.0,-10.949989216619771,-21.714057395195184,-26.45770034695129,-40.305078810539
10.0,-7.960871683388255,-15.653205398060635,-23.77932128579882,-35.561341853971086
11.0,-12.050392224145735,-23.151681734600174,-26.934438641588578,-41.21386733030304
12.0,-7.46631144279568,-14.779571089575569,-27.820910997046646,-41.2829414393848
13.0,-10.574076739102303,-21.22119835003272,-29.579478990525708,-44.062897353655444
14.0,-9.308965728742933,-18.778967664237854,-28.633137040274256,-42.30494782802921
15.0,-11.377633904235012,-21.715869093388196,-20.968992581469106,-31.86704430715598
16.0,-12.403050481794672,-23.738132077792756,-19.839788967589445,-30.466953978303504
17.0,-7.081183334424631,-14.390486707363703,-25.29022921856048,-37.30976618266378
18.0,-12.450345741077872,-24.217792185373483,-28.959906931781035,-44.26884216894172
19.0,-11.15052975394402,-22.67346514905941,-33.01135666995669,-49.015151495847775
20.0,-6.5093395741566145,-13.363157900815576,-24.634984256424158,-36.11406629408482
21.0,-14.959518605978472,-28.809337050759375,-32.69249228733114,-49.724936130676696
22.0,-12.249957019597044,-23.11395538302111,-18.70009101899418,-28.48203663170947
23.0,-5.752282114716662,-11.805728983200243,-22.046345333945595,-32.20345231778534
24.0,-13.943887352961728,-26.622742852336355,-27.259697323966144,-41.36381653982152
25.0,-11.287774569267775,-22.82300731574798,-22.354935205816954,-33.59646902321867
26.0,-10.12359270020088,-20.457007750758102,-31.282934912048038,-46.33389968704369
27.0,-9.696917637393906,-19.462103231978915,-30.15050863741922,-44.312540727392175
28.0,-14.071136958865353,-26.920941234355144,-18.1383423416557,-27.2572640716879
29.0,-13.85897648902328,-26.679201848320236,-30.0567519274282,-45.77911196979653
30.0,-15.852462116276076,-28.89501556138504,-26.82118846445413,-41.23091484931892
31.0,-13.682339236113524,-25.5709989151175,-20.676879026765544,-31.50441318696896
32.0,-14.371605879238523,-26.632356195545142,-25.232386780208408,-39.01348591474773
33.0,-14.767257273374224,-26.82426017973161,-18.126299780447212,-27.52385494020445
34.0,-12.989966463763107,-24.683314345602973,-24.755489821308483,-37.898251327135284
35.0,-10.900148819538092,-21.80404949109994,-26.059466041205056,-39.636496074944716
36.0,-15.839420712514753,-29.218463744100017,-29.75542295992253,-45.82321735515515
37.0,-14.50835263866872,-26.882539511248236,-26.65860526259899,-41.20733237261527
38.0,-12.626610104142047,-24.308342181965763,-26.23809764644495,-39.77574924531335
39.0,-12.408149356681529,-24.425813195358284,-28.01747748778621,-42.774492041813474
40.0,-18.52810945429934,-33.68669038331828,-15.135428193123067,-22.945106108947094
41.0,-9.772377467600576,-19.400235397508297,-29.318981318199732,-43.27203789014127
42.0,-12.871507129731055,-25.377055933439465,-30.285966960125275,-46.55151197450091
43.0,-14.45568411011,-26.586146986792755,-17.80667583731438,-26.72060430232529
44.0,-17.84640312763227,-32.08172597727523,-18.026611978548416,-27.43504054776033
45.0,-15.544248224393389,-28.95644847731862,-30.48026589042237,-46.80175159331315
46.0,-12.285948423654059,-24.71532262653345,-36.36293888904449,-53.66337474856118
47.0,-20.326769539253775,-37.48526373330982,-15.005201610475677,-22.442611166664257
48.0,-17.80102098859078,-32.314163211326075,-20.208119731119762,-30.643776994620538
49.0,-11.291689206022602,-22.782775809724612,-33.23960049337808,-49.47984530782452
50.0,-11.996709890034323,-24.13901653628845,-35.67692966597857,-52.62991309602552
51.0,-12.485979894737271,-23.753993049268203,-19.965269105658052,-30.35296782211011
52.0,-14.382782860848621,-26.79229682561403,-28.917058164070532,-44.562051233942356
53.0,-12.090212710605764,-24.238917781069468,-32.76402327775998,-48.90733374652763
54.0,-13.316490981988895,-25.429004055404256,-18.826533153807826,-28.515809622349906
55.0,-13.457530938782655,-25.316081527183016,-22.284966800737898,-34.15866005426122
56.0,-12.81503023170235,-24.377588234922488,-22.870512667823224,-34.890245246018885
57.0,-15.725132349902957,-28.838794706611328,-28.946792815156645,-44.878345904020875
58.0,-15.723123442485031,-28.625572490802877,-15.852377438387618,-23.8614663391198
59.0,-10.454411191298279,-20.751242865766123,-22.66161798131214,-34.1425120785491
60.0,-12.651948262235521,-23.944473701803936,-26.066827904765194,-39.52040276364521
61.0,-15.46170191343888,-28.75804750240745,-25.098268585473228,-38.60538456552024
62.0,-15.012557927425757,-26.764969984872437,-17.71099350486274,-26.857482070083528
63.0,-12.759725817943504,-24.41231763448667,-24.61670883834549,-37.7731891425118
64.0,-10.911282781827717,-21.57314761786818,-28.110183433532637,-42.073239557581786
65.0,-11.761525366605497,-22.424113607028154,-19.831771622588594,-30.25604537699349
66.0,-7.671543682770006,-15.296573217757565,-26.770844999788416,-39.47942619156906
67.0,-6.9385067850085225,-14.17546338837571,-23.285766852196183,-34.23653092846025
68.0,-18.976089312389277,-34.624368881107785,-17.186141648481385,-26.051776048978624
69.0,-11.520755383447852,-21.977705531545904,-19.873911301368505,-30.418046021143347
70.0,-17.487393692334372,-32.03534539913671,-16.466790009520615,-25.09866713447324
71.0,-15.936157774843965,-29.822554114084422,-31.172664855367717,-47.970049330232214
72.0,-10.44580741260324,-21.025283986057246,-27.363459699528033,-40.554685746450446
73.0,-13.588923284313235,-25.707775414668696,-23.216771451958017,-35.54571472698109
74.0,-13.427515174085897,-25.788906013612266,-27.401274065155874,-41.51844444062793
75.0,-13.899087996006646,-25.93784084681114,-24.189041401689476,-37.30657502476497
76.0,-14.023765380723821,-26.252941579747727,-20.687915841440397,-31.3819053186443
77.0,-17.46274854149775,-32.20826013673922,-31.858116150073418,-49.29945362495657
78.0,-11.671191552950608,-22.325112456249666,-23.122506777974106,-35.197086602942576
79.0,-14.479170665184553,-27.16925616506183,-26.861718398163646,-41.3806646912594
80.0,-10.512342521066945,-21.11156708369772,-31.959827634800355,-47.45750898809065
81.0,-15.115666426713982,-28.393511033210615,-27.92148493607922,-42.940690264561084
82.0,-11.805694772408557,-23.005237617284397,-29.63952057754162,-44.32555517678371
83.0,-11.297710983195591,-22.5935089211613,-29.179166739136676,-43.33383792345656
84.0,-11.399791287689247,-23.068455846454704,-33.71829992619322,-49.95440500438424
85.0,-11.622854708868186,-23.081402799715683,-29.296171380186628,-43.52623056937019
86.0,-15.862860637883205,-28.407826773621018,-24.68370142672554,-38.04061796103225
87.0,-11.95687413899086,-23.559539236947394,-31.77980519677967,-47.42752844157832
88.0,-15.056716035510041,-27.022989194266522,-18.984588237432906,-28.819286364932545
89.0,-17.260180028910305,-31.378341396449116,-28.006544509607856,-43.200577923284314
90.0,-18.401539609010374,-33.37589723737534,-23.67882281551408,-36.042949354730325
91.0,-24.280685115018496,-44.332764501911306,-12.855612359904455,-19.611293144960086
92.0,-14.484526858582864,-27.04476379349758,-27.664318924870045,-42.96129824380717
93.0,-18.843420355313455,-34.45582205142522,-17.49415860584511,-26.584571360218266
94.0,-13.865851437068303,-26.929110994235,-30.507132779064293,-46.71208115090207
95.0,-10.999237272713902,-21.13867344306462,-23.540994954226832,-35.99079043536165
96.0,-14.194204104485834,-26.985262199481923,-28.17399246286925,-43.11253173888353
97.0,-14.945665620331486,-28.212676098126757,-34.32487586221528,-52.72563865837385
98.0,-12.480584215179723,-24.38631022089008,-29.589890406404365,-45.41986312941896
99.0,-10.851035460327523,-21.467891109578094,-29.284093463586558,-43.73500593990397
100.0,-17.446615988899076,-31.84633798154479,-28.934685904538597,-44.51762744909796
