n,TW_Grass,TW_Forest,HG_Grass,HG_Forest
1.0,-15.92355222834819,-24.936442001310645,-24.980876517720276,-42.510705212647686
2.0,-16.585758387703297,-26.840950124449144,-33.23417074233085,-56.25161218611126
3.0,-19.03082274677413,-30.989967206684135,-37.30347499764314,-62.73978972636157
4.0,-17.903307521230076,-29.290402311436765,-34.87137508576727,-58.81031499196145
5.0,-15.08692181507655,-23.480704046398145,-19.883974535882608,-34.30792428962942
6.0,-18.459617910091662,-29.90002108560943,-30.311741979718413,-50.28068271523591
7.0,-17.026505290222932,-27.206941476529472,-22.348039235734852,-37.70589559972036
8.0,-15.307013277014224,-24.075854750633198,-28.933565929761784,-48.10148871637434
9.0,-17.50406627440482,-28.19735831274661,-30.54414479102438,-51.094411416182815
10.0,-17.158422494847166,-27.56865472313774,-22.736997347026005,-38.688602896245555
11.0,-19.19774029948737,-31.174387090726814,-36.61961031277456,-61.28545691605514
12.0,-14.593877575743953,-22.43099615396651,-25.365138051318485,-42.284562272679395
13.0,-16.786300706655403,-27.146096990525592,-33.93006071325587,-58.19373297912544
14.0,-15.476178434243725,-24.742075311433034,-30.245096320310168,-51.50420428246629
15.0,-19.453096107532012,-31.759370033484025,-28.72420056128686,-46.75896914810489
16.0,-20.501637430211748,-34.06664174739299,-24.128281117982734,-38.78671502227046
17.0,-15.250080919574303,-23.718520926745214,-21.212637525711038,-36.27349779268582
18.0,-19.201165029881448,-31.433660576197923,-39.347228222372976,-66.16495784207288
19.0,-17.4150594757879,-28.57476449811891,-39.13786064309499,-66.12428374564944
20.0,-14.822164286860598,-23.019519074470715,-19.481428303539673,-33.24261544208953
21.0,-22.81432456991485,-37.490917114209935,-59.920430053041834,-104.06058949555785
22.0,-20.907260238014253,-34.53443510958721,-24.83098699780441,-39.64487896468606
23.0,-15.968383684473524,-25.50894332543173,-17.529675134650095,-28.682272570337357
24.0,-21.20843035835071,-34.64597466928602,-43.14033510163029,-73.39590194405662
25.0,-18.91379619097894,-31.04241351701356,-24.163149321408902,-39.852103962873784
26.0,-16.762453622519818,-27.449944583528975,-35.6551118269921,-59.89201242597468
27.0,-16.1249944528678,-25.695087247310646,-30.17438221596045,-51.13970710495201
28.0,-21.773037348329968,-36.27261827800912,-24.92293555859001,-39.182799875859885
29.0,-21.427794203699296,-35.18185542699506,-53.350002514843624,-92.53805287819978
30.0,-24.43593837469192,-39.35488803136388,-55.12068613084885,-94.81702957634343
31.0,-21.439706965088497,-34.95428063316153,-32.940175981643065,-53.04723906068806
32.0,-22.414942554492495,-36.29213465289405,-42.7303411897563,-71.6882352688734
33.0,-22.709054611137898,-37.507409477665696,-30.168608617759702,-47.36709647652725
34.0,-20.392106579994103,-33.156051782120166,-36.60650900567971,-60.676159923257856
35.0,-17.617816352038254,-28.42768595649046,-30.342087436781565,-50.66000718166926
36.0,-24.33530287944883,-39.13614232770422,-59.257068144085,-102.57891511894282
37.0,-22.687451053820652,-36.48893970097356,-48.71796845846687,-82.74986287143592
38.0,-19.615813215789895,-31.950830216783082,-36.89914044758284,-62.08099900478277
39.0,-19.108850314476474,-31.01600377510512,-35.47250114007711,-59.493613374489584
40.0,-24.791500196462373,-41.70611553715797,-27.764834568722268,-42.23928716922288
41.0,-15.463152305434587,-24.979294062308476,-32.39355400261501,-55.11238137996412
42.0,-19.875844956762457,-33.048842711140395,-57.77884810750176,-101.37535525742314
43.0,-22.180993329613848,-36.883269337417104,-27.653299549341124,-43.40475772584378
44.0,-25.366647735884786,-42.13597236696046,-34.677957121346324,-55.129470777725004
45.0,-24.016033541263372,-38.70040641899344,-58.19583470271196,-100.45103740768673
46.0,-19.826039255053665,-32.51731302226061,-56.81543904686835,-100.23465738096094
47.0,-25.446212857625113,-43.02579445448596,-28.061850334273167,-42.74556720983388
48.0,-24.914668756613047,-41.18363982480591,-36.733200750851616,-59.73026402699396
49.0,-17.928904491883596,-29.635466736517344,-42.244071960533326,-72.0169865617972
50.0,-19.087883575423813,-31.168478640429903,-50.845646973087064,-88.38627640402672
51.0,-20.573607159733783,-33.76545642305791,-28.967116421146738,-46.62055040252838
52.0,-22.75772780937406,-36.50376367793888,-57.35429352992076,-98.9287087912453
53.0,-19.835374142956724,-32.953596882977685,-48.81246343230991,-83.99373673169562
54.0,-21.18946856886975,-35.2377910547163,-25.08199215044766,-40.11963240857173
55.0,-21.11431742078249,-34.684666726230674,-31.16288102340755,-50.75877775668868
56.0,-20.685563622610466,-33.52804256037878,-35.41780388433687,-58.338363191652576
57.0,-24.546913615780667,-39.229167599023015,-62.81886822967007,-109.06172885359723
58.0,-23.274542947086793,-38.96909244022167,-26.906742246625836,-41.37134384601127
59.0,-18.288346576031984,-29.826779205415164,-25.315327252103522,-41.59889030951148
60.0,-19.865484569978133,-32.37481601750979,-34.08017586302084,-56.80442453490336
61.0,-23.0610698469129,-37.70770536983122,-40.35997588714211,-67.12227162415977
62.0,-23.541242451224264,-38.80095080057556,-32.74889967215311,-51.683611982086205
63.0,-20.250466584992203,-32.795637125101365,-38.66298765308031,-64.25241803624232
64.0,-17.859253868673942,-29.176964632243592,-35.606905428519624,-59.90395964099467
65.0,-20.172273438733157,-33.2948794041439,-26.941762890846665,-43.61704609370945
66.0,-15.255608761973644,-23.421233931902613,-22.858642894253997,-39.00551927028748
67.0,-16.6099974335238,-26.500490115988327,-20.678334623967494,-34.94396716452287
68.0,-25.08424435041305,-41.955137349960765,-30.975052911221333,-47.92972402039692
69.0,-20.093101803024553,-33.36167874950944,-25.482741496294587,-41.245470456513424
70.0,-24.002829227203396,-40.57825729462137,-26.292405920251298,-40.516468790814386
71.0,-24.260443474969456,-38.99302637628755,-61.46930648608959,-106.23299695319213
72.0,-16.677431971636075,-26.81415966796096,-30.3334156265217,-52.10479803486464
73.0,-21.18233968037672,-34.383517089393344,-36.18372291763691,-59.564375662688676
74.0,-20.220195596759194,-32.9899617998213,-39.320934299069236,-66.38356439306494
75.0,-21.88007375115658,-35.45901622281647,-39.2920490048797,-65.29196455163563
