n,TW_Grass,TW_Forest,HG_Grass,HG_Forest
1.0,-38.84704484609863,-70.95686572088923,-24.812275896774246,-44.98255257794649
2.0,-40.26224797720499,-73.44748213461726,-26.34405754421197,-47.68993791063667
3.0,-33.46941597437198,-63.309807560095905,-19.82683714662742,-35.82945259391555
4.0,-39.44250092064948,-71.92775381816799,-24.923280093310417,-45.20498893679182
5.0,-40.269755885333694,-73.87688523838794,-25.314044335216423,-45.70398454992793
6.0,-36.57440499906744,-67.3527976748046,-21.958896862231345,-39.992788409857866
7.0,-39.0174165547931,-71.71659347651071,-24.692628476389675,-44.5700202407225
8.0,-42.029621993584584,-76.13818332136256,-26.610462600002514,-46.59311162165733
9.0,-35.96836587306694,-66.39629340583615,-21.32913483106926,-38.99166179735549
10.0,-39.4614024283088,-72.02100755843911,-25.34714258588552,-46.17745640405421
11.0,-39.478008789568285,-73.96208389351382,-23.33175652335664,-42.69470393586907
12.0,-23.313845751031703,-42.69049101667122,-15.395385157459803,-23.40884995492538
13.0,-41.52594230276932,-75.0359362299418,-26.41489961236663,-46.436439497015826
14.0,-39.78455560074419,-73.23236900193945,-24.80070489956634,-45.1286803341165
15.0,-40.608104397372124,-73.65436053740405,-26.529946394189682,-47.46116917646302
16.0,-42.02766610482851,-76.49851955425498,-25.047687115221855,-43.875567482291395
17.0,-41.65716743922485,-75.90574341488583,-25.777132909083917,-45.559248499282766
18.0,-42.11444328378253,-76.71622125562486,-25.16365945007438,-44.001033699141814
19.0,-34.00959630324852,-64.75034291810584,-20.092302866962356,-37.207546365070925
20.0,-41.460785775646045,-75.08507586253252,-26.725616089607897,-47.29097115134411
21.0,-36.426571678652245,-67.88715530274153,-22.808382388109067,-41.60449997814091
22.0,-35.77071516791254,-67.01993766669754,-21.97053659269808,-40.48728736503906
23.0,-39.61353615753965,-72.05265347578606,-24.615804559156956,-44.23216663836827
24.0,-36.14716996499142,-67.27492562714568,-22.555010772063362,-41.225820210630104
25.0,-38.94778346922081,-71.28006059074758,-25.182917302506752,-45.69615882792741
26.0,-35.02974750048386,-65.91920843635906,-21.507098678037764,-39.10736913974557
27.0,-35.78214674820599,-65.81943562404727,-21.316550450363557,-38.666877097021676
28.0,-43.54110967564618,-79.25306122525078,-26.16536803788914,-45.3901658269316
29.0,-41.12301984876379,-74.18152399136267,-26.16640383441153,-46.20009628213437
30.0,-43.64434056570904,-79.08852894435356,-26.750151576667474,-46.14135498381145
31.0,-44.38410988648231,-80.77363546992906,-27.808716954144717,-48.357513062467305
