n,TW_Grass,TW_Forest
1.0,-42.69746726277279,-75.27510990614022
2.0,-43.41072936967858,-76.60928235457001
3.0,-39.34709772812235,-69.86734809018218
4.0,-42.71822471234121,-75.62755332045343
5.0,-43.15154057218873,-76.04006712036778
6.0,-41.16844663213045,-72.86473218228542
7.0,-41.75122221778216,-73.55911262616543
8.0,-44.47169216130803,-77.23967765992286
9.0,-41.391942678738715,-73.22765740514868
10.0,-43.44875786189112,-76.28258514491239
11.0,-42.30420868715033,-74.4264759671241
12.0,-35.06718504302424,-62.89420382205921
13.0,-44.29879370585749,-77.52321012975395
14.0,-42.837150556192725,-75.83323782578994
15.0,-43.1906814523801,-75.72923336992623
16.0,-43.3500368130337,-74.86691907079043
17.0,-43.88911151589188,-76.34665415304778
18.0,-43.419281657732725,-74.74890920510991
19.0,-40.915250032659976,-72.75078906441871
20.0,-44.27789981708956,-77.70352995262104
21.0,-41.54700758809248,-73.09282415116658
22.0,-42.02558615295689,-74.10642161404455
23.0,-42.67976945826446,-75.53965030382487
24.0,-42.3734925758003,-74.74314473459037
25.0,-42.991371924984826,-75.63286970526666
26.0,-40.657213453242974,-72.01544332927007
27.0,-41.12616988336428,-72.521376339926
28.0,-44.15018465231955,-75.7139906134487
29.0,-44.096812566019885,-77.18337652614508
30.0,-44.60409282755866,-76.39966845122402
31.0,-45.25942152857311,-77.58408462912435
32.0,-44.72674948119975,-76.601485784153
33.0,-41.94300746596173,-73.73207995127068
34.0,-42.09372185958255,-74.04734451786886
35.0,-43.58866107507764,-76.38689836100346
36.0,-44.83817922809901,-77.1586485190199
37.0,-44.55070820646414,-75.93168716009119
38.0,-44.77985782864594,-78.04301440027712
39.0,-44.06988143936323,-77.07856354772653
40.0,-43.958989130831256,-77.17987905620525
41.0,-43.533152829645914,-76.60373796339022
42.0,-44.72045139879359,-77.31359785160318
43.0,-44.32362181927473,-77.17492195703096
44.0,-44.46655755282506,-77.02070833497292
45.0,-34.70085388831502,-62.4627734245512
46.0,-44.470882276265776,-75.04343637989045
47.0,-45.37426054365465,-77.73336676332795
48.0,-44.535787540793415,-75.98200694545079
49.0,-44.47454991377727,-77.1697543591714
50.0,-41.01861072849265,-72.4322067416908
51.0,-42.993615930222745,-75.66390359467856
52.0,-44.316263613161986,-76.3650270091346
53.0,-42.594685220779,-74.61175680351758
54.0,-45.056317415545685,-76.80995487401755
55.0,-44.973592957206826,-76.79728919775718
56.0,-44.861809552156124,-76.37425759058067
57.0,-44.71395246640972,-76.3900463293862
58.0,-41.574215288967395,-73.04953542493175
59.0,-44.505655852749925,-77.7767713793608
60.0,-43.21481307673758,-76.03784467750465
61.0,-41.63414806992785,-73.39026657845038
62.0,-44.69415092544037,-77.53732566687486
63.0,-42.262160645114704,-74.0827259115203
64.0,-45.245280021378,-75.71165312374023
65.0,-44.71696912864131,-76.86498632886098
66.0,-43.82375286854921,-76.0946687729774
67.0,-44.96397073836375,-77.23143489252521
68.0,-43.910804762624814,-77.24077377262336
69.0,-44.46379397934816,-75.89933031545908
70.0,-45.15147799532249,-75.79942679773538
71.0,-41.85399683678513,-73.5421303505449
72.0,-45.117644745654786,-76.77345015826427
73.0,-44.46017847300681,-76.80530128128075
74.0,-35.40260231027996,-63.52856752369087
75.0,-46.16727332533892,-77.59121715893893
76.0,-45.07706191790835,-75.77685445507522
77.0,-41.57838188500508,-73.44431274975759
78.0,-42.49758614738835,-75.01758112105016
79.0,-43.560095049278374,-75.07274218289498
80.0,-43.13945394533266,-75.88971011675638
81.0,-32.20969603971267,-57.43849795985001
82.0,-45.44910905659049,-77.13679227452354
83.0,-44.53720592271155,-77.13991916150815
84.0,-45.05356709061057,-76.83623214085462
85.0,-40.12654487866302,-70.89992707462906
86.0,-32.29692933236417,-57.82688754293659
87.0,-45.63734987736491,-75.57774926625751
88.0,-45.55927611926325,-76.81521797619183
89.0,-36.951911289223375,-65.81148062523252
90.0,-45.81753102603256,-75.44795676635506
91.0,-44.65559498877845,-76.23630727455452
92.0,-40.77613131422814,-71.8556326071766
93.0,-45.622414770161576,-76.99694050637373
94.0,-41.699710719820025,-73.35391616759114
95.0,-44.22318624089736,-77.45295538637339
96.0,-39.59235397765052,-70.7159111815103
97.0,-43.84949296923806,-77.09808898925291
98.0,-42.253119640440914,-74.39445607517254
99.0,-45.722573231087615,-75.76072810936618
100.0,-40.263726351129264,-71.26098376815018
