Messstelle:                ;Obertilliach
HZB-Nummer:                ;113589
HD-Nummer:                 ;HD7000222
DBMS-Nummer:               ;7000222
Sachgebiet:                ;NLV
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhe:
 gültig seit:              ;Höhe [m ü.A.]:
  01.09.1895               ;1430
  25.07.2003               ;1400
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.09.1895               ;12 37 12                 ;46 42 10
  25.07.2003               ;12 37 09                 ;46 42 31
Exportzeitreihe:           ;Niederschlag,I,Sum,T,1,O,Z,0,,,
Exportqualität:            ;MAXQUAL (2)
Exportzeitraum:            ;01.01.1971 07:00; bis ;01.01.2017 07:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Hinweis:                   ;Messwert=0,001 - nicht messbarer Niederschlag
Werteformat:               ;1 Nachkommastelle
Einheit:                   ;mm
Werte:
01.01.1971 07:00:00   ;     1,4
02.01.1971 07:00:00   ;     0,0
03.01.1971 07:00:00   ;     0,0
04.01.1971 07:00:00   ;     0,0
05.01.1971 07:00:00   ;     0,0
06.01.1971 07:00:00   ;     0,0
07.01.1971 07:00:00   ;     0,0
08.01.1971 07:00:00   ;     0,0
09.01.1971 07:00:00   ;     0,0
10.01.1971 07:00:00   ;     0,0
11.01.1971 07:00:00   ;     0,0
12.01.1971 07:00:00   ;     0,0
13.01.1971 07:00:00   ;     0,0
14.01.1971 07:00:00   ;     1,9
15.01.1971 07:00:00   ;     1,8
16.01.1971 07:00:00   ;     2,5
17.01.1971 07:00:00   ;     0,0
18.01.1971 07:00:00   ;     0,0
19.01.1971 07:00:00   ;     0,5
20.01.1971 07:00:00   ;     8,4
21.01.1971 07:00:00   ;    18,2
22.01.1971 07:00:00   ;     7,8
23.01.1971 07:00:00   ;     0,0
24.01.1971 07:00:00   ;     0,0
25.01.1971 07:00:00   ;     0,4
26.01.1971 07:00:00   ;     0,6
27.01.1971 07:00:00   ;     2,0
28.01.1971 07:00:00   ;     0,0
29.01.1971 07:00:00   ;     0,0
30.01.1971 07:00:00   ;     0,0
31.01.1971 07:00:00   ;    27,8
01.02.1971 07:00:00   ;     0,0
02.02.1971 07:00:00   ;     0,0
03.02.1971 07:00:00   ;     2,4
04.02.1971 07:00:00   ;     0,0
05.02.1971 07:00:00   ;     0,0
06.02.1971 07:00:00   ;     0,0
07.02.1971 07:00:00   ;     0,0
08.02.1971 07:00:00   ;     0,0
09.02.1971 07:00:00   ;     0,0
10.02.1971 07:00:00   ;     0,0
11.02.1971 07:00:00   ;     0,0
12.02.1971 07:00:00   ;     0,0
13.02.1971 07:00:00   ;     0,0
14.02.1971 07:00:00   ;     0,8
15.02.1971 07:00:00   ;     0,6
16.02.1971 07:00:00   ;    13,6
17.02.1971 07:00:00   ;     0,0
18.02.1971 07:00:00   ;     0,6
19.02.1971 07:00:00   ;     0,0
20.02.1971 07:00:00   ;     0,0
21.02.1971 07:00:00   ;     0,0
22.02.1971 07:00:00   ;     0,0
23.02.1971 07:00:00   ;     0,0
24.02.1971 07:00:00   ;     0,0
25.02.1971 07:00:00   ;     0,0
26.02.1971 07:00:00   ;     0,0
27.02.1971 07:00:00   ;     0,0
28.02.1971 07:00:00   ;     0,0
01.03.1971 07:00:00   ;     0,0
02.03.1971 07:00:00   ;     0,0
03.03.1971 07:00:00   ;     0,0
04.03.1971 07:00:00   ;     0,0
05.03.1971 07:00:00   ;     0,0
06.03.1971 07:00:00   ;     0,0
07.03.1971 07:00:00   ;     0,0
08.03.1971 07:00:00   ;     0,0
09.03.1971 07:00:00   ;     0,0
10.03.1971 07:00:00   ;     0,0
11.03.1971 07:00:00   ;     0,0
