Messstelle:                ;Rattendorf
HZB-Nummer:                ;212670
HD-Nummer:                 ;00362
DBMS-Nummer:               ;2001033
Gewässer:                  ;Gail
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;594,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.11.1968              ;595,28
   18.12.2012              ;595,22
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
  gültig seit:             ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
   01.01.1880              ;13 15 16                 ;46 37 26
   01.11.1968              ;13 15 10                 ;46 37 28
Exportzeitreihe:           ;(2001033,Abfluss,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1951 00:00,01.01.2017 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1951 00:00:00;  8,90
02.01.1951 00:00:00;  8,90
03.01.1951 00:00:00;  8,90
04.01.1951 00:00:00;  8,60
05.01.1951 00:00:00;  8,60
06.01.1951 00:00:00;  8,60
07.01.1951 00:00:00;  8,60
08.01.1951 00:00:00;  8,60
09.01.1951 00:00:00;  8,60
10.01.1951 00:00:00;  8,60
11.01.1951 00:00:00;  8,30
12.01.1951 00:00:00;  8,30
13.01.1951 00:00:00;  8,30
14.01.1951 00:00:00;  8,30
15.01.1951 00:00:00;  8,30
16.01.1951 00:00:00;  8,30
17.01.1951 00:00:00;  8,30
18.01.1951 00:00:00;  8,30
19.01.1951 00:00:00;  8,30
20.01.1951 00:00:00;  8,30
21.01.1951 00:00:00;  8,30
22.01.1951 00:00:00;  8,30
23.01.1951 00:00:00;  8,30
24.01.1951 00:00:00;  8,30
25.01.1951 00:00:00;  8,30
26.01.1951 00:00:00;  8,30
27.01.1951 00:00:00;  8,30
28.01.1951 00:00:00;  8,30
29.01.1951 00:00:00;  8,30
30.01.1951 00:00:00;  8,30
31.01.1951 00:00:00;  8,30
01.02.1951 00:00:00;  8,30
02.02.1951 00:00:00;  8,30
03.02.1951 00:00:00;  8,30
04.02.1951 00:00:00;  8,30
05.02.1951 00:00:00;  8,90
06.02.1951 00:00:00;  10,3
07.02.1951 00:00:00;  14,2
08.02.1951 00:00:00;  14,2
09.02.1951 00:00:00;  13,6
10.02.1951 00:00:00;  13,1
11.02.1951 00:00:00;  13,1
12.02.1951 00:00:00;  23,5
13.02.1951 00:00:00;  61,0
14.02.1951 00:00:00;  51,0
15.02.1951 00:00:00;  32,0
16.02.1951 00:00:00;  27,8
17.02.1951 00:00:00;  22,0
18.02.1951 00:00:00;  19,1
19.02.1951 00:00:00;  17,1
20.02.1951 00:00:00;  16,5
21.02.1951 00:00:00;  15,3
22.02.1951 00:00:00;  14,2
23.02.1951 00:00:00;  12,6
24.02.1951 00:00:00;  12,2
25.02.1951 00:00:00;  11,7
26.02.1951 00:00:00;  11,7
27.02.1951 00:00:00;  11,7
28.02.1951 00:00:00;  11,7
01.03.1951 00:00:00;  11,7
02.03.1951 00:00:00;  11,2
03.03.1951 00:00:00;  11,2
04.03.1951 00:00:00;  10,7
05.03.1951 00:00:00;  10,7
06.03.1951 00:00:00;  10,7
07.03.1951 00:00:00;  10,7
08.03.1951 00:00:00;  10,3
09.03.1951 00:00:00;  10,3
10.03.1951 00:00:00;  10,3
11.03.1951 00:00:00;  10,7
12.03.1951 00:00:00;  10,7
13.03.1951 00:00:00;  11,2
14.03.1951 00:00:00;  23,5
15.03.1951 00:00:00;  36,7
16.03.1951 00:00:00;  31,2
17.03.1951 00:00:00;  25,2
18.03.1951 00:00:00;  23,5
19.03.1951 00:00:00;  23,5
20.03.1951 00:00:00;  25,2
21.03.1951 00:00:00;  26,9
22.03.1951 00:00:00;  28,6
23.03.1951 00:00:00;  25,2
24.03.1951 00:00:00;  22,0
25.03.1951 00:00:00;  22,0
26.03.1951 00:00:00;  20,1
27.03.1951 00:00:00;  19,7
28.03.1951 00:00:00;  18,4
29.03.1951 00:00:00;  17,8
30.03.1951 00:00:00;  17,1
31.03.1951 00:00:00;  16,5
01.04.1951 00:00:00;  16,5
02.04.1951 00:00:00;  17,1
03.04.1951 00:00:00;  17,8
04.04.1951 00:00:00;  19,1
05.04.1951 00:00:00;  20,1
06.04.1951 00:00:00;  22,0
07.04.1951 00:00:00;  24,4
08.04.1951 00:00:00;  33,9
09.04.1951 00:00:00;  39,4
10.04.1951 00:00:00;  43,2
11.04.1951 00:00:00;  41,3
12.04.1951 00:00:00;  37,6
13.04.1951 00:00:00;  35,7
14.04.1951 00:00:00;  33,9
15.04.1951 00:00:00;  32,0
16.04.1951 00:00:00;  46,2
17.04.1951 00:00:00;  50,0
18.04.1951 00:00:00;  58,0
19.04.1951 00:00:00;  66,0
20.04.1951 00:00:00;  61,0
21.04.1951 00:00:00;  65,0
22.04.1951 00:00:00;  76,5
23.04.1951 00:00:00;  71,0
24.04.1951 00:00:00;  66,0
25.04.1951 00:00:00;  73,2
26.04.1951 00:00:00;  93,0
27.04.1951 00:00:00;  93,0
28.04.1951 00:00:00;  98,5
29.04.1951 00:00:00;   102
30.04.1951 00:00:00;  93,0
01.05.1951 00:00:00;  87,5
02.05.1951 00:00:00;  91,9
03.05.1951 00:00:00;  95,2
04.05.1951 00:00:00;  98,5
05.05.1951 00:00:00;  99,6
06.05.1951 00:00:00;  98,5
07.05.1951 00:00:00;  93,0
08.05.1951 00:00:00;  87,5
09.05.1951 00:00:00;  89,7
10.05.1951 00:00:00;  98,5
11.05.1951 00:00:00;  93,0
12.05.1951 00:00:00;  73,2
13.05.1951 00:00:00;  71,0
14.05.1951 00:00:00;  68,0
15.05.1951 00:00:00;  65,0
16.05.1951 00:00:00;  61,0
17.05.1951 00:00:00;  58,0
18.05.1951 00:00:00;  61,0
19.05.1951 00:00:00;  65,0
20.05.1951 00:00:00;  68,0
21.05.1951 00:00:00;  71,0
22.05.1951 00:00:00;  76,5
23.05.1951 00:00:00;  98,5
24.05.1951 00:00:00;   110
25.05.1951 00:00:00;   124
26.05.1951 00:00:00;   140
27.05.1951 00:00:00;   139
28.05.1951 00:00:00;   137
29.05.1951 00:00:00;   137
30.05.1951 00:00:00;   117
31.05.1951 00:00:00;   102
01.06.1951 00:00:00;   108
02.06.1951 00:00:00;  98,5
03.06.1951 00:00:00;  93,0
04.06.1951 00:00:00;  82,0
05.06.1951 00:00:00;  87,5
06.06.1951 00:00:00;  85,3
07.06.1951 00:00:00;  82,0
08.06.1951 00:00:00;  82,0
09.06.1951 00:00:00;   101
10.06.1951 00:00:00;  93,0
11.06.1951 00:00:00;   101
12.06.1951 00:00:00;  93,0
13.06.1951 00:00:00;  90,8
14.06.1951 00:00:00;  90,8
15.06.1951 00:00:00;  91,9
16.06.1951 00:00:00;  93,0
17.06.1951 00:00:00;  93,0
18.06.1951 00:00:00;  95,2
19.06.1951 00:00:00;  93,0
20.06.1951 00:00:00;  93,0
21.06.1951 00:00:00;  87,5
22.06.1951 00:00:00;  83,1
23.06.1951 00:00:00;  76,5
24.06.1951 00:00:00;   115
25.06.1951 00:00:00;  87,5
26.06.1951 00:00:00;  76,5
27.06.1951 00:00:00;  66,0
28.06.1951 00:00:00;  64,0
29.06.1951 00:00:00;  61,0
30.06.1951 00:00:00;  56,0
01.07.1951 00:00:00;  53,0
02.07.1951 00:00:00;  52,0
03.07.1951 00:00:00;  51,0
04.07.1951 00:00:00;  50,0
05.07.1951 00:00:00;  49,1
06.07.1951 00:00:00;  48,1
07.07.1951 00:00:00;  47,1
08.07.1951 00:00:00;  46,2
09.07.1951 00:00:00;  45,2
10.07.1951 00:00:00;  44,2
11.07.1951 00:00:00;  43,2
12.07.1951 00:00:00;  42,3
13.07.1951 00:00:00;  41,3
14.07.1951 00:00:00;  41,3
15.07.1951 00:00:00;  43,2
16.07.1951 00:00:00;  43,2
17.07.1951 00:00:00;  51,0
18.07.1951 00:00:00;  46,2
19.07.1951 00:00:00;  41,3
20.07.1951 00:00:00;  36,7
21.07.1951 00:00:00;  32,9
22.07.1951 00:00:00;  32,0
23.07.1951 00:00:00;  33,9
24.07.1951 00:00:00;  45,2
25.07.1951 00:00:00;  61,0
26.07.1951 00:00:00;  49,1
27.07.1951 00:00:00;  41,3
28.07.1951 00:00:00;  33,9
29.07.1951 00:00:00;  30,3
30.07.1951 00:00:00;  28,6
31.07.1951 00:00:00;  27,8
01.08.1951 00:00:00;  27,8
02.08.1951 00:00:00;  26,9
03.08.1951 00:00:00;  26,1
04.08.1951 00:00:00;  28,6
05.08.1951 00:00:00;  34,8
06.08.1951 00:00:00;  29,5
07.08.1951 00:00:00;  26,9
08.08.1951 00:00:00;  26,1
09.08.1951 00:00:00;  33,9
10.08.1951 00:00:00;  30,3
11.08.1951 00:00:00;  27,8
12.08.1951 00:00:00;  23,5
13.08.1951 00:00:00;  22,0
14.08.1951 00:00:00;  20,1
15.08.1951 00:00:00;  19,1
16.08.1951 00:00:00;  18,4
17.08.1951 00:00:00;  17,1
18.08.1951 00:00:00;  15,9
19.08.1951 00:00:00;  15,3
20.08.1951 00:00:00;  14,8
21.08.1951 00:00:00;  14,2
22.08.1951 00:00:00;  13,6
23.08.1951 00:00:00;  13,6
24.08.1951 00:00:00;  13,1
25.08.1951 00:00:00;  12,6
