,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2300,0.002064,0.001999,0.001933,0.001868,0.001803,0.001738,0.001673,0.001608,0.001543,0.001478,0.001413,0.001348,0.001283,0.001218,0.001152,0.001087,0.001022,0.000957,0.000892,0.000827,0.000762,0.000697,0.000632,0.000567,0.000502,0.000437,0.000371,0.000306,0.000241090909091,0.000220315151515,0.000199539393939,0.000178763636364,0.000157987878788,0.000137212121212,0.000116436363636,9.56606060606227E-05,7.48848484848699E-05,5.41090909091102E-05,3.33333333333554E-05,1.25575757576006E-05,0,0,0,0,0,0,0
2500,0.091825,0.090327,0.088829,0.08733,0.085832,0.084334,0.082836,0.081338,0.079839,0.078341,0.076843,0.075345,0.073847,0.072348,0.07085,0.069352,0.067854,0.066356,0.064858,0.063359,0.061861,0.060363,0.058865,0.057367,0.055868,0.05437,0.052872,0.051374,0.049875763636359,0.04962019393939,0.049364624242422,0.049109054545453,0.048853484848484,0.048597915151516,0.048342345454547,0.048086775757578,0.04783120606061,0.047575636363641,0.047320066666672,0.047064496969704,0.046808927272735,0.046553357575766,0.046297787878798,0.046042218181829,0.04578664848486,0.045531078787892,0.045275509090923
2700,0.370297,0.366866,0.363434,0.360002,0.356571,0.353139,0.349708,0.346276,0.342844,0.339413,0.335981,0.33255,0.329118,0.325686,0.322255,0.318823,0.315392,0.31196,0.308528,0.305097,0.301665,0.298234,0.294802,0.291371,0.287939,0.284507,0.281076,0.277644,0.27421267272728,0.273612345454551,0.273012018181822,0.272411690909093,0.271811363636364,0.271211036363635,0.270610709090907,0.270010381818178,0.269410054545449,0.26880972727272,0.268209399999992,0.267609072727263,0.267008745454534,0.266408418181805,0.265808090909076,0.265207763636348,0.264607436363619,0.26400710909089,0.263406781818161
2900,0.695778,0.69463,0.693482,0.692334,0.691187,0.690039,0.688891,0.687743,0.686595,0.685448,0.6843,0.683152,0.682004,0.680856,0.679709,0.678561,0.677413,0.676265,0.675117,0.67397,0.672822,0.671674,0.670526,0.669378,0.668231,0.667083,0.665935,0.664787,0.663639181818359,0.662968696969835,0.662298212121311,0.661627727272786,0.660957242424262,0.660286757575738,0.659616272727214,0.65894578787869,0.658275303030165,0.657604818181641,0.656934333333117,0.656263848484593,0.655593363636068,0.654922878787544,0.65425239393902,0.653581909090496,0.652911424241971,0.652240939393447,0.651570454544923
3100,0.412148,0.411149,0.41015,0.409152,0.408153,0.407154,0.406155,0.405156,0.404157,0.403158,0.402159,0.40116,0.400161,0.399163,0.398164,0.397165,0.396166,0.395167,0.394168,0.393169,0.39217,0.391171,0.390173,0.389174,0.388175,0.387176,0.386177,0.385178,0.384179181818218,0.384126696969725,0.384074212121232,0.384021727272739,0.383969242424247,0.383916757575754,0.383864272727261,0.383811787878768,0.383759303030275,0.383706818181782,0.383654333333289,0.383601848484796,0.383549363636303,0.38349687878781,0.383444393939318,0.383391909090825,0.383339424242332,0.383286939393839,0.383234454545346
3300,0.081891,0.078967,0.076042,0.073117,0.070193,0.067268,0.064343,0.061419,0.058494,0.055569,0.052645,0.04972,0.046795,0.04387,0.040946,0.038021,0.035096,0.032172,0.029247,0.026322,0.023398,0.020473,0.017548,0.014623,0.011699,0.008774,0.005849,0.002925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
