Messstelle:                ;Lorüns-Äule
HZB-Nummer:                ;231662
HD-Nummer:                 ;
DBMS-Nummer:               ;8001054
Gewässer:                  ;Ill
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Vorarlberger Illwerke-AG.
orogr.Einzugsgebiet [km²]: ;535,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1985              ;578,53
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
  gültig seit:             ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
   01.01.1985              ;09 50 53                 ;47 08 00
Exportzeitreihe:           ;(8001054,Abfluss,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1985 00:15,01.01.2017 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1985 00:00:00;  17,6
02.01.1985 00:00:00;  17,0
03.01.1985 00:00:00;  5,24
04.01.1985 00:00:00;  23,4
05.01.1985 00:00:00;  24,8
06.01.1985 00:00:00;  17,7
07.01.1985 00:00:00;  39,9
08.01.1985 00:00:00;  54,5
09.01.1985 00:00:00;  55,5
10.01.1985 00:00:00;  14,4
11.01.1985 00:00:00;  11,7
12.01.1985 00:00:00;  8,70
13.01.1985 00:00:00;  8,29
14.01.1985 00:00:00;  33,7
15.01.1985 00:00:00;  34,6
16.01.1985 00:00:00;  20,8
17.01.1985 00:00:00;  14,4
18.01.1985 00:00:00;  32,5
19.01.1985 00:00:00;  23,4
20.01.1985 00:00:00;  6,76
21.01.1985 00:00:00;  8,17
22.01.1985 00:00:00;  6,03
23.01.1985 00:00:00;  8,69
24.01.1985 00:00:00;  6,93
25.01.1985 00:00:00;  14,0
26.01.1985 00:00:00;  10,6
27.01.1985 00:00:00;  6,91
28.01.1985 00:00:00;  8,14
29.01.1985 00:00:00;  13,4
30.01.1985 00:00:00;  14,4
31.01.1985 00:00:00;  15,4
01.02.1985 00:00:00;  11,8
02.02.1985 00:00:00;  7,98
03.02.1985 00:00:00;  15,1
04.02.1985 00:00:00;  14,6
05.02.1985 00:00:00;  14,9
06.02.1985 00:00:00;  29,2
07.02.1985 00:00:00;  16,4
08.02.1985 00:00:00;  13,8
09.02.1985 00:00:00;  13,2
10.02.1985 00:00:00;  12,6
11.02.1985 00:00:00;  15,5
12.02.1985 00:00:00;  8,15
13.02.1985 00:00:00;  13,6
14.02.1985 00:00:00;  21,2
15.02.1985 00:00:00;  21,4
16.02.1985 00:00:00;  5,39
17.02.1985 00:00:00;  3,95
18.02.1985 00:00:00;  3,86
19.02.1985 00:00:00;  3,64
20.02.1985 00:00:00;  3,49
21.02.1985 00:00:00;  3,37
22.02.1985 00:00:00;  3,32
23.02.1985 00:00:00;  3,28
24.02.1985 00:00:00;  3,18
25.02.1985 00:00:00;  3,32
26.02.1985 00:00:00;  3,31
27.02.1985 00:00:00;  3,27
28.02.1985 00:00:00;  3,29
01.03.1985 00:00:00;  3,29
02.03.1985 00:00:00;  3,43
03.03.1985 00:00:00;  3,20
04.03.1985 00:00:00;  3,25
05.03.1985 00:00:00;  3,33
06.03.1985 00:00:00;  3,36
07.03.1985 00:00:00;  3,12
08.03.1985 00:00:00;  3,33
09.03.1985 00:00:00;  3,34
10.03.1985 00:00:00;  3,31
11.03.1985 00:00:00;  3,31
12.03.1985 00:00:00;  3,23
13.03.1985 00:00:00;  3,29
14.03.1985 00:00:00;  3,27
15.03.1985 00:00:00;  3,32
16.03.1985 00:00:00;  3,19
17.03.1985 00:00:00;  3,21
18.03.1985 00:00:00;  3,22
19.03.1985 00:00:00;  3,25
20.03.1985 00:00:00;  3,18
21.03.1985 00:00:00;  3,10
22.03.1985 00:00:00;  3,16
23.03.1985 00:00:00;  3,12
24.03.1985 00:00:00;  3,08
25.03.1985 00:00:00;  3,16
26.03.1985 00:00:00;  3,13
27.03.1985 00:00:00;  3,24
28.03.1985 00:00:00;  3,26
29.03.1985 00:00:00;  3,25
30.03.1985 00:00:00;  3,18
31.03.1985 00:00:00;  3,10
01.04.1985 00:00:00;  3,45
02.04.1985 00:00:00;  3,45
03.04.1985 00:00:00;  3,56
04.04.1985 00:00:00;  3,74
05.04.1985 00:00:00;  3,86
06.04.1985 00:00:00;  3,77
07.04.1985 00:00:00;  3,70
08.04.1985 00:00:00;  3,80
09.04.1985 00:00:00;  3,79
10.04.1985 00:00:00;  3,97
11.04.1985 00:00:00;  3,79
12.04.1985 00:00:00;  3,82
13.04.1985 00:00:00;  3,73
14.04.1985 00:00:00;  3,71
15.04.1985 00:00:00;  6,97
16.04.1985 00:00:00;  6,02
17.04.1985 00:00:00;  6,20
18.04.1985 00:00:00;  6,07
19.04.1985 00:00:00;  6,25
20.04.1985 00:00:00;  7,19
21.04.1985 00:00:00;  8,15
22.04.1985 00:00:00;  9,19
23.04.1985 00:00:00;  7,95
24.04.1985 00:00:00;  5,29
25.04.1985 00:00:00;  3,93
26.04.1985 00:00:00;  4,07
