Messstelle:                ;Selzthal
HZB-Nummer:                ;210815
HD-Nummer:                 ;ow1540
DBMS-Nummer:               ;6001032
Gewässer:                  ;Paltenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Ennskraft
orogr.Einzugsgebiet [km²]: ;368,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;632,93
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
  gültig seit:             ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
   01.01.1895              ;14 18 23                 ;47 32 54
Exportzeitreihe:           ;(6001032,Abfluss,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1951 00:00,01.01.2017 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1951 00:00:00;  4,80
02.01.1951 00:00:00;  4,80
03.01.1951 00:00:00;  4,80
04.01.1951 00:00:00;  5,24
05.01.1951 00:00:00;  5,24
06.01.1951 00:00:00;  5,48
07.01.1951 00:00:00;  4,80
08.01.1951 00:00:00;  4,80
09.01.1951 00:00:00;  4,40
10.01.1951 00:00:00;  4,40
11.01.1951 00:00:00;  4,60
12.01.1951 00:00:00;  4,40
13.01.1951 00:00:00;  4,00
14.01.1951 00:00:00;  4,60
15.01.1951 00:00:00;  4,60
16.01.1951 00:00:00;  4,60
17.01.1951 00:00:00;  4,40
18.01.1951 00:00:00;  4,80
19.01.1951 00:00:00;  5,00
20.01.1951 00:00:00;  5,00
21.01.1951 00:00:00;  4,60
22.01.1951 00:00:00;  4,40
23.01.1951 00:00:00;  5,00
24.01.1951 00:00:00;  4,80
25.01.1951 00:00:00;  4,40
26.01.1951 00:00:00;  5,00
27.01.1951 00:00:00;  5,00
28.01.1951 00:00:00;  5,00
29.01.1951 00:00:00;  4,80
30.01.1951 00:00:00;  5,00
31.01.1951 00:00:00;  4,40
01.02.1951 00:00:00;  4,80
02.02.1951 00:00:00;  4,60
03.02.1951 00:00:00;  4,60
04.02.1951 00:00:00;  4,40
05.02.1951 00:00:00;  4,60
06.02.1951 00:00:00;  5,48
07.02.1951 00:00:00;  8,00
08.02.1951 00:00:00;  6,20
09.02.1951 00:00:00;  6,20
10.02.1951 00:00:00;  5,48
11.02.1951 00:00:00;  5,72
12.02.1951 00:00:00;  6,80
13.02.1951 00:00:00;  8,00
14.02.1951 00:00:00;  10,2
15.02.1951 00:00:00;  7,40
16.02.1951 00:00:00;  7,40
17.02.1951 00:00:00;  6,80
18.02.1951 00:00:00;  6,20
19.02.1951 00:00:00;  6,20
20.02.1951 00:00:00;  5,72
21.02.1951 00:00:00;  6,20
22.02.1951 00:00:00;  6,20
23.02.1951 00:00:00;  5,72
24.02.1951 00:00:00;  5,24
25.02.1951 00:00:00;  5,72
26.02.1951 00:00:00;  5,24
27.02.1951 00:00:00;  5,72
28.02.1951 00:00:00;  5,72
01.03.1951 00:00:00;  5,48
02.03.1951 00:00:00;  5,24
03.03.1951 00:00:00;  5,00
04.03.1951 00:00:00;  5,00
05.03.1951 00:00:00;  5,24
06.03.1951 00:00:00;  5,00
07.03.1951 00:00:00;  5,00
08.03.1951 00:00:00;  6,20
09.03.1951 00:00:00;  5,72
10.03.1951 00:00:00;  5,72
11.03.1951 00:00:00;  5,48
12.03.1951 00:00:00;  5,72
13.03.1951 00:00:00;  5,48
14.03.1951 00:00:00;  5,96
15.03.1951 00:00:00;  6,20
16.03.1951 00:00:00;  6,50
17.03.1951 00:00:00;  7,10
18.03.1951 00:00:00;  8,30
19.03.1951 00:00:00;  8,90
20.03.1951 00:00:00;  9,20
21.03.1951 00:00:00;  8,90
22.03.1951 00:00:00;  8,60
23.03.1951 00:00:00;  8,30
24.03.1951 00:00:00;  8,30
25.03.1951 00:00:00;  8,30
26.03.1951 00:00:00;  7,70
27.03.1951 00:00:00;  7,40
28.03.1951 00:00:00;  7,40
29.03.1951 00:00:00;  7,10
30.03.1951 00:00:00;  7,10
31.03.1951 00:00:00;  7,10
01.04.1951 00:00:00;  8,00
02.04.1951 00:00:00;  7,10
03.04.1951 00:00:00;  7,10
04.04.1951 00:00:00;  7,10
05.04.1951 00:00:00;  6,80
06.04.1951 00:00:00;  7,10
07.04.1951 00:00:00;  7,70
08.04.1951 00:00:00;  8,30
09.04.1951 00:00:00;  8,30
10.04.1951 00:00:00;  8,60
11.04.1951 00:00:00;  8,60
12.04.1951 00:00:00;  8,00
13.04.1951 00:00:00;  7,70
14.04.1951 00:00:00;  7,70
15.04.1951 00:00:00;  7,40
16.04.1951 00:00:00;  7,40
17.04.1951 00:00:00;  7,70
18.04.1951 00:00:00;  8,60
19.04.1951 00:00:00;  9,54
20.04.1951 00:00:00;  11,3
21.04.1951 00:00:00;  12,3
22.04.1951 00:00:00;  13,5
23.04.1951 00:00:00;  12,3
24.04.1951 00:00:00;  12,7
25.04.1951 00:00:00;  14,7
26.04.1951 00:00:00;  18,0
27.04.1951 00:00:00;  21,1
28.04.1951 00:00:00;  21,6
29.04.1951 00:00:00;  20,7
30.04.1951 00:00:00;  21,1
01.05.1951 00:00:00;  20,2
02.05.1951 00:00:00;  22,1
03.05.1951 00:00:00;  25,0
04.05.1951 00:00:00;  26,0
05.05.1951 00:00:00;  28,5
06.05.1951 00:00:00;  26,0
07.05.1951 00:00:00;  25,0
08.05.1951 00:00:00;  24,5
09.05.1951 00:00:00;  22,6
10.05.1951 00:00:00;  25,0
11.05.1951 00:00:00;  25,5
12.05.1951 00:00:00;  22,1
13.05.1951 00:00:00;  20,2
14.05.1951 00:00:00;  18,9
15.05.1951 00:00:00;  18,4
16.05.1951 00:00:00;  17,1
17.05.1951 00:00:00;  15,8
18.05.1951 00:00:00;  15,0
19.05.1951 00:00:00;  15,4
20.05.1951 00:00:00;  17,1
21.05.1951 00:00:00;  19,3
22.05.1951 00:00:00;  21,1
23.05.1951 00:00:00;  22,6
24.05.1951 00:00:00;  26,0
25.05.1951 00:00:00;  29,5
26.05.1951 00:00:00;  35,4
27.05.1951 00:00:00;  34,3
28.05.1951 00:00:00;  32,7
29.05.1951 00:00:00;  31,0
30.05.1951 00:00:00;  27,5
31.05.1951 00:00:00;  26,0
01.06.1951 00:00:00;  25,0
02.06.1951 00:00:00;  28,0
03.06.1951 00:00:00;  25,5
04.06.1951 00:00:00;  23,6
05.06.1951 00:00:00;  25,0
06.06.1951 00:00:00;  22,6
07.06.1951 00:00:00;  23,1
08.06.1951 00:00:00;  22,1
09.06.1951 00:00:00;  23,6
10.06.1951 00:00:00;  25,0
11.06.1951 00:00:00;  22,6
12.06.1951 00:00:00;  20,2
13.06.1951 00:00:00;  19,3
14.06.1951 00:00:00;  18,4
15.06.1951 00:00:00;  18,0
16.06.1951 00:00:00;  18,4
17.06.1951 00:00:00;  19,3
18.06.1951 00:00:00;  18,4
19.06.1951 00:00:00;  17,1
20.06.1951 00:00:00;  17,1
21.06.1951 00:00:00;  15,4
22.06.1951 00:00:00;  14,3
23.06.1951 00:00:00;  13,9
24.06.1951 00:00:00;  13,1
25.06.1951 00:00:00;  12,7
26.06.1951 00:00:00;  12,0
27.06.1951 00:00:00;  11,3
28.06.1951 00:00:00;  11,3
29.06.1951 00:00:00;  10,9
30.06.1951 00:00:00;  10,2
01.07.1951 00:00:00;  9,88
02.07.1951 00:00:00;  9,20
03.07.1951 00:00:00;  9,20
04.07.1951 00:00:00;  8,60
05.07.1951 00:00:00;  9,20
06.07.1951 00:00:00;  8,60
07.07.1951 00:00:00;  8,30
08.07.1951 00:00:00;  8,00
09.07.1951 00:00:00;  8,90
10.07.1951 00:00:00;  9,88
11.07.1951 00:00:00;  8,30
12.07.1951 00:00:00;  8,90
13.07.1951 00:00:00;  8,90
14.07.1951 00:00:00;  8,60
15.07.1951 00:00:00;  10,6
16.07.1951 00:00:00;  11,3
17.07.1951 00:00:00;  18,9
18.07.1951 00:00:00;  14,3
19.07.1951 00:00:00;  11,6
20.07.1951 00:00:00;  10,6
21.07.1951 00:00:00;  9,88
22.07.1951 00:00:00;  9,54
23.07.1951 00:00:00;  11,3
24.07.1951 00:00:00;  14,7
25.07.1951 00:00:00;  12,3
26.07.1951 00:00:00;  12,3
27.07.1951 00:00:00;  14,3
28.07.1951 00:00:00;  13,1
29.07.1951 00:00:00;  12,0
30.07.1951 00:00:00;  11,3
31.07.1951 00:00:00;  10,9
01.08.1951 00:00:00;  10,2
02.08.1951 00:00:00;  10,2
03.08.1951 00:00:00;  10,9
04.08.1951 00:00:00;  9,88
05.08.1951 00:00:00;  10,2
06.08.1951 00:00:00;  9,54
07.08.1951 00:00:00;  8,60
08.08.1951 00:00:00;  8,30
09.08.1951 00:00:00;  8,30
10.08.1951 00:00:00;  8,30
11.08.1951 00:00:00;  8,30
12.08.1951 00:00:00;  7,70
13.08.1951 00:00:00;  7,40
14.08.1951 00:00:00;  8,30
15.08.1951 00:00:00;  8,00
16.08.1951 00:00:00;  8,90
17.08.1951 00:00:00;  11,3
18.08.1951 00:00:00;  8,90
19.08.1951 00:00:00;  8,30
20.08.1951 00:00:00;  8,30
21.08.1951 00:00:00;  7,70
22.08.1951 00:00:00;  7,40
23.08.1951 00:00:00;  7,10
24.08.1951 00:00:00;  7,10
25.08.1951 00:00:00;  7,10
26.08.1951 00:00:00;  6,80
27.08.1951 00:00:00;  7,10
28.08.1951 00:00:00;  6,80
29.08.1951 00:00:00;  6,50
30.08.1951 00:00:00;  6,20
31.08.1951 00:00:00;  6,20
01.09.1951 00:00:00;  6,50
02.09.1951 00:00:00;  6,20
03.09.1951 00:00:00;  6,20
04.09.1951 00:00:00;  5,96
05.09.1951 00:00:00;  5,72
06.09.1951 00:00:00;  5,72
07.09.1951 00:00:00;  5,72
08.09.1951 00:00:00;  5,72
09.09.1951 00:00:00;  5,72
10.09.1951 00:00:00;  5,48
11.09.1951 00:00:00;  5,48
12.09.1951 00:00:00;  5,24
13.09.1951 00:00:00;  5,24
14.09.1951 00:00:00;  5,00
15.09.1951 00:00:00;  5,24
16.09.1951 00:00:00;  5,00
17.09.1951 00:00:00;  5,72
18.09.1951 00:00:00;  6,80
19.09.1951 00:00:00;  5,72
20.09.1951 00:00:00;  5,72
21.09.1951 00:00:00;  5,48
22.09.1951 00:00:00;  5,24
23.09.1951 00:00:00;  5,24
24.09.1951 00:00:00;  5,24
25.09.1951 00:00:00;  5,00
26.09.1951 00:00:00;  6,80
27.09.1951 00:00:00;  6,50
28.09.1951 00:00:00;  5,72
29.09.1951 00:00:00;  5,72
30.09.1951 00:00:00;  5,48
01.10.1951 00:00:00;  5,96
02.10.1951 00:00:00;  5,96
03.10.1951 00:00:00;  5,48
04.10.1951 00:00:00;  5,48
05.10.1951 00:00:00;  5,00
06.10.1951 00:00:00;  5,24
07.10.1951 00:00:00;  5,24
08.10.1951 00:00:00;  5,24
09.10.1951 00:00:00;  5,00
10.10.1951 00:00:00;  5,00
11.10.1951 00:00:00;  5,00
12.10.1951 00:00:00;  5,00
13.10.1951 00:00:00;  4,80
14.10.1951 00:00:00;  4,80
15.10.1951 00:00:00;  4,80
16.10.1951 00:00:00;  4,60
17.10.1951 00:00:00;  4,60
18.10.1951 00:00:00;  4,60
19.10.1951 00:00:00;  4,40
20.10.1951 00:00:00;  4,40
21.10.1951 00:00:00;  4,40
22.10.1951 00:00:00;  4,40
23.10.1951 00:00:00;  4,20
24.10.1951 00:00:00;  4,20
25.10.1951 00:00:00;  4,60
26.10.1951 00:00:00;  4,60
27.10.1951 00:00:00;  4,60
28.10.1951 00:00:00;  4,60
29.10.1951 00:00:00;  4,40
30.10.1951 00:00:00;  4,40
31.10.1951 00:00:00;  4,20
01.11.1951 00:00:00;  4,80
02.11.1951 00:00:00;  5,72
03.11.1951 00:00:00;  5,00
04.11.1951 00:00:00;  5,24
05.11.1951 00:00:00;  5,24
06.11.1951 00:00:00;  5,24
07.11.1951 00:00:00;  5,00
08.11.1951 00:00:00;  5,96
09.11.1951 00:00:00;  8,60
10.11.1951 00:00:00;  7,10
11.11.1951 00:00:00;  6,50
12.11.1951 00:00:00;  11,2
13.11.1951 00:00:00;  10,2
14.11.1951 00:00:00;  8,90
15.11.1951 00:00:00;  8,30
16.11.1951 00:00:00;  7,70
17.11.1951 00:00:00;  7,40
18.11.1951 00:00:00;  7,10
19.11.1951 00:00:00;  6,50
20.11.1951 00:00:00;  6,20
21.11.1951 00:00:00;  5,96
22.11.1951 00:00:00;  11,6
23.11.1951 00:00:00;  8,90
24.11.1951 00:00:00;  8,00
25.11.1951 00:00:00;  8,90
26.11.1951 00:00:00;  8,90
27.11.1951 00:00:00;  8,00
28.11.1951 00:00:00;  7,70
29.11.1951 00:00:00;  7,70
30.11.1951 00:00:00;  8,00
01.12.1951 00:00:00;  7,70
02.12.1951 00:00:00;  7,40
03.12.1951 00:00:00;  6,80
04.12.1951 00:00:00;  6,50
05.12.1951 00:00:00;  6,50
06.12.1951 00:00:00;  6,50
07.12.1951 00:00:00;  6,50
08.12.1951 00:00:00;  6,20
09.12.1951 00:00:00;  5,96
10.12.1951 00:00:00;  6,20
11.12.1951 00:00:00;  6,20
12.12.1951 00:00:00;  5,72
13.12.1951 00:00:00;  5,72
14.12.1951 00:00:00;  5,48
15.12.1951 00:00:00;  5,24
16.12.1951 00:00:00;  5,24
17.12.1951 00:00:00;  8,90
18.12.1951 00:00:00;  7,40
19.12.1951 00:00:00;  6,80
20.12.1951 00:00:00;  6,50
21.12.1951 00:00:00;  6,20
22.12.1951 00:00:00;  6,20
23.12.1951 00:00:00;  5,96
24.12.1951 00:00:00;  5,48
25.12.1951 00:00:00;  5,48
26.12.1951 00:00:00;  5,24
27.12.1951 00:00:00;  5,48
28.12.1951 00:00:00;  5,48
29.12.1951 00:00:00;  5,48
30.12.1951 00:00:00;  5,24
31.12.1951 00:00:00;  5,24
01.01.1952 00:00:00;  5,24
02.01.1952 00:00:00;  5,24
03.01.1952 00:00:00;  5,24
04.01.1952 00:00:00;  5,24
05.01.1952 00:00:00;  5,24
06.01.1952 00:00:00;  5,24
07.01.1952 00:00:00;  5,00
08.01.1952 00:00:00;  5,00
09.01.1952 00:00:00;  5,00
10.01.1952 00:00:00;  5,00
11.01.1952 00:00:00;  5,00
12.01.1952 00:00:00;  5,00
13.01.1952 00:00:00;  4,80
14.01.1952 00:00:00;  4,80
15.01.1952 00:00:00;  4,80
16.01.1952 00:00:00;  4,80
17.01.1952 00:00:00;  4,80
18.01.1952 00:00:00;  4,80
19.01.1952 00:00:00;  4,60
20.01.1952 00:00:00;  4,60
21.01.1952 00:00:00;  4,60
22.01.1952 00:00:00;  4,60
23.01.1952 00:00:00;  4,60
24.01.1952 00:00:00;  4,60
25.01.1952 00:00:00;  4,40
26.01.1952 00:00:00;  4,40
27.01.1952 00:00:00;  4,40
28.01.1952 00:00:00;  4,40
