,Bare,Forest,Grass,Rip,Bare,Forest,Grass,Rip
,102061,102061,102061,102061,102046,102046,102046,102046
1300,0.041428,0.002537,0,0.266073,0,0,0,0
1500,0.032882,0.431412,0.105762,0.607906,0,0.208166,0.036761,0.15492
1700,0,0.317331,0.089531,0.037938,0.000496,0.498412,0.080678,0.155997
1900,0.001869,0.224308,0.153834,0.026425,0.004726,0.260412,0.172538,0.109774
2100,0.026688,0.024412,0.330553,0.015289,0.016807,0.03301,0.28891,0.106568
2300,0.190993,0,0.249252,0.046369,0.054893,0,0.28677,0.360755
2500,0.301133,0,0.067999,0,0.147631,0,0.130816,0.059711
2700,0.256021,0,0.003069,0,0.24584,0,0.003527,0.029644
2900,0.116632,0,0,0,0.245698,0,0,0.022631
3100,0.026913,0,0,0,0.196612,0,0,0
3300,0.005441,0,0,0,0.070938,0,0,0
3500,0,0,0,0,0.014621,0,0,0
3700,0,0,0,0,0.001738,0,0,0
